temperatura_transporte_c,tempo_transporte_h,veiculo_higienizado,carga_compartilhada_quimicos,embalagem_secundaria_protecao,lacres_veiculo_integridade,registro_condicoes_transporte,lote_identificado,probabilidade
28.5,70.9,1,0,0,0,1,1,0
39.3,26.0,0,0,0,0,1,0,0
25.8,14.6,1,0,1,1,0,1,0
14.5,62.8,0,0,1,0,0,1,0
15.8,41.6,1,0,0,1,1,0,0
21.4,15.8,1,1,1,0,0,1,3
30.5,33.4,0,0,1,0,0,1,0
31.5,4.7,0,0,0,0,0,1,0
16.4,27.6,0,1,0,0,0,1,3
19.1,36.3,0,0,0,1,0,0,0
28.5,20.2,0,0,0,1,1,1,0
35.7,20.8,1,0,0,1,1,0,0
29.5,40.6,0,1,1,1,0,1,3
15.6,17.9,1,0,1,1,0,1,0
36.1,55.0,1,0,1,0,1,0,0
37.5,56.6,1,0,1,1,1,1,0
17.2,15.8,1,1,1,0,0,0,3
21.1,3.6,0,1,0,0,1,0,3
36.9,10.9,0,0,1,1,0,0,0
30.4,17.6,1,1,1,1,1,0,3
36.0,28.0,0,0,1,1,1,0,0
38.3,10.7,1,0,1,0,0,0,0
28.8,24.9,1,0,0,1,1,1,0
30.3,60.5,1,1,0,1,0,0,3
28.2,46.2,1,1,1,0,1,1,3
17.6,25.1,0,0,1,0,1,0,0
30.2,38.4,0,1,0,1,0,1,3
28.7,20.9,1,0,0,1,1,0,0
33.6,48.3,0,0,0,1,0,1,0
10.8,42.6,1,0,0,0,0,0,0
37.1,46.2,1,0,0,1,0,1,0
31.9,36.0,1,0,1,0,1,1,0
16.8,33.8,1,1,0,0,0,0,3
39.5,1.6,0,0,1,1,1,0,0
20.4,14.1,1,1,1,1,0,1,3
18.1,52.5,1,0,0,1,1,0,0
33.2,63.9,1,1,1,1,0,1,3
31.4,19.7,0,0,1,0,0,1,0
33.5,67.0,0,1,0,0,1,1,3
20.3,55.3,1,0,0,1,1,1,0
23.7,52.1,1,0,1,1,0,0,0
21.4,71.0,0,1,1,0,0,0,3
23.0,11.5,1,1,1,0,1,1,3
38.8,51.5,1,1,1,1,1,1,3
15.4,17.5,0,0,1,1,1,0,0
19.6,22.8,0,1,1,1,0,0,3
14.3,1.1,1,1,1,0,0,0,3
20.9,17.2,1,0,0,1,1,1,0
24.5,63.9,1,0,1,0,0,1,0
12.9,60.7,0,0,1,0,1,0,0
18.3,33.7,1,0,1,1,1,1,0
20.5,9.2,0,0,0,0,0,0,0
25.3,56.6,0,1,0,1,0,1,3
32.2,51.6,0,0,1,1,1,0,0
20.0,7.4,0,1,1,1,0,0,3
35.0,51.1,1,1,1,0,0,1,3
13.7,48.8,1,1,0,1,1,0,3
21.0,22.7,1,1,0,0,1,0,3
38.3,12.7,0,1,1,1,1,1,3
28.9,36.3,0,0,0,0,0,0,0
15.3,38.2,0,1,0,1,1,1,3
38.0,66.1,0,0,1,1,0,0,0
24.7,71.9,0,1,1,0,1,1,3
29.3,17.8,0,1,0,1,0,0,3
24.8,64.1,1,0,0,1,1,1,0
24.2,58.0,0,0,0,0,1,0,0
38.9,2.1,0,0,0,1,1,1,0
27.9,9.7,0,0,1,0,0,1,0
29.3,24.9,1,0,1,1,1,1,0
29.8,7.4,0,0,1,1,1,0,0
11.1,21.1,1,1,1,1,1,1,3
29.8,45.3,0,1,1,0,0,0,3
35.6,2.0,0,0,0,0,1,0,0
31.3,29.9,1,0,1,1,0,0,0
26.8,28.9,0,1,0,0,1,0,3
13.1,31.4,0,1,1,1,0,0,3
18.1,14.9,1,1,0,0,1,1,3
11.5,23.8,0,0,0,1,1,0,0
35.7,26.5,0,1,1,1,1,1,3
15.2,15.4,0,0,1,1,1,1,0
15.3,50.4,1,1,1,0,1,0,3
40.0,47.3,0,1,1,0,0,1,3
19.4,65.4,0,1,1,0,0,0,3
15.8,13.4,0,0,1,1,1,0,0
19.6,4.4,0,0,0,1,0,1,0
24.6,69.5,0,0,1,1,0,0,0
36.8,48.8,0,1,1,0,0,1,3
39.3,35.1,1,0,0,0,1,1,0
30.3,62.0,1,0,1,1,1,0,0
35.9,61.7,0,1,1,1,0,1,3
23.3,26.9,0,0,1,1,1,0,0
37.1,42.0,1,0,1,0,1,1,0
26.6,5.1,1,1,0,1,1,0,3
21.9,11.5,1,0,0,0,1,0,0
39.1,15.6,0,1,0,0,0,1,3
39.5,42.2,0,0,0,0,1,0,0
29.4,55.8,0,1,0,0,1,1,3
33.3,2.0,0,0,0,1,0,1,0
17.1,51.8,0,0,1,1,0,0,0
17.0,68.8,0,0,1,0,1,0,0
15.2,61.9,0,0,1,0,1,0,0
38.2,51.4,1,1,0,0,1,0,3
30.3,56.9,0,0,0,1,0,1,0
25.3,67.3,0,0,1,1,0,0,0
17.9,30.9,0,0,0,1,1,0,0
36.9,50.5,1,1,1,1,1,1,3
36.4,59.5,0,0,1,1,0,1,0
25.7,29.4,1,0,0,0,1,0,0
23.7,35.2,0,0,1,1,1,1,0
13.3,27.2,0,1,0,0,0,1,3
34.5,60.7,0,0,1,0,0,1,0
24.2,62.8,0,0,0,1,0,0,0
24.0,63.5,0,0,0,1,0,0,0
24.6,1.6,0,1,0,0,0,0,3
19.7,61.9,0,0,1,1,0,1,0
35.2,61.9,1,1,1,1,0,0,3
21.8,31.5,0,0,1,0,1,1,0
18.7,6.0,0,0,0,0,1,0,0
17.1,16.3,0,0,0,1,1,1,0
23.7,35.9,0,1,0,0,0,1,3
17.2,21.5,0,0,0,1,1,0,0
23.7,12.7,0,1,1,0,0,0,3
20.8,42.1,0,1,1,0,1,0,3
33.2,42.6,1,0,1,0,1,1,0
19.2,58.3,0,1,1,0,0,1,3
18.2,67.0,1,0,0,0,0,1,0
20.8,19.4,0,1,0,0,0,0,3
35.1,10.4,1,1,1,1,0,0,3
11.1,49.0,0,0,1,0,1,1,0
37.5,7.3,0,0,1,1,0,1,0
15.6,18.7,1,0,1,0,0,1,0
19.5,41.3,0,0,0,1,0,0,0
26.7,4.8,1,0,1,1,0,1,0
36.9,42.6,1,1,1,0,0,1,3
24.7,56.2,0,0,0,0,0,0,0
23.1,14.0,0,1,1,0,1,0,3
25.2,55.5,1,1,0,1,1,1,3
15.4,32.0,0,1,1,0,1,1,3
19.5,21.6,0,1,1,1,0,1,3
10.3,66.8,1,0,0,1,1,0,0
14.0,40.0,1,1,1,1,1,0,3
38.8,18.6,0,1,0,1,1,0,3
16.0,16.4,0,0,1,0,1,1,0
24.4,34.6,0,0,1,0,0,1,0
19.1,36.0,1,0,1,0,0,1,0
17.2,60.5,1,1,0,0,1,0,3
27.2,47.7,0,0,1,0,1,1,0
16.7,2.6,0,1,0,0,1,1,3
39.2,3.8,1,1,1,0,1,0,3
29.0,42.4,0,1,1,1,1,1,3
25.5,3.1,1,0,1,1,1,0,0
32.0,62.1,0,1,1,1,0,1,3
36.0,4.3,1,0,0,0,0,0,0
10.3,46.7,1,1,1,1,1,1,3
36.7,3.0,0,0,1,1,1,1,0
11.9,30.7,1,0,1,1,0,1,0
16.1,40.9,1,0,1,1,0,1,0
27.7,60.6,0,1,0,0,1,1,3
32.6,32.6,1,0,1,1,1,1,0
12.9,19.9,0,1,1,0,1,1,3
20.6,33.2,1,0,0,0,0,0,0
21.6,39.1,1,0,1,0,1,1,0
25.2,34.5,0,1,0,1,0,0,3
39.4,40.8,0,0,0,0,1,1,0
28.6,61.6,1,1,0,0,0,0,3
29.2,30.2,1,1,1,1,0,1,3
20.9,66.0,1,0,0,0,0,1,0
39.2,23.4,0,1,1,1,0,0,3
34.0,7.2,0,1,1,1,0,1,3
11.3,54.4,1,1,1,0,0,1,3
22.5,69.7,1,0,0,0,0,1,0
35.3,63.3,0,0,1,1,0,0,0
30.3,67.5,1,1,0,0,0,1,3
27.8,57.5,0,0,1,0,1,0,0
19.3,30.0,1,1,1,0,0,1,3
19.1,38.0,1,0,0,0,1,1,0
33.5,70.6,1,0,0,1,1,0,0
13.4,9.6,1,0,0,0,0,1,0
20.1,16.1,0,1,0,1,0,1,3
34.1,58.9,1,0,1,0,1,0,0
10.2,64.4,1,1,1,0,1,1,3
31.6,34.7,1,0,0,1,1,1,0
27.7,56.6,0,0,1,1,1,0,0
30.8,2.6,0,1,0,1,1,0,3
33.2,1.5,0,1,0,0,1,0,3
22.1,63.2,0,1,0,1,1,0,3
39.4,24.5,0,0,1,1,0,0,0
24.9,30.9,1,1,1,1,1,0,3
15.8,52.7,1,0,1,1,0,1,0
34.4,34.0,0,0,0,0,1,0,0
30.0,60.4,1,0,0,0,0,0,0
25.7,23.4,0,0,0,0,1,1,0
25.2,3.1,0,1,0,1,1,1,3
24.4,54.7,0,0,1,1,1,1,0
37.5,12.1,1,0,1,1,1,0,0
29.8,46.9,0,1,1,1,0,0,3
35.0,58.9,1,0,1,0,0,1,0
27.2,52.3,0,1,0,0,1,1,3
19.7,54.4,1,1,1,1,0,1,3
38.6,33.5,1,0,0,1,0,0,0
34.8,58.6,0,1,0,1,1,1,3
21.0,7.4,1,0,0,0,1,1,0
35.0,26.8,1,0,0,0,0,1,0
14.5,22.2,0,1,0,1,1,0,3
27.2,28.0,0,0,1,0,1,1,0
35.4,35.0,0,0,0,1,0,1,0
34.9,61.8,1,1,1,1,0,0,3
38.6,16.8,0,0,1,1,1,0,0
26.0,60.2,0,1,1,0,0,0,3
24.0,35.9,1,1,1,1,0,0,3
15.2,28.8,0,0,1,0,0,0,0
28.8,39.0,0,0,1,1,0,0,0
16.4,51.5,1,0,1,0,1,0,0
34.6,15.8,1,0,0,1,0,0,0
17.1,29.5,0,1,1,1,1,0,3
34.4,42.0,0,0,0,0,0,0,0
24.2,63.8,1,0,0,0,0,1,0
10.5,6.8,0,1,1,0,0,1,3
21.7,65.5,1,1,1,1,1,0,3
13.4,29.0,0,0,1,1,0,1,0
26.0,47.9,1,1,0,1,1,0,3
36.6,32.6,0,1,1,1,0,0,3
20.2,53.4,0,1,0,1,1,1,3
18.7,33.0,0,1,1,0,1,0,3
34.2,52.3,1,0,0,1,0,0,0
10.5,22.0,1,0,1,0,0,0,0
11.7,51.4,0,0,1,0,0,0,0
22.9,18.8,0,1,0,1,0,1,3
22.1,47.3,1,0,1,1,1,1,0
23.7,41.2,1,0,0,1,1,0,0
38.9,12.4,0,1,1,0,1,0,3
35.5,48.5,0,1,0,0,0,1,3
30.8,34.7,0,0,0,1,0,1,0
28.6,2.3,0,0,0,0,0,1,0
24.0,7.3,0,0,0,1,0,1,0
29.2,36.2,1,1,0,0,0,1,3
21.5,10.4,1,0,1,0,0,1,0
21.7,53.0,1,0,0,0,1,0,0
38.3,1.6,1,1,0,0,1,0,3
16.3,55.5,1,1,1,1,1,1,3
21.0,11.7,0,0,0,0,0,1,0
20.0,57.9,0,0,0,0,0,1,0
35.9,48.1,0,0,0,0,1,1,0
17.8,48.5,0,0,1,0,1,0,0
11.3,35.5,1,1,0,0,1,1,3
19.6,54.2,0,0,1,0,1,1,0
28.2,14.6,1,1,0,0,0,1,3
32.2,50.9,1,1,1,1,1,1,3
33.4,45.4,0,1,1,0,1,0,3
11.5,43.8,1,0,1,0,0,0,0
36.6,65.5,1,0,1,1,1,1,0
11.6,20.7,0,1,1,0,1,0,3
27.3,52.5,0,0,0,1,0,0,0
24.8,44.9,1,0,0,1,1,1,0
23.3,61.2,1,0,1,0,0,0,0
34.3,36.9,0,1,0,1,0,0,3
16.5,17.0,0,1,0,1,0,1,3
23.1,36.7,1,1,1,0,1,0,3
32.1,68.8,0,0,1,1,1,0,0
28.8,42.9,0,1,1,1,1,0,3
25.6,53.8,0,1,1,1,1,0,3
34.1,11.6,0,1,1,1,1,0,3
37.1,61.7,0,0,0,0,1,1,0
36.0,67.8,0,1,1,1,1,0,3
19.1,15.1,1,1,0,1,1,0,3
36.0,21.4,0,1,1,0,0,0,3
12.9,33.2,0,1,0,1,0,0,3
20.5,17.1,0,1,1,0,1,0,3
22.5,16.5,0,0,0,1,1,1,0
27.8,54.6,1,1,1,1,0,1,3
30.7,21.7,0,1,0,1,1,1,3
39.9,29.0,0,0,0,1,0,1,0
26.1,66.2,0,0,0,1,1,1,0
13.5,57.0,0,0,1,0,0,1,0
30.3,40.5,1,0,1,0,0,1,0
37.4,64.5,1,1,0,1,0,1,3
13.1,32.9,1,0,1,1,0,1,0
34.4,43.0,1,0,1,1,1,1,0
33.4,49.1,1,0,1,0,1,1,0
19.7,57.0,0,0,0,0,1,1,0
25.7,24.7,1,1,0,1,0,0,3
23.6,48.8,1,1,0,1,1,0,3
15.1,61.4,1,0,1,1,0,1,0
15.5,25.0,0,1,0,0,1,0,3
11.0,68.6,0,0,0,0,1,0,0
28.2,8.2,1,1,1,1,1,1,3
38.3,23.1,0,1,0,0,0,1,3
16.4,63.2,1,1,0,1,0,1,3
23.5,36.6,0,1,0,1,1,1,3
12.3,32.7,1,1,0,1,1,1,3
21.2,14.5,0,0,0,0,1,0,0
33.0,42.4,0,1,0,1,0,1,3
36.9,2.0,0,1,0,1,1,1,3
22.1,24.0,0,0,0,1,1,1,0
39.1,30.2,1,1,0,1,1,0,3
21.4,6.2,1,1,1,1,1,0,3
36.1,24.3,0,0,0,0,1,1,0
37.5,63.0,1,0,0,1,0,1,0
35.4,15.1,0,1,1,1,0,0,3
11.7,33.9,1,0,1,0,0,0,0
35.0,66.6,0,1,1,1,1,1,3
27.8,31.9,0,1,1,0,0,0,3
19.9,24.5,1,0,1,1,0,1,0
23.9,31.2,0,1,0,0,1,1,3
34.5,1.1,1,0,1,1,0,1,0
13.0,55.4,0,0,1,1,0,1,0
32.5,22.8,1,1,0,0,0,0,3
35.7,20.0,0,1,1,0,0,0,3
15.1,64.2,0,1,1,1,0,1,3
40.0,43.2,0,0,0,0,0,0,0
36.2,55.6,1,1,1,0,1,1,3
13.7,69.5,0,0,1,0,0,1,0
28.3,46.1,0,0,1,1,1,0,0
10.8,27.3,0,0,1,1,1,0,0
20.6,34.7,1,1,0,0,0,0,3
14.5,40.8,0,0,1,1,0,0,0
35.7,71.3,0,0,1,0,0,0,0
27.7,43.8,0,1,0,0,0,1,3
15.9,56.9,1,1,1,1,0,0,3
17.7,44.6,1,0,1,0,1,1,0
39.0,65.8,1,1,0,1,1,0,3
32.9,64.5,0,1,1,1,0,1,3
20.3,41.1,1,1,1,0,1,0,3
12.7,69.8,1,0,0,0,0,1,0
18.8,70.4,1,1,1,1,1,0,3
10.1,56.6,1,1,1,0,0,0,3
23.3,3.6,1,1,0,1,0,0,3
19.2,7.3,1,0,1,1,1,0,0
28.9,11.1,0,1,0,1,0,1,3
18.4,65.7,0,0,1,1,0,0,0
16.1,66.9,1,1,0,0,1,1,3
22.4,46.4,0,1,1,1,0,0,3
20.8,19.6,0,1,0,1,1,1,3
32.4,50.7,0,0,1,1,1,0,0
34.7,69.5,1,0,1,0,1,0,0
24.4,53.2,0,0,0,0,1,0,0
10.4,65.8,1,0,0,0,1,0,0
17.8,48.4,0,1,1,1,1,0,3
22.5,22.5,1,0,0,0,1,1,0
28.3,28.7,1,0,0,1,0,0,0
32.1,6.9,1,1,1,0,1,0,3
16.7,40.8,1,1,0,1,0,1,3
19.4,51.8,1,1,1,0,0,0,3
21.2,61.5,1,1,0,0,0,1,3
26.9,2.9,1,1,1,1,0,1,3
23.7,58.5,1,0,1,1,1,1,0
24.3,28.3,0,0,1,1,0,1,0
12.1,11.1,0,1,0,0,1,0,3
10.8,49.1,1,0,1,0,1,1,0
14.0,52.3,1,1,0,0,0,0,3
15.7,21.2,1,1,0,1,0,0,3
11.9,5.6,0,0,1,1,0,1,0
22.8,36.9,0,0,1,0,1,0,0
25.4,41.0,1,0,0,0,1,1,0
26.1,12.4,0,0,0,1,1,1,0
26.1,22.3,0,1,0,0,0,1,3
35.9,11.9,0,0,0,1,0,1,0
12.9,26.5,1,0,0,0,1,1,0
30.7,25.2,1,1,0,1,0,0,3
25.7,5.2,0,0,0,0,0,1,0
19.4,44.9,0,1,1,0,1,0,3
17.7,15.5,0,0,0,1,1,0,0
17.7,35.9,1,0,1,0,1,0,0
35.5,7.3,0,1,1,1,0,0,3
38.8,63.7,1,0,1,1,1,0,0
11.4,16.5,0,1,0,0,0,0,3
36.5,33.4,1,0,0,1,1,0,0
13.1,57.9,0,1,0,1,0,1,3
39.4,12.7,1,1,0,0,1,0,3
26.7,13.4,0,0,0,0,1,0,0
31.7,28.8,0,0,1,1,1,0,0
13.7,69.7,0,1,1,1,0,0,3
28.1,71.8,0,1,1,1,1,1,3
15.7,45.2,1,0,0,0,1,1,0
34.9,4.0,0,1,1,1,0,0,3
15.8,16.5,1,0,0,1,1,1,0
27.1,68.3,1,0,1,0,0,1,0
29.4,22.5,0,1,1,0,1,0,3
18.8,16.0,0,1,0,1,0,1,3
28.8,26.1,1,1,1,0,0,1,3
36.3,22.2,0,1,0,0,0,1,3
28.9,58.9,1,0,1,1,1,0,0
37.1,63.6,1,0,1,1,1,0,0
22.6,55.4,0,0,0,0,1,0,0
22.4,2.0,1,0,1,0,0,0,0
23.6,35.9,1,1,1,1,1,0,3
11.7,45.1,0,1,1,0,1,1,3
24.1,35.3,1,0,0,0,0,1,0
25.2,17.0,1,0,0,0,0,1,0
25.0,12.4,0,0,1,0,0,1,0
30.1,43.8,1,1,1,0,0,0,3
10.2,56.1,0,1,0,0,1,0,3
25.2,19.8,0,1,1,1,0,0,3
24.3,39.4,1,0,0,1,0,0,0
23.0,41.4,1,1,0,0,0,1,3
20.1,40.4,0,0,0,1,0,1,0
17.0,67.4,1,0,1,0,0,1,0
27.3,71.1,0,0,0,0,1,0,0
33.7,51.1,0,0,0,1,0,1,0
27.4,50.6,0,0,1,1,0,1,0
14.5,29.2,1,0,0,0,1,1,0
38.1,14.1,0,1,1,1,0,1,3
14.4,2.7,0,1,0,0,0,0,3
21.3,57.2,1,1,0,0,1,1,3
13.2,2.0,1,0,1,1,1,0,0
33.1,50.0,0,1,1,0,1,0,3
34.3,7.7,0,1,0,1,0,0,3
35.2,11.5,0,1,0,1,0,0,3
19.4,60.1,1,1,0,0,1,1,3
21.9,51.0,0,1,0,0,0,1,3
37.2,28.5,1,1,1,1,0,1,3
11.3,3.2,0,0,0,1,1,0,0
33.4,13.4,0,1,0,1,0,1,3
16.2,45.3,0,1,1,1,1,1,3
12.4,53.1,0,0,0,1,1,0,0
33.1,33.3,1,1,1,1,0,1,3
39.3,58.6,0,1,1,1,1,1,3
31.5,61.1,1,1,0,0,0,1,3
11.8,29.2,0,0,1,1,1,0,0
24.0,25.6,0,1,0,1,0,1,3
13.5,44.2,0,0,1,0,1,0,0
10.9,35.5,0,1,1,0,0,0,3
23.5,24.8,0,0,1,0,1,0,0
34.0,43.7,1,0,1,1,0,0,0
39.6,3.9,1,0,0,0,0,1,0
16.5,33.1,1,1,0,1,0,0,3
20.7,34.4,1,1,1,0,0,0,3
13.7,53.9,0,0,1,0,1,0,0
28.1,6.9,0,1,1,1,1,0,3
29.7,4.1,1,1,0,0,1,1,3
11.1,31.9,1,0,1,0,1,1,0
16.1,7.0,1,1,0,0,0,0,3
13.0,54.5,0,0,1,1,1,1,0
38.9,59.7,0,0,0,0,1,0,0
23.5,43.8,1,1,1,0,1,0,3
29.1,38.8,0,0,1,0,0,1,0
24.6,16.5,1,1,0,0,0,0,3
17.6,71.0,0,1,0,0,1,0,3
35.6,34.6,0,1,1,0,1,1,3
26.2,68.5,0,1,1,0,0,1,3
35.8,42.4,1,0,1,1,1,0,0
15.3,30.7,0,0,0,0,0,0,0
29.9,17.0,1,0,0,0,1,1,0
26.8,42.9,1,0,1,0,0,0,0
25.8,14.5,0,1,0,0,0,1,3
39.5,23.8,1,0,1,1,1,0,0
38.0,30.7,1,1,0,0,1,1,3
28.6,21.3,1,0,1,0,1,1,0
37.7,2.2,0,1,0,1,1,0,3
21.0,41.9,1,1,0,1,0,0,3
24.2,6.6,1,0,1,1,0,0,0
26.4,42.7,0,0,0,1,0,1,0
23.2,61.2,1,1,1,1,0,1,3
23.9,72.0,1,0,0,0,1,1,0
26.6,3.4,1,1,1,0,0,0,3
15.0,31.8,1,1,1,0,0,1,3
26.2,60.4,1,1,1,0,0,1,3
31.2,30.7,0,0,1,1,1,1,0
39.6,15.3,0,1,0,0,1,1,3
31.3,55.0,1,0,0,0,0,0,0
23.5,60.5,1,0,1,0,1,0,0
39.7,13.4,1,1,1,1,1,1,3
36.7,57.2,1,0,1,0,0,0,0
15.8,41.2,1,0,0,0,0,0,0
30.9,26.0,1,0,1,0,0,0,0
27.2,64.5,0,0,1,1,1,0,0
25.5,68.4,0,0,1,1,1,0,0
13.5,37.2,0,1,1,0,1,1,3
38.0,71.8,0,0,1,1,1,0,0
24.0,35.6,1,1,1,1,1,0,3
28.4,70.8,0,1,0,1,1,1,3
28.9,46.9,1,1,1,0,1,1,3
17.7,42.9,1,0,1,0,1,0,0
12.4,40.0,1,0,0,0,1,0,0
37.8,19.3,1,0,1,0,1,1,0
20.1,42.0,1,1,0,1,1,0,3
23.5,42.1,0,0,0,1,1,0,0
16.7,51.5,0,1,0,1,0,0,3
32.0,4.2,0,1,0,0,1,0,3
23.6,38.0,1,1,0,1,0,0,3
35.2,26.2,0,1,0,1,1,0,3
31.1,37.8,0,0,0,1,0,0,0
39.7,65.0,0,0,0,0,1,1,0
12.5,6.7,0,1,0,0,1,0,3
25.7,42.8,0,1,1,0,0,0,3
25.3,34.2,0,1,0,0,1,1,3
19.2,21.7,0,0,1,0,0,1,0
27.0,20.4,0,1,0,1,1,1,3
16.9,22.6,1,1,0,1,1,0,3
21.7,36.3,1,1,1,0,1,0,3
34.6,43.0,0,1,0,0,1,1,3
23.9,12.8,0,1,0,1,1,0,3
26.6,39.4,0,0,1,1,0,1,0
31.0,58.9,1,1,0,0,1,0,3
15.0,57.3,1,1,1,0,1,1,3
32.7,55.5,0,0,1,1,1,0,0
16.5,10.9,0,0,0,1,0,1,0
