etapa,codigo,perigos,Justificativa,probabilidade,severidade,risco,Medidas Preventivas,O Perigo É significativo?
Envase / Rotulagem,Q1,Produtos químicos diversos,Presença de resíduos de produtos químicos utilizados para limpeza dos equipamentos e embalagens.,Média,Baixa,Baixo,BPF: procedimentos de higienização dos equipamentos e embalagens e treinamento dos manipuladores.,Não
Envase / Rotulagem,QUAL3,Umidade elevada,Utilização de equipamentos e embalagens que não estejam convenientemente secos após higienização.,Desprezível,Alta,Baixo,BPF: procedimentos de higienização dos equipamentos e embalagens e treinamento dos manipuladores.,Sim
Armazenamento de produtos acabados,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento de produtos acabados,F7,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento de produtos acabados,Q5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento de produtos acabados,QUAL2,HMF elevado,Armazenamento em temperaturas elevadas e por longo tempo.,Desprezível,Alta,Baixo,"Armazenar os recipientes com mel em ambiente adequado e temperaturas amenas, reduzir o tempo de estocagem do produto na unidade de extração.",Sim
Expedição,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Expedição,F7,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Expedição,Q5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Expedição,QUAL2,HMF elevado,Exposição das embalagens a temperaturas elevadas.,Desprezível,Alta,Baixo,"Manter os recipientes com mel em temperaturas menos elevadas, evitar a exposição do produto ao sol e reduzir o tempo de expedição.",Sim
Recepção do mel,B3,Clostridium botulinum (esporos),"Esporos no produto provenientes de sujidades (poeira, solo etc.) ou por larvas mortas contaminadas. Pode provocar botulismo infantil em crianças com menos de um ano de idade.",Baixa,Alta,Médio,"Perigo a ser controlado na rotulagem, não controlado no estabelecimento.",Sim
Recepção do mel,Q2,Fármacos e defensivos agrícolas,"Oriundos da unidade de extração, por colher ou receber mel de unidades que não utilizam as BP Apícolas.",Desprezível,Alta,Baixo,"BPF: programa de credenciamento e qualidade assegurada de fornecedores com exigência de atestado assinado, afirmando que não aplicou fármacos e que manteve o controle sobre o risco de contaminação por pesticidas.",Sim
Recepção do mel,F3,Sujidades (grãos de areia maiores que 1/25”),Presença de grãos de areia no momento da coleta de amostras de mel para as análises de rotina.,Média,Baixa,Baixo,BPF: higienização adequada dos utensílios utilizados para coleta de amostras e treinamento dos manipuladores para a coleta.,Não
Recepção do mel,QUAL2,HMF elevado,Exposição dos tambores de mel ao sol e à temperatura ambiente elevada leva à produção de HMF.,Desprezível,Alta,Baixo,BPF: evitar exposição dos tambores ao sol e a temperaturas elevadas; treinamento dos colaboradores.,Sim
Recepção da embalagem,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Recepção da embalagem,Q4,Contaminantes químicos,Tinta de revestimento interno da embalagem poderá ter resíduos que podem contaminar o produto.,Média,Baixa,Baixo,BPF: programa de credenciamento de fornecedor com qualidade assegurada.,Sim
Recepção da embalagem,F7,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Recepção da embalagem,QUAL4,Alteração de sabor,Sabor do produto alterado pelo revestimento interno inadequado dos tambores com uso de tintas e produtos não adequados.,Média,Baixa,Baixo,BPF: programa de credenciamento de fornecedor com qualidade assegurada.,Não
Armazenamento do Mel,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento do Mel,F7,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento do Mel,Q5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento do Mel,QUAL2,HMF elevado,Inerente ao tempo de armazenamento dos tambores de mel a temperaturas ambientais elevadas com conseqüente produção de HMF.,Desprezível,Alta,Baixo,BPF: evitar armazenamento por longo tempo a temperaturas elevadas.,Sim
Armazenamento do Mel,QUAL5,Acidez elevada e escurecimento,Inerente ao processo de envelhecimento e à manutenção em temperaturas elevadas.,Desprezível,Alta,Baixo,BPF: evitar armazenamento por longo tempo a temperaturas elevadas.,Sim
Higienização dos tambores,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Higienização dos tambores,F7,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Higienização dos tambores,Q3,Resíduos Químicos,Resíduos oriundos de produtos de limpeza utilizados na higienização dos tambores.,Média,Baixa,Baixo,BPF: treinamento do pessoal no processo de higienização.,Não
Higienização dos tambores,QUAL6,Aumento de umidade do mel,Resíduos da lavagem presentes nos tambores.,Desprezível,Alta,Baixo,BPF: treinamento do pessoal no processo de higienização.,Sim
Descristalização do mel,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Descristalização do mel,Q1,Produtos químicos diversos,Presença de resíduos utilizados na higienização de equipamentos.,Média,Baixa,Baixo,BPF: treinamento dos colaboradores na higienização dos equipamentos.,Não
Descristalização do mel,F5,Sujidades - (fragmentos de insetos),Falha na limpeza do equipamento e/ou presença de abelhas no ambiente que podem cair no produto em processo.,Média,Baixa,Baixo,BPF: treinamento de colaboradores na higienização e controle integrado de pragas.,Não
Descristalização do mel,QUAL2,HMF elevado,Não observação do binômio tempo/temperatura durante a descristalização.,Desprezível,Alta,Baixo,Procedimentos de controle do binômio tempo/temperatura do tanque de descristalização.,Sim
Descristalização do mel,QUAL7,Atividade enzimática baixa,Não observação do binômio tempo/temperatura durante a descristalização.,Desprezível,Alta,Baixo,Procedimentos de controle do binômio tempo/temperatura do tanque de descristalização.,Sim
Descristalização do mel,QUAL8,Escurecimento do mel,Não observação do binômio tempo/temperatura durante a descristalização.,Baixa,Média,Baixo,Procedimentos de controle do binômio tempo/temperatura do tanque de descristalização.,Sim
Descristalização do mel,QUAL3,Umidade elevada,Utilização de equipamentos molhados e falha no processo de higienização.,Desprezível,Alta,Baixo,BPF: procedimentos de higienização corretos; secar adequadamente os equipamentos e remoção de resíduos.,Sim
Descristalização do mel,QUAL9,Fungos (bolores e leveduras),Utilização de equipamentos molhados e falha no processo de higienização.,Média,Baixa,Baixo,BPF: procedimentos de higienização corretos; secar adequadamente os equipamentos e remoção de resíduos.,Sim
Filtragem,Q1,Produtos químicos diversos,Presença de resíduos de produtos químicos utilizados para limpeza de equipamentos e utensílios.,Média,Baixa,Baixo,BPF: higienização dos equipamentos e treinamento dos colaboradores.,Não
Filtragem,F3,Sujidades (grãos de areia maiores que 1/25”),Podem chegar no produto final por falha no processo de limpeza ou de filtração do mel por rompimento do elemento filtrante.,Média,Baixa,Baixo,BPF: manutenção preventiva dos equipamentos.,Não
Filtragem,QUAL10,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Desumidificação,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Desumidificação,Q1,Produtos químicos diversos,Presença de resíduos de produtos químicos utilizados para limpeza dos equipamentos.,Média,Baixa,Baixo,BPF: higienização adequada dos equipamentos e treinamento dos colaboradores.,Não
Desumidificação,F8,Não ocorre,(Não listado),,,,(Não listado),(Não listado)
Desumidificação,QUAL11,Não ocorre,(Não listado),,,,(Não listado),(Não listado)
Homogeneização,B6,Não ocorre,(Não listado),,,,(Não listado),(Não listado)
Homogeneização,Q1,Produtos químicos diversos,Presença de resíduos de produtos químicos utilizados para limpeza dos equipamentos.,Média,Baixa,Baixo,BPF: higienização adequada dos equipamentos e treinamento dos colaboradores.,Não
Homogeneização,F5,Sujidades - (fragmentos de insetos),Presença de sujidades nos recipientes.,Média,Baixa,Baixo,"BPF: higienização adequada, treinamento dos colaboradores e controle de pragas.",Não
Homogeneização,QUAL2,HMF elevado,Exposição de mel à temperatura elevada no caso de uso de homogeneizadores com aquecimento.,Desprezível,Alta,Baixo,Procedimentos que evitem a exposição do mel a temperaturas elevadas no homogeneizador.,Sim
Homogeneização,QUAL7,Atividade enzimática baixa,Exposição de mel à temperatura elevada no caso de uso de homogeneizadores com aquecimento.,Desprezível,Alta,Baixo,Evitar a exposição do mel a temperaturas elevadas no homogeneizador.,Sim
Homogeneização,QUAL9,Fungos (bolores e leveduras),Utilização de equipamentos molhados. Falha no processo de higienização.,Média,Baixa,Baixo,BPF com relação ao processo de higienização. Secar adequadamente os equipamentos.,Não
Decantação,B6,Não ocorre,(Não listado),,,,(Não listado),(Não listado)
Decantação,Q1,Produtos químicos diversos,Presença de resíduos de produtos químicos utilizados para limpeza dos equipamentos.,Média,Baixa,Baixo,BPF: higienização adequada dos equipamentos e treinamento dos colaboradores.,Não
Decantação,F5,Sujidades - (fragmentos de insetos),Presença de sujidades nos recipientes.,Média,Baixa,Baixo,"BPF: higienização adequada, treinamento dos colaboradores e controle de pragas.",Não
Decantação,QUAL9,Fungos (bolores e leveduras),Utilização de equipamentos molhados. Falha no processo de higienização.,Média,Baixa,Baixo,BPF com relação ao processo de higienização. Secar adequadamente os equipamentos.,Não
Envase / Rotulagem,B3,Clostridium botulinum (esporos),Esporos provenientes de sujidades ou por larvas mortas contaminadas. Podem provocar botulismo infantil em crianças menores de um ano.,Baixa,Alta,Médio,Perigo não controlado no estabelecimento. Comunicação no rótulo: “PRODUTO NÃO RECOMENDADO PARA CONSUMO POR CRIANÇAS MENORES DE UM ANO DE IDADE”.,Sim
Envase / Rotulagem,Q3,Resíduos Químicos,Pode ocorrer a migração de substâncias químicas do material utilizado no revestimento do tambor.,Média,Baixa,Baixo,BPF: seleção de tambores com revestimentos adequados.,Não
Envase / Rotulagem,F6,Sujidades – fragmentos da embalagem,Fragmentos das embalagens e sujidades que não são removidos durante a higienização.,Média,Baixa,Baixo,BPF: selecionar fornecedores de embalagem; higienização adequada das embalagens e treinamento dos colaboradores.,Não
Envase / Rotulagem,QUAL3,Umidade elevada,Utilização de embalagens molhadas.,Média,Baixa,Baixo,BPF: secar adequadamente as embalagens antes do uso.,Sim
Envase / Rotulagem,QUAL4,Alteração de sabor,Migração de substâncias inerentes à embalagem.,Média,Baixa,Baixo,Selecionar embalagem com revestimento adequado.,Não
Armazenamento,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento,F7,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento,Q5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Armazenamento,QUAL2,HMF elevado,Armazenamento em temperatura elevada e por tempo prolongado.,Desprezível,Alta,Baixo,Evitar o armazenamento do mel em temperaturas elevadas e por muito tempo.,Sim
Armazenamento,QUAL7,Atividade enzimática baixa,Armazenamento em temperatura elevada e por tempo prolongado.,Desprezível,Alta,Baixo,Evitar o armazenamento do mel em temperaturas elevadas e por muito tempo.,Sim
Expedição,B5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Expedição,F7,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Expedição,Q5,Nenhum,(Não listado),,,,(Não listado),(Não listado)
Expedição,QUAL2,HMF elevado,Exposição do mel ao sol durante a expedição do produto.,Desprezível,Alta,Baixo,BPF: treinamento dos colaboradores e expedição com proteção ao sol.,Sim
Expedição,QUAL7,Atividade enzimática baixa,Exposição do mel ao sol durante a expedição do produto.,Desprezível,Alta,Baixo,BPF: treinamento dos colaboradores e expedição com proteção ao sol.,Sim
