tempo_decantacao_h,temperatura_decantacao_c,tanque_limpio_sanitizado,cobertura_anti_pragas,remocao_espuma_impurezas,material_tanque_inox_grau_alimentar,claridade_visual_nota,lote_identificado,probabilidade
71.2,22.6,1,1,0,1,1.0,0,2
50.9,21.8,0,0,0,0,2.0,0,2
13.9,23.6,0,1,1,0,0.0,0,1
32.5,23.3,0,0,0,0,2.0,0,1
22.8,33.6,0,1,0,1,0.0,0,2
10.4,25.1,0,0,0,1,2.0,0,1
35.1,32.7,1,1,0,1,1.0,0,2
36.6,31.2,0,0,0,0,1.0,1,2
56.9,30.8,0,1,0,0,2.0,1,3
19.7,26.3,1,1,0,1,1.0,0,1
48.7,18.0,1,1,1,1,1.0,0,2
43.9,20.0,1,0,0,0,1.0,1,1
33.4,24.4,0,1,0,0,2.0,1,1
68.5,35.0,0,1,0,0,2.0,1,3
67.8,18.4,1,1,1,1,1.0,1,2
43.0,27.3,0,0,0,1,2.0,1,2
8.4,24.1,1,1,1,1,0.0,1,1
66.5,29.5,1,1,1,1,1.0,1,2
29.5,34.4,1,0,0,1,2.0,1,2
60.5,29.2,0,0,0,0,2.0,1,2
52.2,20.4,0,0,0,1,2.0,0,2
9.7,21.4,0,0,1,0,0.0,0,1
59.5,30.6,0,0,1,0,1.0,1,3
24.5,25.8,0,1,1,0,1.0,0,0
62.2,28.5,0,0,0,0,2.0,1,2
55.7,21.1,0,0,0,1,1.0,1,2
37.5,21.0,0,1,0,0,2.0,0,1
5.3,34.4,0,0,0,1,1.0,0,3
66.0,22.2,1,0,1,0,0.0,0,2
66.0,23.6,1,0,0,0,1.0,1,2
70.4,23.6,1,1,0,1,1.0,1,2
66.5,22.6,1,1,0,1,1.0,1,2
35.2,33.9,0,0,1,1,1.0,1,3
61.6,18.8,0,0,0,0,0.0,1,2
42.2,22.4,1,1,0,0,1.0,0,1
53.1,19.0,1,1,0,1,1.0,0,2
9.1,28.3,1,0,0,1,2.0,1,2
51.5,19.6,0,1,1,1,0.0,1,2
11.9,23.0,0,1,0,1,0.0,1,1
20.1,34.2,1,0,1,1,1.0,0,2
21.6,20.4,0,0,1,0,0.0,1,0
20.2,27.4,0,0,0,1,1.0,0,1
8.6,20.9,1,0,1,0,1.0,0,1
34.3,19.5,1,1,0,0,1.0,0,1
56.6,19.8,0,0,0,1,1.0,0,2
54.1,33.5,0,1,0,1,2.0,0,3
18.5,22.6,1,1,1,0,1.0,1,0
28.0,30.2,0,1,0,0,2.0,1,1
45.7,24.0,0,1,0,0,1.0,1,1
43.4,20.7,1,1,1,1,2.0,0,1
7.3,21.6,0,0,0,1,1.0,1,1
12.3,30.1,0,1,0,1,1.0,0,2
41.3,23.2,1,0,1,0,1.0,0,1
4.3,22.8,1,1,0,0,1.0,0,1
67.7,32.1,0,1,1,0,0.0,1,3
17.8,21.4,1,0,1,1,1.0,0,0
28.8,24.2,1,1,0,1,2.0,1,0
55.1,32.9,1,0,0,0,0.0,0,3
28.2,25.2,0,0,1,1,1.0,1,0
24.4,20.7,1,0,1,0,1.0,1,0
3.0,32.6,1,1,0,0,2.0,0,3
4.3,22.4,0,0,1,1,2.0,1,1
13.9,22.2,1,0,0,1,2.0,0,1
3.8,31.9,0,0,1,1,2.0,1,3
67.5,26.5,1,1,1,1,0.0,1,2
63.9,31.0,0,1,0,1,1.0,0,3
68.9,25.6,0,0,1,0,2.0,1,2
66.7,28.7,0,1,1,1,1.0,0,2
64.7,23.9,1,1,0,0,1.0,1,2
45.2,23.8,0,0,1,0,1.0,0,1
52.5,24.3,0,0,0,1,1.0,1,2
25.4,28.0,0,0,1,0,1.0,1,1
5.9,26.1,0,0,1,1,1.0,1,1
27.1,18.7,0,1,1,0,0.0,0,0
51.6,20.3,1,1,0,1,1.0,0,2
42.6,21.1,0,1,1,1,1.0,1,1
41.1,30.5,0,0,0,1,1.0,1,2
59.7,25.4,1,1,0,1,1.0,1,2
21.1,20.7,0,1,0,0,1.0,0,0
14.0,26.2,1,1,0,1,2.0,0,1
51.0,30.4,1,1,0,0,0.0,0,3
32.9,28.3,0,1,0,1,1.0,0,1
67.0,19.0,0,0,1,1,0.0,0,2
32.6,24.2,1,0,1,0,2.0,0,1
24.1,34.5,0,0,1,0,1.0,0,2
56.5,33.2,1,1,0,0,2.0,1,3
21.1,19.3,0,0,0,1,0.0,1,0
49.3,25.2,0,1,0,0,2.0,0,2
39.4,28.7,0,1,1,1,0.0,0,2
53.3,20.7,1,1,0,0,1.0,1,2
64.2,21.1,1,1,0,0,1.0,0,2
20.3,23.7,1,1,0,1,2.0,1,0
54.0,28.0,0,1,0,0,1.0,0,2
57.7,28.1,0,0,0,0,2.0,1,2
56.3,24.1,1,0,0,1,1.0,0,2
32.2,34.0,0,0,1,1,1.0,0,2
15.3,20.8,1,1,1,1,1.0,1,1
65.3,32.7,0,1,0,0,1.0,1,3
43.9,29.5,1,1,1,0,1.0,0,2
13.9,30.5,1,1,0,0,2.0,0,2
49.8,27.7,0,1,1,1,0.0,1,2
42.0,33.4,1,0,0,0,0.0,1,3
55.6,23.8,0,1,1,0,0.0,0,2
61.4,30.4,1,1,1,1,0.0,0,3
38.3,30.9,1,0,1,0,1.0,0,2
10.9,18.0,1,1,1,1,2.0,1,1
50.8,20.3,1,0,1,0,1.0,1,2
28.8,18.8,1,1,0,0,0.0,0,0
27.2,28.3,1,0,0,1,1.0,0,1
7.7,21.1,1,1,1,1,0.0,0,1
58.8,26.2,1,1,1,1,0.0,0,2
11.3,27.4,0,1,0,0,0.0,0,1
45.8,28.0,0,1,1,1,1.0,1,2
10.3,32.2,1,0,0,1,2.0,1,2
8.6,30.3,1,0,0,1,0.0,1,2
5.1,25.2,0,0,1,1,1.0,0,1
48.1,32.1,1,0,1,0,1.0,0,3
69.7,32.9,0,0,1,0,0.0,0,3
31.0,25.6,1,1,0,0,0.0,1,1
59.2,23.7,1,1,0,1,1.0,1,2
57.0,25.0,0,0,0,0,0.0,0,2
29.9,19.0,0,1,1,1,1.0,0,0
25.0,32.5,0,1,0,1,2.0,1,2
57.3,25.0,1,1,0,1,1.0,0,2
71.3,33.0,1,0,1,0,1.0,0,3
53.9,18.3,1,1,0,0,2.0,0,2
65.2,25.4,0,1,1,0,2.0,0,2
37.5,30.7,0,1,0,0,1.0,0,2
54.0,19.9,1,0,1,1,0.0,1,2
71.0,18.7,1,1,0,0,0.0,1,2
40.7,18.5,0,0,1,1,1.0,0,1
22.1,28.9,0,0,1,1,1.0,0,1
52.9,22.5,0,1,1,0,1.0,1,2
41.2,30.6,1,0,1,1,1.0,1,2
13.0,24.3,0,1,0,1,1.0,0,1
65.8,21.1,0,1,0,0,2.0,0,2
34.1,28.4,0,1,0,1,1.0,0,1
7.0,24.6,1,0,1,1,1.0,0,1
39.9,26.1,0,0,1,1,0.0,1,1
33.0,24.2,1,1,1,1,1.0,0,1
58.3,31.8,1,1,1,1,1.0,1,3
34.9,18.4,0,0,1,1,1.0,0,1
5.9,19.4,0,0,1,1,2.0,0,1
37.2,18.6,1,0,1,0,0.0,1,1
14.3,25.3,0,1,1,1,2.0,1,1
31.9,31.4,0,0,1,0,0.0,1,2
58.9,30.9,1,1,0,0,1.0,0,3
13.4,27.8,1,0,1,0,1.0,1,1
13.1,22.8,0,0,1,1,0.0,0,1
46.7,31.2,1,1,1,0,1.0,1,3
33.0,29.2,1,0,1,0,1.0,1,2
2.4,18.5,0,0,1,0,2.0,0,1
32.7,33.1,1,1,1,0,0.0,1,2
68.2,19.3,0,0,0,1,0.0,1,2
35.3,21.9,0,0,0,1,1.0,1,1
9.8,22.3,1,1,1,0,1.0,0,1
50.6,25.4,1,1,1,1,1.0,0,2
34.7,32.4,1,1,1,1,1.0,0,2
55.9,19.8,0,0,0,1,2.0,1,2
15.7,23.1,1,1,1,0,1.0,0,0
69.1,29.7,0,0,1,0,1.0,0,2
2.1,24.4,1,0,0,1,2.0,0,1
63.7,33.5,1,1,1,1,1.0,0,3
6.3,30.7,1,1,0,0,1.0,1,2
23.6,30.2,1,0,1,0,0.0,1,1
26.5,26.9,0,0,1,1,0.0,1,1
62.1,30.3,0,1,1,1,0.0,1,3
48.8,22.2,1,1,1,1,1.0,1,2
8.5,27.9,1,0,1,0,0.0,1,2
3.2,23.1,0,1,0,1,1.0,0,1
10.8,27.0,1,1,0,1,1.0,1,1
43.7,23.5,0,1,0,0,0.0,1,1
24.2,33.4,0,1,0,0,2.0,1,2
71.1,30.3,0,0,0,1,0.0,0,3
57.7,23.4,1,1,1,0,2.0,0,2
11.1,31.0,1,1,0,0,1.0,0,2
3.4,31.0,0,0,0,0,0.0,0,3
28.1,21.5,0,0,0,0,0.0,1,0
50.7,24.9,1,0,0,0,1.0,0,2
33.7,34.6,0,0,1,1,1.0,1,3
3.7,25.7,0,1,1,0,1.0,1,2
16.7,28.4,1,1,1,0,2.0,0,1
21.8,30.0,0,0,1,1,0.0,0,1
54.9,19.3,0,0,1,1,2.0,0,2
12.9,19.9,0,1,1,1,1.0,1,1
23.3,32.7,1,0,0,1,1.0,0,2
40.4,28.4,0,0,0,0,0.0,0,2
42.6,21.1,0,0,1,0,1.0,1,1
9.2,31.4,0,0,0,0,1.0,0,2
4.6,30.1,0,0,1,0,2.0,1,2
52.2,22.2,0,0,1,0,1.0,0,2
29.5,28.7,1,1,1,1,2.0,1,1
2.2,34.5,1,1,0,0,2.0,0,3
62.5,29.9,0,0,0,1,1.0,1,3
3.8,18.9,1,0,0,1,0.0,1,1
27.0,31.7,0,1,1,1,1.0,1,2
67.0,28.5,1,1,1,1,2.0,1,2
25.8,26.0,1,1,0,0,2.0,1,0
47.0,25.2,1,1,0,0,1.0,0,2
71.5,34.0,1,0,0,1,0.0,0,3
9.6,25.4,0,1,1,0,2.0,1,1
29.6,18.8,0,0,1,1,0.0,1,0
28.0,26.3,0,0,1,1,1.0,1,0
8.7,23.4,0,0,1,1,1.0,0,1
25.7,18.8,1,0,1,1,1.0,1,0
28.0,24.5,0,0,0,1,0.0,1,0
69.4,19.2,0,1,0,1,1.0,1,2
8.1,26.7,1,0,0,1,1.0,1,1
62.1,22.6,0,1,0,1,2.0,1,2
31.7,29.7,0,0,0,1,1.0,0,2
2.4,21.7,1,1,1,1,2.0,0,1
26.3,31.9,0,1,1,1,0.0,0,2
14.3,34.9,0,1,0,1,1.0,0,3
27.5,20.8,0,0,0,0,0.0,0,0
56.4,30.3,0,1,0,0,2.0,0,3
64.2,31.7,0,1,1,0,1.0,1,3
12.4,27.4,0,1,1,0,0.0,1,1
60.4,26.6,0,1,0,0,2.0,0,2
47.8,20.4,1,1,0,1,2.0,0,2
2.6,31.3,0,1,0,0,1.0,0,3
34.6,22.2,0,0,1,0,0.0,1,1
57.7,22.3,1,0,0,0,1.0,1,2
47.0,20.1,0,1,1,1,2.0,0,2
7.8,21.7,0,1,0,0,1.0,1,1
50.9,29.1,1,0,1,0,0.0,1,2
18.3,33.5,0,0,0,1,1.0,0,2
65.0,32.4,0,0,1,1,2.0,0,3
59.8,33.3,1,1,0,0,0.0,0,3
17.1,25.0,1,0,0,1,1.0,1,0
68.8,21.1,1,0,1,0,2.0,1,2
54.6,23.0,0,0,0,1,1.0,0,2
45.6,29.4,0,1,1,1,1.0,1,2
59.2,27.5,1,0,0,0,1.0,1,2
5.1,27.5,0,0,0,1,1.0,1,2
7.4,31.5,1,1,0,0,1.0,0,2
52.4,31.4,0,1,1,1,1.0,0,3
10.5,28.2,0,1,0,1,0.0,1,2
50.0,27.9,0,0,1,1,1.0,1,2
35.7,28.8,0,1,0,1,1.0,0,2
13.4,28.7,0,0,0,1,2.0,0,2
2.7,23.4,1,0,0,1,2.0,0,1
23.2,30.2,1,1,1,0,0.0,1,1
7.5,33.7,1,1,1,1,1.0,0,3
32.7,21.4,1,0,0,1,1.0,0,1
40.7,20.3,1,0,1,1,1.0,1,1
65.4,22.8,0,0,0,0,1.0,0,2
70.3,25.5,0,1,0,1,1.0,1,2
12.4,30.9,1,1,1,1,1.0,1,2
3.7,34.9,0,1,1,0,2.0,0,3
10.9,23.8,1,0,0,1,1.0,1,1
69.6,30.2,1,1,1,0,0.0,1,3
19.5,33.0,0,0,1,1,0.0,0,2
29.3,18.4,0,0,1,0,1.0,0,0
16.4,25.8,1,1,1,1,0.0,1,1
39.2,27.6,1,0,1,0,2.0,1,2
21.6,18.2,0,0,0,1,1.0,1,0
59.6,33.8,1,0,1,0,1.0,0,3
35.6,29.7,1,0,1,1,2.0,0,2
34.3,26.2,1,0,1,0,1.0,1,1
11.5,34.3,0,1,1,0,1.0,0,3
55.7,31.0,1,0,1,0,2.0,0,3
64.7,31.5,0,0,1,0,1.0,0,3
11.4,30.5,0,1,1,0,1.0,0,2
58.1,30.7,0,1,1,1,1.0,0,3
14.2,32.4,0,0,1,1,0.0,0,2
38.9,26.9,0,1,1,0,0.0,0,1
46.1,19.6,1,1,0,1,1.0,0,1
45.4,26.2,0,0,0,0,0.0,1,2
12.8,30.0,1,0,0,1,1.0,1,2
45.6,30.4,1,1,0,1,2.0,0,2
52.8,23.7,0,0,1,1,0.0,1,2
58.6,34.1,1,0,1,1,1.0,0,3
49.4,33.1,0,1,0,0,0.0,1,3
10.9,25.7,0,0,0,0,0.0,1,1
14.5,19.1,1,0,1,1,1.0,0,1
13.7,33.8,0,0,1,1,1.0,1,2
71.0,27.0,1,0,0,1,1.0,0,2
28.4,30.3,0,0,0,1,1.0,1,1
55.8,32.2,1,0,1,1,1.0,0,3
41.1,31.0,0,1,0,0,2.0,0,2
23.8,21.5,1,1,1,1,1.0,0,0
2.5,31.2,1,0,0,1,1.0,0,3
65.5,29.4,0,1,1,1,0.0,1,2
57.1,32.1,1,0,0,0,2.0,0,3
67.2,26.9,0,1,1,0,2.0,0,2
34.4,34.7,1,0,1,1,2.0,0,3
45.0,33.2,1,0,0,1,0.0,1,3
56.6,20.2,0,0,1,0,1.0,0,2
57.9,22.4,0,1,1,1,0.0,1,2
38.5,25.5,1,0,1,0,1.0,0,1
7.0,21.5,0,1,0,1,1.0,0,1
13.4,29.4,1,0,1,0,0.0,0,2
66.0,22.5,0,0,1,1,1.0,0,2
7.5,24.9,0,0,1,1,2.0,1,1
2.7,24.4,1,0,1,0,0.0,0,1
54.5,32.6,1,1,1,0,1.0,0,3
2.1,28.7,1,0,1,0,1.0,1,2
15.1,30.1,1,1,0,0,2.0,1,2
16.9,33.9,1,1,1,0,2.0,0,2
50.9,29.0,0,0,1,1,2.0,0,2
5.6,18.3,1,0,1,0,1.0,1,1
10.9,33.6,1,0,0,1,0.0,1,3
15.0,33.3,0,0,0,1,1.0,1,2
46.6,33.7,1,0,1,1,0.0,0,3
17.7,23.8,1,0,1,1,1.0,0,0
61.5,18.6,0,0,0,0,1.0,1,2
29.1,26.9,1,0,1,1,2.0,1,1
35.7,31.0,0,0,0,0,1.0,1,2
28.3,32.8,0,1,1,1,1.0,1,2
30.1,18.7,1,1,1,0,2.0,0,0
33.8,26.9,1,1,1,1,1.0,0,1
21.7,20.5,0,0,1,0,2.0,0,0
36.8,34.6,0,1,0,1,0.0,1,3
29.4,25.2,1,0,1,1,0.0,0,0
17.2,22.3,0,0,1,0,0.0,0,0
63.7,31.4,1,0,0,1,1.0,0,3
10.1,33.9,1,0,1,0,1.0,1,3
6.4,34.9,0,0,1,1,2.0,0,3
14.4,26.9,1,0,0,0,0.0,1,1
35.9,21.8,0,0,1,0,1.0,1,1
22.5,21.9,1,0,0,1,1.0,0,0
70.5,33.4,1,1,1,0,1.0,1,3
72.0,22.8,0,0,0,1,1.0,1,2
48.6,28.2,1,1,1,1,1.0,0,2
48.8,24.6,0,1,0,1,0.0,1,2
62.2,19.8,0,1,0,0,0.0,1,2
9.0,19.1,0,1,1,0,1.0,1,1
70.6,34.3,0,0,1,1,1.0,0,3
48.5,20.2,0,0,1,0,2.0,0,2
46.0,30.8,0,0,1,0,1.0,0,3
55.5,34.3,1,1,0,1,1.0,0,3
12.2,33.8,0,1,0,1,0.0,0,3
10.1,23.1,1,0,1,1,1.0,0,1
55.8,25.1,0,0,1,0,1.0,1,2
11.1,29.7,1,0,0,1,1.0,1,2
52.3,29.9,0,0,1,0,0.0,1,3
61.7,21.5,0,0,1,0,2.0,1,2
20.4,19.7,0,1,0,1,1.0,1,0
43.7,20.0,0,0,0,1,1.0,0,1
35.3,22.3,0,1,1,1,1.0,0,1
56.7,30.1,0,1,0,0,2.0,0,3
46.0,19.5,0,0,0,1,2.0,1,1
56.3,30.9,1,0,1,0,2.0,0,3
54.0,20.0,0,1,1,1,1.0,1,2
46.5,22.2,0,1,0,1,1.0,0,2
27.1,27.1,1,1,1,1,0.0,0,1
40.5,21.3,0,1,1,0,1.0,0,1
62.2,34.6,1,0,0,1,1.0,1,3
61.0,19.7,1,1,0,1,1.0,1,2
40.4,26.2,1,0,0,1,1.0,1,1
9.2,27.7,0,1,0,1,1.0,0,2
6.9,34.8,1,1,1,0,1.0,0,3
20.4,32.1,0,1,1,0,0.0,1,2
70.3,24.8,1,1,1,0,1.0,0,2
3.1,22.9,0,1,0,0,1.0,0,1
62.9,28.3,1,1,0,1,1.0,0,2
70.1,18.6,1,1,1,0,0.0,0,2
14.5,22.3,1,0,1,1,1.0,1,1
26.0,22.1,0,0,0,0,2.0,1,0
67.3,28.4,0,0,0,1,1.0,0,2
12.0,30.9,1,0,0,1,1.0,0,2
58.5,30.7,0,0,0,1,1.0,1,3
46.3,23.2,1,1,1,1,1.0,0,1
62.3,21.2,1,0,0,1,1.0,1,2
27.1,32.3,0,1,0,0,2.0,1,2
9.8,22.7,1,0,1,1,1.0,1,1
44.8,32.2,0,0,0,1,2.0,1,3
53.0,27.0,1,1,1,1,1.0,1,2
11.8,19.7,1,0,1,0,2.0,1,1
18.7,21.8,0,1,1,0,0.0,0,0
33.0,18.6,1,0,1,1,0.0,1,1
41.4,21.5,1,0,1,0,1.0,0,1
29.6,22.1,1,1,0,1,2.0,0,0
43.5,20.3,0,1,0,1,2.0,0,1
41.6,27.9,0,0,1,1,2.0,1,2
7.3,19.6,0,1,0,1,0.0,1,1
23.3,32.7,0,1,1,0,2.0,1,2
29.2,29.2,1,1,0,0,2.0,0,1
40.4,19.9,0,0,1,0,0.0,0,1
60.5,19.8,0,0,1,1,0.0,1,2
57.4,30.9,0,0,0,0,0.0,1,3
58.4,18.0,0,0,0,1,2.0,0,2
43.0,26.5,0,0,1,1,1.0,1,2
42.4,34.3,1,1,0,0,0.0,0,3
59.1,30.1,0,0,1,0,1.0,1,3
15.8,22.3,1,1,0,0,1.0,1,0
12.6,29.8,0,0,1,0,1.0,1,2
8.6,34.4,1,1,1,0,2.0,1,3
69.3,19.0,0,0,1,1,1.0,1,2
62.6,25.7,0,1,1,0,0.0,1,2
47.4,28.1,1,1,1,0,1.0,1,2
13.8,25.4,0,1,1,1,0.0,1,1
2.6,19.2,1,0,1,0,1.0,0,1
46.8,20.7,0,0,0,0,1.0,1,2
51.8,30.9,0,0,1,0,0.0,1,3
51.7,20.4,1,1,1,0,1.0,1,2
40.9,27.8,1,1,0,0,1.0,0,2
4.3,34.1,1,1,0,1,1.0,1,3
33.7,32.8,1,1,1,1,1.0,0,2
14.0,29.8,0,0,0,0,1.0,1,2
24.7,19.4,0,0,0,0,1.0,0,0
66.7,22.9,0,0,1,0,1.0,1,2
28.7,29.2,1,0,1,0,0.0,0,1
66.0,22.0,0,0,1,1,1.0,1,2
21.7,28.6,0,1,1,0,1.0,1,1
20.6,25.1,0,0,0,0,1.0,1,0
57.5,26.5,0,0,1,1,1.0,0,2
22.6,20.1,0,1,0,0,0.0,0,0
19.3,33.8,1,1,0,0,1.0,0,2
48.8,34.0,1,1,0,1,2.0,1,3
16.9,29.7,0,0,1,0,2.0,1,1
60.1,25.5,1,0,0,0,0.0,0,2
50.6,29.3,0,0,1,1,0.0,0,2
25.1,29.1,0,1,0,0,1.0,0,1
34.8,27.4,0,1,1,0,1.0,0,1
47.0,24.5,0,0,0,1,1.0,0,2
51.6,31.9,0,1,0,0,2.0,0,3
10.8,32.4,1,0,0,0,2.0,1,2
18.1,21.4,0,0,1,1,2.0,0,0
70.7,25.2,0,0,1,0,0.0,1,2
18.2,18.4,0,1,1,1,1.0,0,0
13.5,27.8,0,0,1,1,1.0,1,1
29.2,25.5,1,1,0,1,2.0,1,0
54.7,29.8,1,1,0,0,2.0,1,3
9.1,18.2,1,0,1,1,2.0,0,1
26.0,21.6,1,1,0,0,1.0,0,0
6.7,31.0,1,0,1,0,2.0,0,2
14.8,24.6,0,1,0,0,0.0,1,1
69.7,27.1,1,1,0,0,1.0,1,2
38.4,25.1,1,1,0,0,1.0,1,1
68.9,18.9,1,1,1,0,1.0,0,2
60.6,18.9,1,1,0,0,2.0,1,2
71.0,34.4,1,1,1,1,0.0,0,3
21.9,19.2,1,0,0,0,1.0,1,0
38.5,30.7,0,0,0,1,2.0,0,2
38.3,20.5,0,0,1,0,1.0,0,1
38.4,22.3,0,1,0,0,1.0,1,1
4.8,22.4,0,1,1,0,1.0,0,1
44.6,26.7,1,0,1,1,1.0,1,2
51.3,31.8,0,1,1,1,1.0,1,3
64.5,28.7,0,0,0,0,2.0,1,2
57.8,25.0,0,1,0,1,0.0,0,2
27.9,22.2,1,1,0,0,0.0,0,0
21.2,25.4,1,0,1,1,1.0,1,0
42.6,34.9,1,1,1,1,2.0,1,3
67.7,22.9,1,1,0,1,2.0,0,2
7.8,20.6,0,0,0,0,2.0,1,1
28.0,27.8,1,1,0,1,2.0,0,1
44.0,19.8,0,0,0,0,0.0,1,1
11.0,25.7,0,0,1,0,0.0,0,1
53.5,18.2,0,1,0,0,2.0,1,2
54.7,18.7,1,0,1,1,0.0,0,2
41.8,18.2,0,0,0,0,1.0,0,1
10.8,21.5,1,0,1,0,1.0,1,1
60.7,26.9,0,1,0,0,1.0,0,2
6.7,20.0,1,0,0,1,1.0,0,1
71.2,32.3,1,1,1,0,2.0,0,3
39.4,27.0,1,1,1,1,1.0,0,1
37.2,22.9,0,0,0,1,0.0,1,1
25.9,18.7,1,0,1,1,0.0,0,0
40.3,25.9,0,0,1,1,1.0,0,1
63.4,18.3,1,0,1,0,0.0,1,2
29.3,29.1,0,0,1,0,0.0,1,1
28.0,32.5,0,0,1,1,1.0,0,2
64.2,19.8,1,0,0,0,1.0,0,2
21.3,20.2,0,0,0,0,2.0,1,0
27.6,28.1,0,1,0,0,1.0,0,1
6.7,26.2,1,1,1,1,1.0,0,1
16.4,23.9,1,1,1,0,2.0,0,0
16.2,19.7,1,1,0,0,2.0,1,0
59.4,28.3,1,0,1,1,1.0,1,2
70.3,20.6,1,0,0,0,1.0,1,2
8.7,26.2,0,1,0,1,2.0,1,1
23.4,27.6,1,0,0,0,0.0,1,1
11.9,32.0,1,0,0,0,2.0,0,2
52.6,33.3,0,1,0,0,0.0,0,3
33.4,30.1,1,1,0,0,2.0,1,2
28.9,33.8,0,0,1,1,1.0,1,2
58.3,32.6,1,1,0,1,1.0,0,3
46.3,22.3,1,0,0,1,0.0,0,1
36.7,29.4,1,1,0,0,1.0,0,2
10.7,33.8,1,0,0,1,0.0,0,3
28.0,34.5,0,1,1,1,0.0,0,2
4.4,24.0,0,1,1,0,1.0,1,1
20.7,20.0,0,0,0,0,2.0,0,0
66.1,26.1,0,1,0,1,0.0,1,2
23.1,32.9,1,0,0,1,0.0,0,2
45.3,28.2,1,1,1,1,0.0,1,2
56.3,27.7,0,1,1,1,1.0,0,2
25.7,18.9,0,0,1,1,1.0,0,0
12.2,26.8,0,1,1,1,1.0,0,1
16.3,29.0,1,0,1,1,2.0,0,1
40.4,24.0,0,0,1,0,1.0,0,1
6.2,26.1,0,0,0,0,0.0,1,1
10.3,19.9,0,0,1,0,0.0,0,1
69.4,29.5,1,0,0,1,1.0,0,2
41.3,33.4,0,0,0,1,1.0,0,3
18.8,25.7,1,0,0,1,0.0,0,0
20.9,24.9,1,0,0,1,1.0,0,0
71.7,21.0,0,1,1,0,2.0,0,2
38.9,22.6,0,1,0,1,1.0,0,1
10.3,33.6,1,1,0,1,1.0,0,3
16.5,34.2,0,1,1,0,1.0,0,2
55.3,31.3,0,1,1,0,1.0,0,3
49.0,23.3,1,0,1,1,1.0,0,2
34.9,23.5,1,1,1,1,1.0,0,1
23.9,25.9,0,1,1,1,1.0,0,0
52.6,29.3,0,1,0,0,2.0,0,2
18.6,28.8,0,1,1,0,1.0,1,1
27.9,27.0,0,0,0,1,0.0,1,1
64.7,19.0,0,1,1,1,0.0,0,2
22.2,21.4,1,1,0,1,1.0,0,0
36.9,34.5,0,0,0,1,1.0,1,3
13.7,33.5,0,0,1,1,0.0,1,2
2.8,32.5,0,1,1,0,2.0,1,3
31.2,23.2,1,0,1,0,0.0,1,0
12.9,27.3,1,1,1,1,1.0,1,1
56.8,28.0,0,1,0,0,1.0,0,2
9.9,26.9,0,0,0,0,1.0,1,1
64.9,19.6,0,1,0,0,1.0,1,2
