etapa,perigos,tipo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Lavagem 1 (água corrente),Água contaminada,B,"Água de lavagem: Potável, ausente de coliformes termotolerantes e outros patógenos, e com cloro residual livre dentro dos padrões estabelecidos (se clorada).",Qualidade microbiológica e físico-química da água (cloro residual livre pH).,"Análise microbiológica da água (semanalmente/mensalmente) [simulação];
Medição diária do cloro residual livre e pH da água (se for tratada com cloro) [simulação];
Inspeção visual da limpeza dos tanques e utensílios de lavagem [simulação].","Semanalmente/Mensalmente (microbiológica da água) [simulação];
Diariamente (cloro residual livre, pH da água) [simulação];
Antes do início de cada turno e durante a operação (limpeza de utensílios) [simulação].","Responsável pelo controle de qualidade [simulação];
Operador da linha de lavagem ou funcionário da higiene [simulação].","Interromper imediatamente o uso da água contaminada [simulação];
Identificar a fonte e implementar medidas corretivas (ex: filtração, cloração, manutenção do sistema de abastecimento) [simulação];
Reter e descartar o lote de alface processado com água contaminada, ou reprocessar se a segurança permitir [simulação];
Limpar e sanitizar os tanques e utensílios [simulação].","Laudos de análises microbiológicas e físico-químicas da água;
Registros de monitoramento de cloro residual livre e pH;
Fichas de limpeza e sanitização dos tanques;
Registros de não conformidades e ações corretivas.","Revisão dos laudos de análise da água [simulação];
Auditorias internas sobre a rotina de limpeza e controle da água [simulação];
Verificação da calibração dos equipamentos de medição. Análise de reclamações de clientes relacionadas a doenças transmitidas por alimentos."
Lavagem 1 (água corrente),Resíduos de cloro ou outros saneantes em excesso,Q,"Concentração de cloro residual livre na alface: Abaixo do limite de detecção ou conforme LMRs específicos (se houver);
Alface após lavagem: Ausência de sabor ou odor residual de cloro/saneante. [simulação]","Concentração de cloro na água de lavagem;
Avaliação sensorial (sabor/odor) da alface após lavagem.","Medição da concentração de cloro na água com kit colorimétrico ou sensor [simulação];
Degustação de amostras de alface por equipe treinada [simulação].","A cada 2-4 horas ou por lote de preparo (concentração de cloro) [simulação];
Periodicamente, por turno (avaliação sensorial) [simulação].","Responsável pelo controle de qualidade [simulação];
Funcionários treinados para avaliação sensorial [simulação].","Se a concentração de cloro estiver alta, ajustar a dosagem na água [simulação];
Se resíduo sensorial for detectado, realizar enxágues adicionais no lote, se possível [simulação];
Reter e descartar o lote se o problema persistir e comprometer a segurança/qualidade [simulação];
Revisar e ajustar procedimentos de dosagem e enxágue; retreinar a equipe.","Registros de monitoramento da concentração de cloro;
Fichas de avaliação sensorial;
Registros de não conformidades e ações corretivas.","Revisão diária dos registros de monitoramento e ações corretivas [simulação];
Calibração periódica dos equipamentos de medição (kit de cloro, pHmetro) [simulação];
Análise de reclamações de clientes relacionadas a sabor/odor. Auditorias internas."
Lavagem 1 (água corrente),Fragmentos de vegetais ou pequenos corpos estranhos,F,"Alface após lavagem: Ausência de fragmentos de vegetais deteriorados ou corpos estranhos visíveis (sujidade, insetos, etc.).",Inspeção visual da alface após a lavagem.,Observação visual contínua da alface em esteiras ou cestos de drenagem após a lavagem. [simulação],A cada lote ou a cada 30 minutos de operação [simulação].,"Operador da linha de lavagem;
Responsável pelo controle de qualidade [simulação].","Remover manualmente os fragmentos e corpos estranhos encontrados [simulação];
Se a quantidade de fragmentos for excessiva, reprocessar o lote (se possível sem comprometer a qualidade) ou ajustar os procedimentos das etapas anteriores (pré-lavagem/seleção) [simulação];
Limpar e inspecionar mais frequentemente os tanques e telas de drenagem. [simulação]","Registros de inspeção visual;
Registros de não conformidades e ações corretivas.","Revisão semanal dos registros de inspeção e ações corretivas [simulação];
Análise de reclamações de clientes relacionadas a corpos estranhos;
Auditorias internas para verificar a eficácia da remoção de detritos."
Lavagem 2 (água corrente),Recontaminação por água ou utensílios,B,"Água de Lavagem 2: Potável, ausente de coliformes termotolerantes e outros patógenos;
Utensílios e superfícies de contato: Limpos e sanitizados, ausência de sujidade visível e matéria orgânica, e conformidade com padrões microbiológicos. [simulação]","Qualidade microbiológica e físico-química da água da Lavagem 2;
Limpeza e estado dos utensílios e superfícies de contato.","Análise microbiológica da água (semanalmente/mensalmente) [simulação];
Medição diária do cloro residual livre e pH da água (se clorada) [simulação].",Inspeção visual diária da limpeza dos tanques e utensílios. [simulação],"Responsável pelo controle de qualidade [simulação];
Operador da linha de lavagem ou funcionário da higiene [simulação].","Interromper o uso de água/utensílios contaminados [simulação];
Identificar e corrigir a fonte da contaminação [simulação];
Reter e, se necessário, reprocessar ou descartar o lote de alface recontaminado, avaliando o risco [simulação];
Reforçar o treinamento de higiene da equipe. [simulação]","Laudos de análises microbiológicas e físico-químicas da água;
Fichas de limpeza e sanitização dos tanques e utensílios;
Registros de não conformidades e ações corretivas.","Revisão periódica dos registros de monitoramento e ações corretivas [simulação];
Auditorias internas para verificar a adesão aos procedimentos de higiene [simulação];
Verificação da calibração dos equipamentos de medição."
Lavagem 2 (água corrente),não identificado,Q,Não aplicável (perigo não significativo),Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,
Lavagem 2 (água corrente),não identificado,F,Não aplicável (perigo não significativo),Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,
"Sanitização (ozônio - tempo, temperatura e concentração não padronizados)",Ineficiência na eliminação de patógenos,B,"Tempo de contato, temperatura e concentração de ozônio: Devem estar dentro das especificações validadas para garantir a redução microbiana segura;
Alface sanitizada: Conformidade com padrões microbiológicos de segurança alimentar. [simulação]","Tempo de contato, temperatura da solução, concentração de ozônio: Estes são os parâmetros críticos que precisam ser padronizados e monitorados para garantir a eficácia da sanitização;
Resultados de análises microbiológicas da alface após sanitização: Para confirmar que os patógenos foram eliminados a níveis seguros.","Tempo de contato, temperatura da solução, concentração de ozônio;
Resultados de análises microbiológicas da alface após sanitização.","Medição contínua ou periódica (a cada lote) da concentração de ozônio (com sensor ou kit) [simulação];
Verificação da temperatura da solução [simulação];
Registro do tempo de exposição.
Realização de análises microbiológicas da alface sanitizada (regularmente, conforme plano de amostragem) [simulação].","Operador do sistema de sanitização;
Responsável pelo controle de qualidade [simulação].","Ajustar imediatamente os parâmetros (tempo, temperatura, concentração) para os valores padronizados [simulação];
Reter o lote de alface sanitizado fora das especificações. Reprocessar se a segurança permitir e a qualidade não for afetada, ou descartar [simulação];
Verificar e calibrar os equipamentos de geração e medição de ozônio [simulação];
Revisar o POP de sanitização e retreinar a equipe.","Registros de monitoramento dos parâmetros do ozônio (tempo, temperatura, concentração);
Laudos de análises microbiológicas da alface;
Registros de não conformidades e ações corretivas.","Revisão diária/semanal dos registros de monitoramento e ações corretivas;
Validação periódica do processo de sanitização para confirmar a eficácia do ozônio [simulação];
Auditorias internas;
Análise de reclamações de clientes relacionadas a doenças transmitidas por alimentos."
"Sanitização (ozônio - tempo, temperatura e concentração não padronizados)",Resíduos de ozônio em excesso,Q,"Não aplicável (perigo não significativo, se o processo for validado)",Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,
"Sanitização (ozônio - tempo, temperatura e concentração não padronizados)",Não identificado,F,Não aplicável (perigo não significativo),Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,
Centrifugação (tempo não padronizado),Contaminação cruzada,B,"Centrífuga e cestos: Limpos e sanitizados, ausência de sujidade visível;
Alface centrifugada: Nível de umidade residual aceitável (ex: por análise de teor de umidade ou avaliação visual/tátil de secura da superfície), e conformidade com padrões microbiológicos. [simulação]","Limpeza visual da centrífuga e cestos;
Verificação do tempo de centrifugação;
Avaliação da umidade residual da alface (visual/tátil) [simulação];
Análises microbiológicas da alface após centrifugação (periodicamente) [simulação].","Limpeza: Antes do uso e a cada turno;
Tempo: A cada lote [simulação];
Umidade residual: A cada lote ou a cada 30 minutos [simulação];
Análises: Conforme plano de amostragem.","Operador da centrífuga;
Responsável pelo controle de qualidade [simulação].","Limpar e sanitizar imediatamente a centrífuga e os cestos se estiverem sujos [simulação];
Ajustar o tempo de centrifugação para o valor padronizado [simulação];
Se umidade excessiva ou contaminação for detectada, reprocessar o lote (se possível) ou descartar [simulação];
Reforçar o treinamento de higiene e operação da centrífuga. [simulação]","Fichas de limpeza e sanitização da centrífuga;
Registros de tempo de centrifugação;
Planilhas de avaliação de umidade residual;
Laudos de análises microbiológicas;
Registros de não conformidades e ações corretivas.","Revisão diária dos registros de monitoramento;
Auditorias internas para verificar a limpeza e operação da centrífuga;
Análise de dados de umidade residual e crescimento microbiano para otimização.",
Centrifugação (tempo não padronizado),não identificado,Q,Não aplicável (perigo não significativo),Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,
Centrifugação (tempo não padronizado),Possível presença de corpos estranhos (plásticos soltos da máquina),F,Centrífuga e cestos: Ausência de partes danificadas ou soltas; Alface centrifugada: Ausência de fragmentos de plástico/metal e mínimos fragmentos vegetais; Tempo de centrifugação: Dentro do padrão validado para minimizar danos. [simulação],Inspeção visual da centrífuga e cestos; Inspeção visual da alface após centrifugação para detectar fragmentos não conformes.,Inspeção visual da centrífuga e cestos; Inspeção visual da alface após centrifugação para detectar fragmentos não conformes.,Antes de cada turno e durante a operação (inspeção de máquina) [simulação]; A cada lote ou a cada 30 minutos (inspeção do produto) [simulação].,Operador da centrífuga; Responsável pela manutenção; Responsável pelo controle de qualidade [simulação].,"Parar a operação se houver danos na centrífuga e realizar reparos/manutenção [simulação]; Isolar e inspecionar o lote de alface afetado. Se houver contaminação por fragmentos de plástico/metal, descartar o lote [simulação]; Ajustar o tempo de centrifugação para evitar danos ao produto; Reforçar o treinamento sobre manuseio da alface.",Registros de manutenção da centrífuga; Fichas de inspeção visual de equipamentos e produto; Registros de não conformidades e ações corretivas.,Revisão dos registros de manutenção; Auditorias internas para verificar o cumprimento dos POPs de inspeção e operação; Análise de reclamações de clientes sobre corpos estranhos no produto.
Acondicionamento (embalagem em atmosfera modificada ativa),Falha na atmosfera modificada,B,"Composição gasosa da embalagem (O2 e CO2): Dentro dos limites validados (ex: 2-5% O2, 5-10% CO2 para alface, valores simulados) para inibir o crescimento microbiano;
Integridade da selagem: Sem vazamentos ou falhas visíveis. [simulação]","Composição gasosa da embalagem (O2 e CO2): para verificar se está dentro dos limites validados (ex: 2-5% O2, 5-10% CO2 para alface, valores simulados) para inibir o crescimento microbiano;
Integridade da selagem: para verificar a ausência de vazamentos ou falhas visíveis.","Análise da composição gasosa (O2 e CO2) em amostras de embalagens (com analisador de gases) [simulação];
Teste de integridade da selagem (ex: teste de bolha ou vácuo) [simulação];
Inspeção visual da selagem das embalagens.","Análise gasosa: A cada lote ou a cada hora de produção [simulação];
Integridade da selagem: Continuamente durante a operação ou a cada 15-30 minutos [simulação].","Operador da máquina de embalagem;
Responsável pelo controle de qualidade [simulação].","Ajustar imediatamente os parâmetros de injeção de gases ou a máquina de selagem [simulação];
Reter e reprocessar (se a segurança e qualidade permitirem) ou descartar os lotes com falha na atmosfera modificada ou na selagem [simulação];
Verificar e calibrar os equipamentos de análise de gases e selagem [simulação];
Revisar o POP e retreinar a equipe.","Registros de análise de gases na embalagem;
Registros de testes de integridade da selagem;
Registros de não conformidades e ações corretivas.","Revisão diária/semanal dos registros de monitoramento e ações corretivas;
Validação periódica do processo de AMA [simulação];
Auditorias internas. Análise de reclamações de clientes sobre deterioração precoce."
Acondicionamento (embalagem em atmosfera modificada ativa),Presença de compostos de gases acima do permitido,Q,"Composição gasosa da embalagem (O2 e CO2): Dentro dos limites validados para a qualidade da alface e ausência de toxicidade (ex: CO2 abaixo de 10-15%, valor simulado);
Ausência de odores ou sabores estranhos na alface. [simulação]","Composição gasosa (O2 e CO2) em amostras de embalagens;
Avaliação sensorial (odor/sabor) da alface embalada","Análise da composição gasosa (O2 e CO2) em amostras de embalagens [simulação];
Avaliação sensorial (odor/sabor) da alface embalada.","A cada lote ou a cada hora de produção (análise gasosa) [simulação];
Periodicamente (avaliação sensorial) [simulação].",Responsável pelo controle de qualidade [simulação].,"Ajustar imediatamente os parâmetros de injeção de gases [simulação];
Reter e descartar lotes com composição gasosa tóxica ou sabor/odor anormais [simulação];
Investigar a causa do desvio (problema no equipamento, dosagem incorreta, fonte de etileno).","Registros de análise de gases na embalagem;
Fichas de avaliação sensorial;
Registros de não conformidades e ações corretivas.","Revisão dos registros de monitoramento;
Validação periódica dos parâmetros de AMA;
Análise de reclamações de clientes sobre sabor/odor estranho."
Acondicionamento (embalagem em atmosfera modificada ativa),Presença de material plástico ou falhas na selagem,F,"Embalagem: Íntegra, sem rasgos, furos, falhas na selagem ou presença de material estranho;
Produto embalado: Ausência de fragmentos plásticos visíveis. [simulação]","Integridade da embalagem e do produto: Isso inclui verificar a ausência de rasgos, furos, falhas na selagem ou presença de material estranho, bem como a ausência de fragmentos plásticos visíveis no produto embalado.",Inspeção visual da integridade da embalagem e do produto. Teste de selagem.,Continuamente durante a operação ou a cada 15-30 minutos (inspeção visual e teste de selagem) [simulação].,"Operador da máquina de embalagem;
Responsável pelo controle de qualidade [simulação].","Parar a operação e realizar ajustes/reparos na máquina de embalagem se houver falhas [simulação];
Reter e descartar os lotes com embalagens danificadas ou contaminadas por fragmentos plásticos [simulação];
Reforçar o treinamento de operação da máquina e inspeção de qualidade.","Registros de inspeção de embalagem e selagem;
Registros de manutenção da máquina de embalagem;
Registros de não conformidades e ações corretivas.","Revisão dos registros de inspeção;
Auditorias internas para verificar a conformidade dos procedimentos de embalagem;
Análise de reclamações de clientes sobre corpos estranhos ou falhas na embalagem."
