temperatura_mel,viscosidade_mel,atividade_agua,densidade_mel,peso_target,desvio_peso,precisao_balanca,velocidade_envase,pressao_vedacao,tempo_exposicao_ar,temperatura_ambiente,umidade_relativa,experiencia_operador,turno_trabalho,fadiga_operador,limpeza_equipamento,manutencao_recente,tipo_enchedora,calibracao_ok,tipo_embalagem,qualidade_rotulo,adesao_rotulo,teste_vedacao,risco
45.33,448562.9,0.603,1.419,495,-0.86,1.04,79.7,25.61,11.1,21.9,57.4,0.2,2,3,4,5.7,2,1,2,5.0,1,1,1
40.89,289615.7,0.634,1.389,245,-0.34,1.76,93.2,27.8,22.7,26.2,50.5,2.0,1,3,5,0.4,2,1,3,5.0,1,1,0
32.68,674088.1,0.599,1.429,245,-0.37,1.67,23.7,29.43,18.6,21.7,51.9,0.2,2,2,4,0.7,3,1,2,4.7,1,1,0
41.17,532471.8,0.627,1.417,495,0.85,1.62,119.8,31.12,12.7,20.9,78.0,6.2,3,5,3,5.5,3,1,1,4.2,0,1,0
32.98,358576.2,0.542,1.391,245,1.48,1.89,66.7,23.93,19.3,26.5,71.2,2.2,1,1,3,2.1,2,1,1,4.1,0,1,0
34.72,544844.5,0.589,1.401,245,-1.06,1.23,78.0,21.94,37.9,21.8,60.4,2.4,1,1,3,3.0,2,1,1,5.0,1,1,0
40.63,496797.9,0.656,1.431,495,0.61,1.09,106.8,28.19,9.2,22.2,52.3,1.2,1,3,2,12.0,2,1,2,5.0,1,1,2
39.22,526527.4,0.595,1.399,245,2.59,0.26,52.6,20.04,12.1,23.5,51.1,0.1,2,4,3,2.0,1,1,2,4.7,1,1,0
38.96,410050.7,0.593,1.452,495,6.06,1.23,58.4,21.3,6.0,21.7,66.3,5.1,1,1,2,6.3,1,1,1,3.9,1,1,2
37.43,564834.1,0.617,1.405,495,-0.28,1.93,23.1,27.15,34.2,23.7,36.5,1.2,2,3,3,20.3,3,1,2,4.7,1,1,0
32.14,514754.0,0.595,1.391,995,0.77,1.94,38.5,23.72,14.3,18.7,61.1,2.5,1,1,4,3.9,2,1,1,5.0,1,1,0
35.46,707658.3,0.622,1.434,495,2.54,0.3,77.1,24.93,8.5,21.9,66.8,8.5,1,1,5,0.9,1,1,1,3.7,1,1,0
39.53,366421.7,0.611,1.418,245,0.63,1.27,81.3,29.4,10.3,26.8,60.6,2.8,2,3,4,9.1,1,1,1,4.7,1,1,0
32.14,826400.5,0.632,1.462,995,-0.64,0.99,94.4,24.07,5.7,26.1,41.9,2.3,2,2,3,2.5,2,1,1,4.7,1,1,0
36.63,571492.8,0.612,1.436,495,0.02,1.13,71.4,32.9,18.3,22.8,51.3,2.8,2,3,4,48.5,3,1,1,4.7,1,1,0
27.86,615358.9,0.578,1.448,995,-2.31,0.81,71.3,21.48,13.6,22.6,53.0,2.7,2,3,2,10.6,2,1,1,4.6,1,1,2
37.07,477844.5,0.551,1.446,245,0.65,0.94,53.1,23.5,13.9,20.3,59.2,1.8,2,4,3,4.5,2,1,2,5.0,1,1,0
28.38,427135.4,0.654,1.418,495,1.63,0.16,118.7,23.39,5.8,21.6,42.6,0.6,1,1,4,11.7,2,1,1,5.0,1,1,1
37.27,554157.7,0.604,1.382,245,-1.6,0.35,34.4,25.46,47.2,20.8,60.1,0.6,2,2,3,33.1,2,1,2,5.0,1,1,1
37.79,656094.3,0.609,1.406,995,0.05,1.41,87.7,28.19,12.5,19.6,47.3,3.2,3,3,5,5.2,3,1,2,5.0,1,1,0
39.26,546798.4,0.549,1.396,495,0.9,1.62,63.6,28.51,30.5,23.4,44.7,0.0,1,1,3,11.9,2,1,1,4.7,1,1,0
31.71,517144.9,0.579,1.437,995,2.3,0.82,106.3,12.5,5.4,29.9,43.4,1.5,2,3,4,14.5,2,1,2,3.3,1,0,2
40.67,468478.8,0.564,1.446,995,-4.19,0.42,81.7,24.52,16.1,24.6,57.1,2.3,2,2,4,5.1,1,1,2,4.5,1,1,0
37.25,417931.8,0.615,1.434,495,-1.99,1.84,62.5,27.39,6.8,16.2,80.5,4.7,2,2,3,23.6,1,1,2,4.3,0,1,0
39.77,563787.7,0.631,1.426,995,-0.2,0.39,43.5,19.36,35.5,30.4,36.1,0.6,1,1,3,10.2,3,1,2,4.5,1,1,0
34.24,408328.1,0.657,1.449,245,-1.24,0.75,101.9,16.75,40.4,26.1,47.5,3.1,2,3,3,4.2,1,1,1,4.6,1,0,2
37.78,410283.6,0.619,1.384,995,-0.37,0.46,25.2,17.31,12.1,17.1,48.7,2.6,1,3,4,14.1,2,1,1,5.0,1,0,2
35.8,354150.2,0.591,1.439,245,0.21,1.28,28.9,22.36,31.2,24.1,62.1,0.1,1,1,3,0.9,2,1,2,5.0,1,1,0
32.59,257636.0,0.612,1.465,245,0.2,1.72,40.9,24.99,45.0,23.2,54.0,1.4,3,5,4,15.6,3,1,1,4.4,1,1,0
35.59,495649.6,0.6,1.437,995,1.42,1.74,112.3,37.32,26.7,22.1,55.1,1.5,1,1,2,0.3,1,0,3,4.3,1,0,2
36.72,568707.0,0.602,1.375,245,0.42,0.51,82.0,21.03,20.8,22.4,69.9,0.2,3,3,4,41.2,2,1,1,4.0,0,1,0
35.79,493795.2,0.578,1.384,495,1.37,1.1,62.6,18.17,11.9,22.3,67.1,4.0,3,3,3,6.6,2,0,1,3.2,1,1,1
31.08,519269.4,0.6,1.427,245,-5.88,1.7,29.8,35.3,15.0,21.7,46.2,4.0,2,2,3,6.2,1,1,2,5.0,1,0,2
32.52,602322.3,0.585,1.458,245,-0.91,1.8,83.7,21.8,16.0,23.5,59.6,2.2,2,2,2,12.6,2,0,1,4.7,1,1,0
27.26,519644.6,0.607,1.415,245,-0.86,1.14,103.1,16.11,6.1,20.6,53.6,2.2,3,5,3,37.3,3,1,1,4.6,1,0,0
33.48,412570.7,0.601,1.444,495,1.44,1.64,85.6,23.18,44.5,20.5,49.1,1.7,2,3,5,2.8,3,0,1,4.4,1,1,1
31.64,646333.1,0.609,1.42,495,-0.13,1.53,66.1,26.41,32.7,25.7,62.3,3.2,1,1,5,27.7,3,0,1,5.0,1,1,1
34.39,495991.4,0.555,1.425,495,1.09,1.22,70.8,27.83,22.5,17.7,58.3,4.3,1,1,1,2.8,2,1,3,5.0,1,1,1
31.83,679122.2,0.623,1.427,995,-1.48,1.12,72.4,32.43,33.3,23.9,58.2,0.0,2,3,4,14.1,2,1,1,4.5,1,1,0
37.02,706721.6,0.619,1.406,495,-0.54,0.1,37.8,22.92,12.7,19.5,55.3,3.9,1,1,4,0.5,2,1,2,5.0,1,1,0
33.03,551797.0,0.632,1.432,245,0.44,1.09,57.3,22.53,7.0,20.4,62.8,1.4,1,2,4,13.2,3,1,1,5.0,1,1,0
46.08,634249.9,0.626,1.422,495,0.15,1.43,78.6,33.4,44.8,25.2,50.9,1.4,2,3,3,27.7,1,1,2,5.0,1,1,2
25.51,468316.1,0.627,1.431,495,-3.0,1.53,85.7,26.51,52.1,20.1,46.1,0.9,3,3,3,14.2,1,1,2,5.0,1,1,1
34.01,237494.1,0.627,1.43,245,-0.84,1.36,116.3,28.51,5.8,23.3,39.4,3.9,3,3,4,2.2,1,1,1,4.7,1,1,0
30.54,697035.8,0.578,1.399,995,0.81,0.32,106.0,38.32,24.2,23.5,51.3,2.4,1,1,3,1.8,3,1,2,4.8,1,0,2
45.04,591795.5,0.662,1.415,495,-0.58,0.97,25.2,21.86,9.5,24.8,50.2,4.2,2,2,5,21.2,3,1,1,4.5,1,1,1
40.53,480133.3,0.595,1.479,995,3.12,0.82,97.6,27.53,55.1,23.3,40.6,1.0,3,4,4,16.0,1,1,3,4.4,1,1,0
37.47,405187.5,0.631,1.408,995,-1.21,1.8,85.4,24.0,19.3,19.5,55.2,10.2,2,4,4,10.1,1,1,2,5.0,1,1,0
41.75,1068791.7,0.617,1.422,995,-2.42,1.73,101.9,27.98,16.7,20.0,66.4,1.9,3,4,3,6.8,1,1,1,4.7,1,1,0
39.19,414813.7,0.588,1.402,245,-1.62,1.34,82.1,29.99,14.6,21.7,55.4,0.4,2,2,4,0.7,3,1,2,5.0,1,1,0
34.96,620592.3,0.641,1.435,995,-1.5,0.16,50.4,21.61,20.9,25.2,61.7,3.3,1,3,4,8.2,2,0,1,5.0,1,1,1
36.52,530222.1,0.598,1.411,995,-2.83,1.51,111.8,28.55,10.2,21.7,57.0,4.9,1,3,4,3.6,1,1,1,5.0,1,1,0
38.36,404917.6,0.573,1.417,245,-0.03,0.67,79.8,23.48,10.3,26.2,46.4,0.1,3,5,4,9.0,2,1,1,5.0,1,1,2
34.4,634679.6,0.579,1.452,995,1.29,0.52,68.8,25.91,5.5,28.1,49.8,7.2,2,2,3,1.8,2,1,3,4.6,1,1,0
42.61,685488.1,0.589,1.405,995,-0.17,1.97,46.9,16.25,12.8,23.3,50.3,7.1,1,1,3,6.4,3,1,1,4.4,1,0,2
26.47,695839.8,0.604,1.405,245,1.16,0.93,41.9,22.46,9.9,22.7,49.2,5.1,2,4,4,0.3,2,1,1,5.0,1,1,1
42.92,397267.5,0.61,1.43,245,-1.8,1.47,115.4,30.15,24.2,25.4,60.4,0.1,3,3,4,16.1,2,1,1,5.0,1,1,1
45.8,297401.1,0.573,1.404,495,2.26,1.33,108.8,25.28,7.2,30.6,59.5,4.1,2,4,5,17.1,2,1,2,3.9,1,1,2
29.16,612292.3,0.626,1.441,495,-0.52,1.38,47.5,33.88,10.5,22.2,69.3,4.8,3,5,5,5.6,3,1,2,4.7,0,1,1
40.12,354293.3,0.588,1.393,495,-0.17,0.76,35.4,25.25,20.2,22.5,49.4,1.6,1,2,4,4.5,3,1,3,4.9,1,1,0
33.76,558153.1,0.586,1.415,995,-0.15,0.17,23.1,27.05,12.4,22.2,71.0,1.0,3,3,5,3.8,2,1,2,3.2,0,1,0
38.79,575996.9,0.539,1.419,995,-1.77,1.55,103.4,15.99,9.5,21.4,42.4,10.2,2,2,4,1.5,2,1,2,4.6,1,0,2
38.17,643713.9,0.659,1.438,995,-0.7,1.0,74.3,24.47,8.9,23.8,72.7,6.1,1,2,2,15.8,2,1,2,3.0,0,1,2
32.31,688992.2,0.598,1.38,245,1.89,0.49,96.2,26.2,15.2,15.7,65.6,11.8,2,4,4,8.5,2,1,1,4.4,1,1,0
41.66,462237.3,0.596,1.435,995,0.98,0.14,67.7,25.97,22.5,25.9,66.0,0.4,1,1,4,3.3,2,1,3,4.2,1,1,0
40.43,706409.2,0.557,1.419,495,0.12,0.3,59.9,20.2,22.4,25.9,76.1,2.6,2,2,2,20.3,3,1,1,3.6,0,1,1
32.34,481054.8,0.629,1.44,245,-0.42,0.66,35.2,30.14,9.6,23.2,51.6,5.5,2,2,1,2.4,2,1,2,5.0,1,1,1
33.6,726062.5,0.594,1.456,245,1.23,0.98,43.5,19.58,17.4,20.0,48.0,0.5,3,5,4,3.2,2,1,1,5.0,1,1,1
39.83,649687.7,0.627,1.419,245,-3.11,1.89,28.3,22.85,45.1,22.5,56.5,2.5,3,4,5,28.6,2,1,1,5.0,1,1,0
38.84,503165.7,0.583,1.398,495,0.62,1.76,38.3,21.71,21.9,21.8,77.4,22.6,1,1,3,20.1,2,1,1,3.3,0,1,0
37.88,330163.0,0.649,1.403,495,0.59,1.33,99.6,28.15,26.0,22.7,50.7,8.0,1,2,5,0.5,2,1,1,4.6,1,1,0
37.62,291272.9,0.604,1.384,495,-3.4,0.34,61.4,12.19,16.4,22.4,54.2,1.9,3,4,4,3.7,1,1,2,5.0,1,0,2
36.05,520653.8,0.629,1.4,245,-1.86,0.1,50.0,17.66,20.6,25.0,61.8,1.8,1,1,2,2.6,2,1,1,4.9,1,0,1
43.65,930149.7,0.613,1.432,245,1.59,0.49,92.6,29.16,33.2,23.8,43.6,12.0,2,4,2,10.3,3,1,3,4.5,1,1,2
38.2,829580.2,0.605,1.407,995,-0.01,0.54,24.5,28.87,13.1,26.1,47.1,1.3,3,5,4,26.4,2,1,2,5.0,1,1,0
30.77,654267.6,0.599,1.398,995,0.32,1.1,59.2,21.19,20.2,23.9,29.1,9.2,2,2,3,25.2,3,1,1,5.0,1,1,1
39.19,412844.5,0.601,1.426,495,-0.51,1.01,91.8,27.44,9.3,27.2,66.8,0.5,2,3,3,0.1,3,0,1,2.1,0,1,1
39.42,565825.9,0.621,1.412,245,-2.62,1.01,86.2,23.21,12.6,21.1,41.6,4.2,3,5,4,4.4,1,1,1,4.2,1,1,0
42.51,338311.0,0.579,1.403,995,0.01,0.52,23.9,20.23,5.6,23.6,53.1,1.0,3,4,3,8.7,3,1,2,4.6,1,1,1
31.68,750492.9,0.588,1.408,495,-5.21,1.22,38.6,29.43,8.5,21.7,55.1,1.6,3,5,3,11.8,2,1,2,5.0,1,1,1
37.44,673961.9,0.583,1.382,495,1.04,0.1,61.7,22.56,16.1,20.8,44.8,1.1,1,1,4,34.1,1,1,2,5.0,1,1,0
38.85,357353.6,0.564,1.432,995,1.74,0.8,110.2,22.01,18.4,27.3,49.0,2.4,2,2,4,8.8,1,1,1,4.7,1,1,0
41.21,364306.9,0.588,1.42,495,-3.46,1.87,102.8,25.79,22.9,22.0,73.0,7.6,2,3,5,3.2,2,1,1,4.2,0,1,0
40.12,594367.8,0.603,1.367,245,-0.22,1.59,93.4,23.53,32.4,22.8,54.4,0.8,2,4,4,34.1,1,0,2,5.0,1,1,2
36.05,532787.2,0.607,1.443,495,-0.72,0.65,107.1,20.69,21.8,21.1,62.7,2.9,2,4,5,0.1,2,1,1,4.1,1,1,0
38.63,715047.6,0.555,1.439,245,-1.3,0.23,98.4,22.32,22.3,17.9,50.7,1.4,3,4,4,10.0,2,1,1,4.9,1,1,0
35.82,419474.9,0.585,1.382,245,0.03,0.44,117.1,21.21,6.8,27.5,48.9,3.7,2,2,3,3.1,3,1,1,5.0,1,1,0
31.86,395793.9,0.605,1.404,995,-0.41,1.28,84.9,30.95,19.1,26.0,43.8,2.7,3,5,2,1.7,2,1,2,3.6,1,1,1
43.66,610838.2,0.574,1.449,995,-4.59,0.96,115.8,27.57,12.6,21.8,59.2,3.3,3,3,1,5.7,1,0,2,4.9,1,1,2
40.3,812937.1,0.585,1.415,995,-0.13,1.31,44.2,22.49,8.3,23.8,58.6,0.0,1,1,3,2.8,2,0,1,5.0,1,1,1
43.46,662846.2,0.612,1.424,495,0.06,0.48,81.7,28.71,25.4,23.5,72.1,0.2,1,3,4,7.7,3,1,1,3.7,0,1,1
39.56,328926.1,0.621,1.403,995,2.58,1.33,113.6,22.6,5.3,17.7,55.3,0.2,2,4,2,14.5,2,1,2,4.0,1,1,1
35.88,451911.7,0.624,1.422,995,-0.56,0.65,51.0,26.65,9.3,31.8,67.4,1.3,1,2,4,3.7,3,1,3,3.9,1,1,0
37.04,458736.1,0.574,1.419,495,8.96,1.73,87.7,25.87,25.7,23.5,75.6,0.5,2,2,4,2.6,1,0,1,3.9,0,1,1
37.45,829486.4,0.592,1.423,995,-0.33,1.09,80.8,23.46,9.2,22.6,49.1,0.8,1,3,4,8.1,2,1,1,5.0,1,1,0
38.56,491542.6,0.561,1.435,495,-0.36,1.11,31.5,20.37,11.2,23.8,59.3,0.7,1,2,3,7.1,2,1,1,4.6,1,1,0
36.82,390691.1,0.661,1.434,495,0.42,1.69,102.1,33.79,32.8,16.7,53.1,4.7,2,2,5,21.4,2,1,1,5.0,1,1,0
35.17,452462.2,0.628,1.425,245,0.13,1.33,27.4,31.0,13.5,21.5,44.2,1.3,1,1,3,6.2,1,1,2,4.7,1,1,0
36.16,925612.4,0.608,1.445,245,1.37,1.59,95.2,32.28,29.4,19.6,55.6,3.3,2,3,2,2.2,1,1,2,5.0,1,1,1
38.25,621821.6,0.609,1.452,995,3.33,1.0,91.6,20.76,10.6,21.0,47.4,1.7,3,4,2,0.8,1,1,1,4.7,1,1,1
41.43,587837.0,0.628,1.393,495,0.26,0.72,47.0,27.77,8.2,20.0,62.0,2.7,1,2,4,15.1,2,1,1,5.0,1,1,0
34.84,428115.1,0.598,1.408,245,0.74,0.17,86.7,28.4,37.9,22.1,61.7,16.7,3,5,3,8.6,2,0,1,4.9,1,1,1
41.65,385306.0,0.611,1.421,245,-0.81,0.14,56.0,23.78,28.0,17.6,61.4,3.2,1,1,4,9.8,3,1,1,5.0,1,1,0
41.36,656841.7,0.61,1.448,245,1.4,1.54,64.2,20.91,8.9,27.6,62.0,7.9,1,1,3,54.3,3,1,2,4.2,1,1,0
34.63,510034.9,0.659,1.405,245,0.84,0.42,70.0,24.2,22.6,26.0,68.4,1.0,1,2,4,2.0,2,1,1,2.9,0,1,1
42.32,556615.4,0.614,1.416,995,0.84,0.86,35.4,16.73,43.1,24.6,72.6,1.3,1,1,3,0.9,2,1,2,4.0,0,0,2
38.72,443670.7,0.595,1.419,245,0.72,1.99,23.0,21.84,39.1,23.9,55.7,1.9,3,3,3,0.7,3,1,2,4.9,1,1,1
34.01,466091.8,0.554,1.405,995,-0.85,0.38,117.3,16.49,29.0,21.6,43.0,0.8,1,1,3,11.2,1,0,1,4.5,1,0,2
35.35,372190.3,0.599,1.398,495,2.03,0.36,78.1,26.41,15.6,24.0,45.0,1.0,2,2,3,3.7,2,1,1,4.4,1,1,0
27.71,851655.4,0.624,1.425,995,0.55,1.12,104.0,19.08,15.1,21.5,54.5,2.0,3,4,5,5.2,2,1,1,5.0,1,1,1
36.03,449197.9,0.657,1.448,245,-1.85,1.15,57.2,28.3,21.3,23.7,44.0,0.6,1,1,2,17.5,2,1,3,5.0,1,1,1
38.78,708253.9,0.585,1.401,495,-0.35,1.71,99.6,27.6,8.7,20.1,59.1,0.9,1,1,5,15.7,2,1,2,4.8,1,1,0
28.65,412414.8,0.599,1.397,495,-0.52,1.83,66.8,21.34,14.4,21.2,59.6,2.0,2,3,5,14.7,3,1,2,4.7,1,1,1
32.56,618858.8,0.606,1.425,995,11.78,0.17,75.1,31.0,7.6,22.3,54.5,0.8,1,2,2,9.4,1,1,1,4.8,1,1,2
35.2,716630.0,0.584,1.422,495,0.6,1.17,112.9,19.41,12.3,23.3,68.0,4.5,1,1,1,32.6,3,1,3,4.9,1,1,1
40.94,542841.5,0.616,1.396,995,-0.78,0.12,91.6,29.38,74.2,27.4,44.1,0.2,2,2,3,18.0,3,1,1,3.9,1,1,0
38.3,348315.1,0.603,1.355,495,3.11,1.53,95.4,23.14,17.9,20.2,72.5,1.5,3,5,5,3.8,2,1,1,3.9,0,1,0
32.77,526477.8,0.651,1.414,995,-2.78,1.23,63.4,29.56,11.3,23.3,63.5,8.0,3,4,4,22.9,2,1,1,5.0,1,1,2
40.26,396533.2,0.578,1.41,245,0.48,1.59,90.0,23.88,19.4,21.9,59.8,6.2,3,5,4,2.8,2,1,2,4.7,1,1,0
35.32,494928.7,0.586,1.393,995,0.33,1.81,94.5,22.56,5.8,24.3,43.2,5.4,1,3,4,2.0,2,0,2,5.0,1,1,0
34.14,643233.1,0.584,1.42,995,0.96,0.69,45.0,25.74,20.9,18.4,65.9,7.9,3,3,3,7.2,2,1,1,2.8,0,1,1
39.7,406005.6,0.544,1.447,245,-0.54,1.12,47.8,21.47,17.2,20.2,50.6,2.2,2,2,3,34.6,2,1,1,4.7,1,1,0
36.8,405725.9,0.554,1.395,995,-0.41,0.18,98.1,22.0,12.6,25.8,53.6,3.2,1,3,3,1.1,2,1,2,4.2,1,1,0
35.34,570913.8,0.592,1.422,995,-0.38,1.67,91.3,19.67,9.0,26.6,59.5,5.2,2,2,3,9.7,2,1,2,3.8,1,1,0
27.65,326162.4,0.571,1.403,495,-0.59,1.04,111.7,29.75,27.5,23.6,44.4,1.8,3,5,4,4.2,1,1,1,4.8,1,1,2
33.19,569510.5,0.589,1.412,995,2.22,0.17,77.4,23.21,18.1,22.8,54.1,2.7,1,3,4,3.2,1,1,1,5.0,1,1,0
40.39,259627.2,0.597,1.403,495,-0.47,0.53,101.7,28.28,45.0,22.7,46.0,1.2,3,3,3,14.0,3,0,1,4.0,1,1,1
34.3,339063.3,0.603,1.442,245,0.25,0.39,34.9,20.97,12.9,19.0,51.1,0.1,1,2,2,10.3,3,1,2,5.0,1,1,1
32.99,392165.7,0.556,1.405,495,0.77,1.67,59.7,29.86,7.5,20.7,68.3,3.3,1,1,5,1.7,2,1,3,3.8,0,1,0
44.32,451842.7,0.545,1.389,495,2.65,0.73,76.4,23.14,45.9,24.3,64.3,2.4,3,3,4,0.4,2,1,3,5.0,1,1,1
39.65,395496.1,0.618,1.407,245,2.7,0.72,87.6,27.26,18.5,27.9,64.2,2.6,2,2,4,2.6,1,1,1,3.9,1,1,0
39.84,678090.6,0.61,1.409,495,-1.69,0.73,66.5,19.65,16.9,28.7,49.5,3.3,3,3,5,8.6,3,1,2,4.3,1,1,1
38.05,445545.4,0.626,1.429,245,-1.27,1.69,81.4,29.37,18.1,25.5,46.9,0.3,3,4,2,5.8,3,0,2,5.0,1,1,2
24.25,535826.9,0.624,1.395,995,-0.85,0.13,52.3,19.24,6.4,23.5,68.3,1.5,2,4,3,4.9,3,1,1,4.5,0,1,1
36.74,542275.0,0.597,1.435,995,-2.98,1.03,106.0,23.71,18.5,20.0,69.2,4.0,2,2,4,3.0,2,1,1,3.1,0,1,0
