temperatura_transporte_c,tempo_transporte_h,veiculo_higienizado,carga_compartilhada_quimicos,embalagem_secundaria_protecao,lacres_veiculo_integridade,registro_condicoes_transporte,lote_identificado,probabilidade
27.1,3.5,1,0,1,0,1,0,0
38.3,25.9,1,0,0,0,1,1,2
28.5,61.9,0,1,1,1,0,0,2
10.3,70.7,0,0,1,1,1,0,2
38.5,49.2,0,0,0,1,1,0,3
27.6,7.0,0,0,0,1,1,1,3
35.4,58.2,0,1,0,0,0,0,3
10.4,41.7,1,0,1,1,0,1,0
16.8,7.4,0,1,0,0,1,1,3
25.8,29.8,1,1,0,0,1,1,2
19.6,1.1,1,0,0,1,1,1,2
27.5,33.2,1,0,1,0,0,0,0
10.2,13.5,0,0,0,1,0,0,3
13.8,44.2,0,0,1,0,1,1,2
15.8,62.9,0,0,0,1,0,1,3
11.3,31.4,1,1,0,0,1,0,2
19.4,46.9,1,1,1,0,0,1,0
25.0,5.6,1,0,1,0,1,1,0
10.4,58.1,0,0,1,0,1,0,2
12.6,10.0,1,0,0,1,0,0,2
31.7,29.9,0,0,0,0,1,0,3
19.3,18.1,0,1,0,1,0,0,3
38.8,15.5,0,1,1,1,0,0,2
34.3,23.8,1,0,1,0,1,0,0
37.9,1.6,0,0,0,0,1,1,3
33.6,66.2,1,1,1,0,0,1,0
11.9,12.3,0,1,1,0,0,0,2
32.0,38.1,1,0,0,0,1,0,2
30.7,13.8,1,0,0,1,0,1,2
36.4,3.3,0,1,1,1,1,1,2
25.8,18.7,0,0,1,1,0,1,2
20.8,3.4,0,1,1,0,1,0,2
28.6,64.2,0,1,0,1,1,0,3
30.1,54.2,1,1,0,1,1,0,2
10.6,7.5,1,0,1,1,0,0,0
38.9,56.9,1,0,1,0,1,0,0
25.6,7.0,0,0,0,0,0,0,3
17.7,41.2,1,0,0,1,0,1,2
20.4,20.9,0,1,0,0,1,1,3
27.5,60.5,0,1,0,0,0,0,3
22.1,11.4,0,0,0,0,1,0,3
21.9,49.0,0,0,0,1,0,1,3
29.6,13.6,0,1,1,1,0,0,2
24.2,43.7,1,1,0,0,0,1,2
32.3,3.3,0,1,0,0,1,1,3
18.8,36.1,0,0,1,1,0,1,2
12.2,28.7,1,1,0,1,1,1,2
34.4,69.2,0,0,0,1,0,1,3
15.3,55.9,1,1,1,0,0,0,0
30.2,25.7,0,1,0,1,1,0,3
39.4,30.3,0,1,1,0,0,0,2
32.0,58.8,0,1,0,0,0,1,3
38.3,27.9,0,1,0,0,1,0,3
15.9,8.1,0,0,1,0,0,0,2
32.3,5.5,1,1,0,1,1,1,2
33.6,48.9,0,1,0,0,1,1,3
37.4,52.0,1,0,0,1,0,0,2
30.8,29.5,0,1,1,1,1,0,2
38.7,31.6,1,1,0,0,1,1,2
34.2,43.3,0,0,1,0,1,1,2
32.2,54.7,1,0,1,0,0,0,0
34.2,65.6,0,1,1,0,1,1,2
14.8,10.4,1,1,1,1,1,0,0
11.7,62.9,1,0,1,1,1,1,0
24.4,25.4,1,1,1,0,0,1,0
38.5,58.9,1,1,0,1,1,1,2
39.4,51.0,0,0,1,0,0,1,2
16.4,14.2,1,0,1,0,0,1,0
25.7,45.9,0,1,0,1,1,0,3
10.1,3.5,1,0,0,1,0,0,2
22.0,70.4,0,0,1,0,0,1,2
26.2,8.3,0,1,1,0,1,1,2
34.4,56.4,0,0,0,0,1,0,3
28.4,13.2,1,1,1,1,1,0,0
36.3,57.3,0,1,0,1,0,1,3
39.5,55.8,0,1,0,1,0,1,3
17.8,59.7,0,0,1,0,1,1,2
29.4,42.1,0,1,1,0,0,1,2
35.6,44.6,0,1,0,0,1,1,3
20.2,19.9,0,0,0,0,0,1,3
39.7,65.2,1,0,0,1,1,0,2
29.9,50.7,0,1,0,1,0,1,3
17.6,53.3,0,0,0,0,1,0,3
29.9,26.8,0,1,0,0,0,1,3
10.2,9.7,0,1,1,1,1,1,2
22.8,26.1,1,0,0,1,0,1,2
18.5,24.9,1,0,0,0,0,0,2
33.0,30.6,1,1,0,1,0,0,2
11.0,47.7,0,0,0,0,0,1,3
33.9,53.1,1,0,1,1,1,1,0
15.1,69.8,1,1,1,0,0,0,0
17.8,38.8,0,1,1,0,0,1,2
23.0,64.9,1,1,0,0,1,1,2
22.2,59.6,0,1,0,0,0,1,3
13.1,33.8,1,0,1,1,0,0,0
33.1,27.7,0,1,1,0,1,1,2
18.9,5.6,0,0,0,1,1,0,3
33.6,65.7,0,0,1,1,0,1,2
13.6,66.0,0,0,0,1,0,1,3
34.1,31.8,1,1,0,1,0,0,2
37.5,60.6,0,1,0,0,1,1,3
14.1,66.4,0,1,1,0,0,1,2
20.1,25.3,0,0,1,0,0,1,2
23.4,1.7,1,1,1,1,1,0,0
14.1,7.0,1,1,1,0,1,0,0
11.9,41.8,1,1,1,0,1,0,0
16.4,41.5,1,0,0,1,0,0,2
35.4,21.4,1,0,0,0,0,0,2
16.3,47.9,1,1,0,1,1,0,2
16.7,40.9,0,0,1,1,1,0,2
15.1,30.4,0,1,0,0,1,0,3
12.4,25.1,1,1,0,0,0,1,2
11.1,27.3,0,1,0,0,0,1,3
15.4,61.7,1,0,0,0,0,0,2
18.0,12.1,1,1,1,0,1,0,0
20.0,69.1,1,1,1,1,0,0,0
28.3,14.3,0,0,0,0,0,0,3
12.8,35.6,0,1,1,0,0,0,2
27.2,15.5,1,1,1,1,1,0,0
36.2,36.2,0,0,0,0,0,0,3
21.4,40.3,0,1,0,1,0,1,3
28.9,20.5,0,1,0,1,1,0,3
11.4,14.5,0,1,1,1,0,1,2
24.5,26.0,1,1,0,0,0,0,2
35.1,70.7,1,1,1,1,1,1,0
26.7,51.1,0,0,0,0,1,1,3
22.9,62.0,0,1,0,0,0,1,3
28.8,63.6,1,0,1,0,1,1,0
16.4,65.0,1,0,0,1,1,1,2
37.1,56.2,1,1,0,0,0,1,2
35.5,42.3,0,1,0,0,0,0,3
27.5,20.4,0,1,1,1,1,0,2
22.0,37.4,0,0,0,0,0,1,3
11.0,19.5,1,1,0,0,1,1,2
33.0,24.6,1,0,1,0,0,0,0
25.1,29.9,0,0,1,0,1,0,2
31.3,10.8,0,0,0,0,1,0,3
16.5,61.0,0,0,0,0,1,1,3
35.4,56.8,1,1,0,1,1,0,2
39.3,26.0,1,0,1,1,1,0,0
10.8,44.4,1,1,1,0,1,0,0
19.4,28.1,1,1,0,1,1,0,2
25.0,58.7,1,0,0,0,1,1,2
27.4,25.9,1,1,1,1,0,0,0
33.2,12.5,0,1,1,1,1,0,2
17.7,27.7,0,0,0,0,0,0,3
29.0,30.6,0,0,1,0,0,1,2
36.8,5.3,1,1,1,1,0,0,0
13.2,35.9,1,0,0,0,0,0,2
31.9,12.6,0,1,0,0,0,1,3
25.9,64.6,0,0,0,0,1,0,3
31.3,1.6,0,0,1,0,1,1,2
37.9,5.3,1,0,0,0,1,1,2
23.3,66.3,1,1,0,0,0,0,2
34.4,33.3,1,0,0,1,1,0,2
12.3,7.0,1,0,1,0,1,1,0
21.6,44.2,1,0,0,1,1,1,2
10.7,51.1,1,0,1,0,0,0,0
24.1,33.9,0,1,1,0,0,0,2
15.9,9.5,0,1,1,1,1,1,2
19.5,61.7,1,1,1,0,0,0,0
23.7,54.3,1,1,1,1,1,1,0
32.3,32.3,1,0,1,1,0,1,0
19.6,54.8,1,1,1,0,0,1,0
34.6,35.9,0,0,0,1,0,1,3
25.6,1.6,0,1,0,1,0,0,3
38.8,33.3,0,0,1,1,0,1,2
20.1,10.1,1,0,1,1,0,0,0
27.6,34.0,0,0,0,0,1,0,3
34.4,49.5,1,0,0,0,1,1,2
26.2,22.5,1,0,1,1,1,0,0
22.1,1.6,1,0,0,0,0,0,2
38.3,18.9,0,0,1,0,1,1,2
38.1,60.7,1,1,1,0,1,0,0
26.5,68.1,1,0,0,1,0,1,2
18.6,64.0,1,0,1,0,1,1,0
14.0,40.4,0,0,1,0,1,1,2
31.5,51.4,0,0,1,0,0,0,2
29.0,61.9,0,1,1,0,0,0,2
34.2,24.0,1,1,1,1,1,0,0
21.2,29.8,0,0,1,0,0,1,2
19.6,3.3,0,0,1,0,0,0,2
37.5,14.4,0,0,0,1,1,0,3
27.3,28.9,0,1,1,0,0,1,2
16.5,35.5,1,0,0,1,1,0,2
18.0,15.0,1,1,0,1,0,1,2
28.2,57.5,1,0,0,0,1,1,2
26.9,65.2,0,0,0,0,0,1,3
20.7,35.1,0,1,0,0,0,0,3
22.5,12.0,1,0,0,0,0,1,2
31.1,63.0,1,1,1,1,0,0,0
33.1,3.9,0,1,1,0,1,1,2
11.2,62.6,0,1,0,0,0,0,3
21.6,68.9,0,0,0,0,1,1,3
24.2,60.3,0,1,0,1,1,1,3
21.9,35.1,0,1,0,1,1,0,3
15.2,45.0,1,1,1,0,0,1,0
37.9,66.5,1,1,1,0,0,1,0
21.5,52.3,1,0,0,1,0,1,2
15.3,57.7,1,1,1,1,0,0,0
32.1,61.3,0,1,1,1,1,0,2
18.4,49.3,0,1,0,0,1,0,3
16.2,7.0,0,0,0,0,1,0,3
34.7,43.9,1,0,1,1,1,0,0
30.3,38.2,1,0,1,1,0,1,0
31.3,8.8,0,1,0,1,0,1,3
17.8,40.0,0,1,0,1,1,0,3
37.7,20.7,1,1,0,0,0,0,2
11.5,22.1,0,1,1,1,0,1,2
28.7,35.3,0,0,0,1,0,0,3
14.6,51.3,0,1,0,1,1,1,3
28.3,66.7,0,0,1,0,1,0,2
37.4,26.9,0,1,0,1,1,1,3
29.8,29.7,0,1,1,0,1,0,2
19.4,1.5,1,0,1,1,1,0,0
26.0,10.2,0,0,1,1,0,0,2
15.7,38.1,0,0,1,1,0,0,2
27.3,55.7,1,1,1,0,1,0,0
20.8,69.3,1,0,1,0,1,0,0
32.1,71.0,1,1,1,0,1,0,0
17.9,36.4,0,0,0,0,1,1,3
19.8,33.5,0,0,0,1,0,0,3
14.0,65.4,0,1,1,1,1,1,2
26.7,55.6,1,0,1,1,1,0,0
20.8,16.7,0,0,0,1,0,0,3
14.6,35.9,0,0,0,1,1,1,3
38.1,59.9,1,1,1,0,1,1,0
27.8,13.7,1,1,1,1,1,0,0
15.1,45.8,1,0,1,1,1,0,0
26.0,2.4,0,1,0,1,0,0,3
21.2,60.4,1,1,0,1,0,0,2
14.7,71.4,0,1,0,0,0,1,3
34.7,51.7,1,1,1,1,0,1,0
13.4,1.3,0,1,1,0,0,0,2
38.2,18.7,0,1,0,0,0,1,3
18.2,31.6,1,0,0,0,1,0,2
27.8,32.8,1,1,0,1,0,0,2
32.9,67.3,1,1,1,0,0,0,0
13.2,5.2,0,1,0,0,0,1,3
32.2,54.0,1,1,0,1,1,0,2
14.5,29.9,0,0,1,1,0,1,2
30.9,61.8,0,1,1,0,0,1,2
26.5,49.8,0,1,0,1,0,1,3
12.0,21.3,0,1,0,0,0,1,3
31.1,16.0,1,1,1,1,1,0,0
10.6,41.8,0,0,1,0,0,1,2
10.6,54.4,1,1,0,1,1,1,2
37.9,33.5,1,0,1,0,1,0,0
18.3,63.8,1,0,1,1,0,0,0
34.2,11.6,1,1,1,0,1,0,0
22.3,6.2,1,0,1,0,1,1,0
32.6,40.8,1,1,0,0,1,1,2
16.9,68.2,1,0,0,1,1,1,2
34.9,11.2,1,0,0,1,0,0,2
29.2,20.1,0,0,1,1,1,0,2
21.3,60.0,1,0,1,1,0,1,0
10.6,2.2,1,1,1,0,0,1,0
35.1,6.1,0,0,1,1,0,0,2
29.0,16.1,0,0,0,0,0,1,3
25.0,27.4,0,1,1,0,0,0,2
14.7,71.1,0,0,0,0,0,0,3
10.6,67.5,0,1,1,1,0,1,2
20.0,4.2,0,0,0,0,0,0,3
36.5,18.2,0,0,0,0,1,1,3
11.8,4.6,1,1,1,0,0,0,0
21.8,3.3,1,1,0,1,1,0,2
21.5,41.0,1,1,0,0,0,0,2
36.7,19.3,0,1,1,0,0,0,2
21.6,34.4,1,0,1,0,1,0,0
30.4,18.1,0,1,0,0,0,1,3
13.6,1.2,0,1,1,1,0,1,2
37.7,53.1,1,1,1,1,0,0,0
32.7,63.4,1,0,0,0,1,1,2
35.4,25.6,0,0,1,1,0,1,2
16.2,26.6,0,0,1,0,1,0,2
27.8,48.9,1,1,1,1,0,1,0
33.2,23.4,0,1,0,1,0,0,3
29.4,11.3,1,1,1,1,1,1,0
17.6,58.8,1,0,0,1,0,1,2
20.1,53.0,0,0,1,0,0,0,2
28.1,45.1,1,1,1,1,1,1,0
25.2,45.1,1,1,1,0,0,1,0
36.3,6.1,0,0,0,0,0,0,3
38.8,2.4,1,1,1,0,1,1,0
33.8,11.5,0,1,1,0,0,1,2
27.9,4.5,0,0,1,1,1,0,2
36.9,62.9,0,1,0,0,1,1,3
21.4,60.0,0,1,1,1,1,0,2
12.9,54.5,0,1,1,0,0,1,2
35.1,52.3,1,1,0,0,1,0,2
13.4,56.5,1,1,1,0,0,1,0
36.8,40.3,0,0,1,0,0,1,2
36.8,19.4,1,1,0,0,1,0,2
13.6,21.9,0,0,1,1,1,1,2
32.1,28.9,1,1,0,1,1,1,2
28.1,12.1,1,0,0,1,1,1,2
19.7,67.4,1,0,1,0,0,1,0
14.9,38.9,0,0,0,1,1,0,3
29.6,30.8,0,1,0,1,0,1,3
12.5,10.0,1,1,0,1,1,1,2
20.4,16.6,1,1,0,1,0,1,2
24.7,71.5,1,1,0,0,0,1,2
35.3,3.1,1,0,0,0,1,0,2
17.7,38.4,0,1,0,1,0,0,3
15.7,38.7,1,1,0,0,1,1,2
12.2,54.4,0,1,0,1,0,0,3
33.7,56.2,0,0,1,1,0,0,2
31.6,57.7,1,0,1,1,0,1,0
15.2,17.4,0,1,1,1,0,0,2
38.6,15.3,0,1,1,1,0,0,2
18.9,65.4,1,0,0,0,0,1,2
33.8,13.7,0,0,1,0,0,1,2
18.5,9.1,0,1,0,0,0,0,3
27.2,11.0,1,1,0,0,1,1,2
38.0,16.2,1,0,0,1,1,0,2
19.3,20.3,1,0,1,1,1,0,0
16.3,44.0,1,0,0,1,0,0,2
15.7,70.3,0,0,0,1,0,0,3
35.4,54.5,0,0,0,0,1,1,3
16.7,16.1,1,0,1,0,0,1,0
34.2,63.2,1,1,1,1,0,1,0
25.8,22.4,1,0,0,0,0,1,2
20.0,55.9,0,0,1,1,1,0,2
33.4,66.5,0,0,0,1,1,0,3
12.8,63.8,1,1,0,1,0,0,2
26.1,20.6,0,1,0,0,1,0,3
31.1,34.5,1,0,0,0,1,0,2
10.3,3.8,0,1,1,1,0,0,2
24.2,64.3,1,0,1,0,0,0,0
19.4,61.0,1,0,0,0,1,0,2
12.2,46.2,1,0,0,0,0,0,2
39.1,21.3,0,1,0,0,1,0,3
11.9,39.7,1,0,0,1,1,0,2
33.8,20.3,1,0,1,0,0,0,0
38.2,34.7,0,1,1,1,0,1,2
15.8,48.7,0,0,1,1,0,1,2
13.4,31.5,0,1,0,1,0,1,3
30.3,39.7,0,0,0,1,0,1,3
25.6,47.1,1,1,0,1,0,0,2
21.8,21.9,0,1,0,1,1,1,3
21.7,20.1,1,1,1,0,1,0,0
13.1,57.0,0,0,1,0,0,0,2
25.6,17.6,0,1,0,1,0,0,3
12.6,25.1,0,0,0,0,0,1,3
35.3,58.3,0,1,0,1,0,1,3
25.1,65.6,1,1,1,1,1,0,0
37.0,31.1,1,1,1,1,0,0,0
19.9,10.6,0,0,1,1,0,0,2
36.3,21.0,1,0,0,1,1,1,2
11.8,9.0,1,1,0,1,1,0,2
13.5,63.2,1,0,0,1,0,1,2
39.0,61.2,1,0,0,1,1,1,2
38.3,15.2,1,1,0,0,0,1,2
29.5,52.8,0,1,0,0,0,1,3
24.2,48.0,0,0,0,0,0,0,3
30.7,14.4,0,0,0,1,1,0,3
30.6,6.9,1,0,0,1,1,0,2
11.9,33.6,1,0,1,1,0,1,0
13.7,30.8,0,1,1,1,0,0,2
26.9,39.7,1,1,1,0,0,0,0
21.3,4.5,0,0,0,1,0,1,3
37.6,24.2,0,0,1,0,0,1,2
35.2,24.9,0,1,1,0,0,1,2
31.9,20.1,1,0,1,0,0,0,0
11.7,46.4,0,0,0,0,0,0,3
30.8,8.2,0,1,0,0,0,0,3
26.9,38.5,0,1,0,0,1,0,3
19.9,54.2,0,0,0,1,1,1,3
18.0,3.6,0,1,1,0,0,0,2
35.7,23.3,0,0,0,0,1,1,3
36.0,1.8,0,1,1,1,1,1,2
21.8,43.2,0,1,0,0,0,1,3
36.9,57.3,0,0,1,1,1,0,2
27.0,35.0,0,0,1,1,0,1,2
24.7,49.2,0,0,1,1,1,0,2
26.4,25.7,1,1,0,1,1,0,2
33.2,67.7,0,0,1,1,1,0,2
10.1,58.7,0,1,0,0,1,0,3
16.6,4.0,0,0,0,1,1,0,3
24.6,1.7,0,0,0,1,0,1,3
32.8,24.6,1,1,0,0,0,1,2
16.3,50.0,0,1,1,1,0,0,2
29.9,33.1,1,0,1,0,0,0,0
30.2,67.5,0,0,0,1,1,0,3
20.4,20.8,0,0,1,1,0,1,2
22.1,23.3,0,0,1,0,0,1,2
23.7,23.3,0,0,1,0,0,0,2
19.5,21.2,1,0,1,0,1,1,0
31.1,48.7,0,0,1,1,1,0,2
35.3,61.3,1,1,0,1,1,0,2
15.5,1.8,1,0,1,0,1,1,0
11.2,16.0,1,0,0,0,0,0,2
35.4,24.7,1,0,1,0,1,1,0
23.3,45.8,1,1,0,0,1,0,2
30.9,50.2,0,0,1,0,0,0,2
30.3,54.1,0,0,0,0,0,0,3
34.5,23.3,0,1,1,1,1,0,2
27.4,24.7,0,0,0,1,0,0,3
37.5,4.6,1,0,0,1,1,0,2
18.8,69.2,0,0,1,1,0,1,2
23.4,59.1,1,1,1,0,1,1,0
18.3,70.8,0,0,0,1,1,0,3
20.7,43.2,1,1,1,1,1,1,0
19.7,6.3,1,0,1,0,1,0,0
26.9,50.5,0,1,1,1,1,1,2
36.6,31.3,1,0,0,0,1,1,2
17.2,11.0,1,0,1,1,0,0,0
22.3,40.8,0,0,0,1,0,0,3
38.9,34.4,1,1,1,0,0,0,0
39.2,60.7,1,0,1,0,0,1,0
36.2,17.2,0,0,0,0,1,1,3
37.7,61.7,1,0,0,0,0,1,2
29.7,44.7,0,1,0,1,0,1,3
31.1,7.0,0,1,1,1,1,1,2
16.5,6.1,0,1,0,0,0,0,3
28.1,2.6,1,1,1,1,1,0,0
39.3,50.3,1,0,1,1,0,1,0
24.1,19.4,1,0,0,1,0,0,2
31.4,30.4,0,1,1,1,1,1,2
14.3,6.6,1,0,0,0,0,0,2
36.4,61.2,0,0,1,0,1,1,2
24.7,24.9,0,1,1,1,1,0,2
35.0,62.0,1,1,0,0,0,1,2
16.0,59.9,1,0,1,0,1,0,0
14.3,16.6,1,0,0,1,1,0,2
26.5,10.6,0,1,0,1,1,0,3
35.2,68.1,0,0,1,1,1,0,2
27.9,67.7,1,1,1,1,0,1,0
31.6,40.1,1,0,1,0,1,1,0
24.5,70.3,0,0,1,1,1,1,2
27.3,2.2,1,1,1,0,0,1,0
15.2,35.2,0,1,1,1,0,1,2
10.6,25.6,0,1,1,1,0,1,2
28.6,48.0,0,1,0,0,0,1,3
23.0,31.7,1,1,1,0,1,1,0
21.4,11.8,0,1,0,1,1,0,3
13.4,14.1,0,1,1,1,0,1,2
17.9,19.4,0,1,0,0,1,0,3
30.3,19.6,1,1,0,1,1,1,2
17.7,17.0,0,1,0,0,0,0,3
33.0,21.0,1,1,0,1,0,1,2
14.0,2.7,0,1,0,0,0,1,3
29.3,23.1,1,0,0,1,1,0,2
21.0,25.3,0,1,1,1,1,0,2
29.3,64.1,0,1,1,1,0,0,2
37.4,23.7,0,1,1,1,0,0,2
32.0,39.5,0,0,0,1,1,1,3
39.6,4.6,1,1,0,1,0,1,2
27.9,28.5,0,0,1,1,0,1,2
29.7,71.1,1,1,1,0,0,0,0
23.2,41.6,1,0,1,1,1,0,0
29.6,6.9,1,1,1,0,1,1,0
28.5,33.9,0,0,0,0,0,1,3
16.7,65.0,0,1,1,0,0,1,2
25.2,35.9,0,0,1,0,1,0,2
38.4,68.3,0,1,0,0,0,1,3
28.6,47.1,0,0,0,1,0,0,3
18.5,51.6,1,1,0,0,0,0,2
26.5,16.7,0,1,0,0,1,0,3
11.5,42.7,0,1,1,0,0,0,2
18.5,4.8,0,0,0,1,0,0,3
16.2,16.1,1,0,0,1,1,1,2
36.8,17.3,0,0,1,0,1,0,2
34.0,28.9,1,0,1,0,1,0,0
10.4,31.3,0,1,0,0,0,1,3
14.6,25.7,1,1,0,0,1,0,2
26.5,25.0,0,1,1,0,0,1,2
24.9,5.4,0,0,1,0,1,1,2
22.7,56.2,0,1,1,1,0,0,2
37.5,41.3,1,0,1,1,0,0,0
13.1,21.0,0,1,0,1,0,1,3
16.2,22.9,1,0,0,1,1,1,2
14.0,52.6,1,1,0,0,0,1,2
11.8,23.1,1,1,1,1,1,0,0
20.0,47.1,1,0,0,0,1,0,2
14.6,47.8,1,0,0,1,1,0,2
29.1,30.7,0,0,0,1,1,0,3
39.7,39.4,0,0,0,0,0,0,3
32.4,54.4,0,1,0,0,0,1,3
32.0,56.7,0,0,1,1,1,1,2
16.9,40.7,1,1,1,1,1,1,0
29.5,11.3,1,0,1,0,1,0,0
18.3,63.1,1,1,0,0,1,0,2
30.0,46.5,0,0,0,1,0,1,3
27.7,53.0,0,1,0,0,0,0,3
21.0,58.1,1,0,1,0,1,1,0
28.7,39.7,1,0,0,0,0,1,2
19.3,68.0,0,1,1,0,0,0,2
26.3,63.1,1,1,1,1,0,1,0
26.5,20.8,0,0,1,1,1,1,2
33.3,37.8,0,1,0,0,1,0,3
11.5,10.1,0,0,0,1,0,1,3
33.9,48.7,1,0,1,0,1,0,0
18.9,19.2,0,1,1,1,0,0,2
32.6,9.3,0,1,0,0,0,0,3
39.3,46.3,1,1,0,1,1,0,2
25.4,65.5,1,1,1,0,1,1,0
