temperatura_armazenamento_c,umidade_relativa_ambiente_pct,tempo_armazenado_dias,bombonas_integra_limpa,lacres_integro,segregacao_de_produtos_quimicos,piso_limpo_seco,PEPS_FEFO_aplicado,lote_identificado,probabilidade
10.7,82.0,236.0,0,0,0,0,0,0,1
15.3,39.0,264.0,1,0,0,0,0,0,1
23.1,45.0,111.0,0,1,0,1,0,1,0
16.2,58.0,264.0,1,1,1,0,0,1,1
27.7,44.0,111.0,0,1,1,0,0,1,1
32.3,87.0,306.0,0,1,0,0,1,0,3
29.2,67.0,84.0,0,1,1,1,1,0,1
12.3,58.0,158.0,0,1,0,1,0,1,0
16.1,32.0,227.0,1,0,1,1,0,1,0
16.2,84.0,59.0,1,1,0,1,1,1,1
10.9,50.0,335.0,1,1,0,0,0,1,1
33.4,83.0,96.0,1,1,0,1,0,0,2
32.6,46.0,36.0,1,0,0,1,0,1,1
19.0,32.0,270.0,0,1,0,0,0,0,1
32.8,81.0,155.0,1,1,1,0,1,1,2
13.0,54.0,351.0,0,1,0,0,0,1,1
18.7,47.0,155.0,0,1,0,0,0,1,0
21.8,76.0,146.0,1,0,0,1,0,1,1
16.1,35.0,287.0,1,1,0,1,0,0,1
30.6,66.0,142.0,0,0,0,1,0,1,1
13.6,52.0,128.0,0,0,0,1,1,1,0
11.1,56.0,219.0,1,1,0,1,0,1,0
17.9,77.0,35.0,0,0,1,0,1,0,0
21.4,59.0,133.0,1,0,1,1,1,1,0
20.3,65.0,131.0,1,1,0,1,0,1,0
33.8,36.0,69.0,0,1,1,0,0,1,1
22.2,79.0,282.0,0,0,1,0,0,0,1
29.9,73.0,360.0,0,0,0,1,1,1,2
26.9,81.0,80.0,1,0,1,1,1,1,1
29.5,53.0,223.0,1,1,0,1,1,0,1
25.2,76.0,93.0,1,0,1,0,1,0,1
12.3,65.0,67.0,1,1,1,1,1,1,0
23.4,35.0,154.0,0,0,0,0,1,0,1
12.1,61.0,105.0,1,1,0,1,0,1,0
17.4,55.0,304.0,1,0,1,1,1,0,1
31.8,66.0,95.0,0,1,1,1,0,1,1
21.9,84.0,361.0,1,0,1,1,0,1,2
34.7,67.0,347.0,1,0,0,1,0,0,3
21.0,44.0,300.0,0,0,0,0,1,0,1
32.0,61.0,270.0,0,1,1,1,1,0,2
24.2,67.0,132.0,0,0,1,0,1,1,1
13.2,55.0,20.0,0,0,0,0,0,1,0
24.0,66.0,152.0,0,1,0,1,0,1,1
28.2,70.0,337.0,1,1,0,0,1,0,2
12.5,85.0,21.0,0,0,1,0,0,1,1
19.5,34.0,209.0,0,1,1,1,0,1,0
11.2,70.0,59.0,1,0,1,0,0,0,0
34.2,43.0,320.0,1,0,0,1,1,1,2
26.9,34.0,104.0,0,1,0,0,1,0,1
32.7,78.0,303.0,0,0,1,1,1,0,2
32.1,76.0,343.0,0,0,0,0,0,0,2
29.5,30.0,103.0,1,1,1,1,0,1,1
22.7,88.0,41.0,0,0,1,1,0,0,1
25.2,39.0,164.0,1,1,0,1,0,1,1
33.6,79.0,298.0,1,0,0,1,0,1,3
21.1,54.0,63.0,0,1,0,1,0,0,0
11.4,89.0,237.0,0,0,0,0,0,0,1
27.1,73.0,112.0,1,0,1,0,1,0,1
24.0,56.0,268.0,1,1,0,0,0,0,1
26.7,83.0,260.0,1,0,0,1,0,0,2
29.6,89.0,124.0,1,1,0,0,1,0,2
26.4,74.0,163.0,1,0,1,0,0,1,1
18.5,40.0,254.0,1,1,0,1,0,0,0
12.0,84.0,23.0,0,1,1,0,1,1,1
15.0,51.0,64.0,1,1,1,1,0,0,0
29.1,90.0,343.0,0,1,1,0,0,0,3
34.2,64.0,140.0,0,0,0,1,1,0,2
22.2,75.0,309.0,1,1,0,0,0,1,1
34.1,68.0,80.0,0,0,1,0,0,0,2
25.7,87.0,205.0,1,0,1,0,0,0,2
10.6,75.0,338.0,1,0,0,0,0,0,1
14.5,33.0,56.0,0,1,1,0,0,1,0
26.1,65.0,16.0,0,1,0,1,1,1,1
15.5,41.0,189.0,1,0,1,0,0,1,0
32.1,49.0,243.0,1,1,1,0,1,0,2
16.6,78.0,49.0,1,1,1,0,0,0,1
33.9,64.0,72.0,0,1,0,1,1,1,2
20.9,61.0,348.0,0,0,1,1,0,1,1
30.3,56.0,66.0,0,0,1,0,1,1,1
22.7,72.0,244.0,1,0,0,0,0,1,1
26.3,83.0,23.0,0,0,1,0,0,1,1
33.1,86.0,292.0,0,0,0,1,1,1,3
29.8,88.0,348.0,1,0,0,1,1,0,3
23.7,80.0,336.0,0,0,0,0,0,0,2
26.0,42.0,267.0,1,1,1,0,0,1,1
16.1,80.0,226.0,1,1,0,0,0,0,1
12.1,87.0,331.0,1,1,0,1,0,0,2
29.4,84.0,208.0,1,1,1,0,1,0,2
26.0,56.0,107.0,0,0,0,0,1,1,1
10.1,81.0,335.0,1,0,0,0,0,1,1
25.1,86.0,325.0,1,0,0,0,0,0,2
23.5,30.0,88.0,0,1,0,1,1,0,0
32.2,65.0,334.0,0,1,1,1,0,1,2
25.4,64.0,236.0,1,1,0,0,1,1,1
29.1,49.0,134.0,1,0,0,0,1,1,1
12.8,41.0,64.0,0,1,0,1,1,1,0
11.7,36.0,260.0,0,1,0,1,1,1,1
18.3,46.0,106.0,0,0,1,0,0,0,0
11.2,46.0,325.0,0,1,0,1,1,0,1
21.1,65.0,186.0,1,0,1,0,0,0,1
20.2,87.0,283.0,0,1,1,1,1,0,2
25.0,32.0,248.0,0,1,0,0,1,1,1
14.1,67.0,44.0,0,0,1,1,0,1,0
18.4,62.0,293.0,0,0,0,1,0,0,1
13.6,88.0,335.0,0,0,1,0,0,0,2
12.9,55.0,157.0,1,0,1,0,0,1,0
33.2,90.0,144.0,1,0,0,1,1,0,2
30.4,41.0,75.0,0,1,1,1,0,1,1
31.3,68.0,293.0,1,1,0,1,0,1,2
32.7,83.0,304.0,0,0,0,0,1,1,3
24.1,62.0,294.0,1,1,1,1,0,0,1
31.3,31.0,109.0,0,1,0,1,0,1,1
31.5,82.0,273.0,0,0,0,0,1,1,2
14.0,87.0,153.0,1,0,1,1,1,0,1
24.9,72.0,4.0,0,1,0,0,0,1,1
24.6,41.0,216.0,1,0,0,0,1,1,1
12.6,31.0,26.0,0,1,1,1,0,1,0
23.0,34.0,164.0,1,1,1,0,1,0,1
31.7,65.0,308.0,1,1,0,1,1,0,2
26.9,81.0,32.0,0,0,0,0,0,0,1
14.3,74.0,166.0,0,0,1,0,0,1,1
14.8,35.0,362.0,1,0,0,0,1,1,1
13.9,80.0,328.0,1,1,0,1,1,0,1
30.3,63.0,281.0,0,0,1,1,1,1,2
13.3,40.0,20.0,0,0,0,0,1,1,0
22.5,48.0,59.0,1,1,0,1,0,0,0
16.8,38.0,59.0,0,0,0,0,0,0,0
28.5,43.0,302.0,1,1,1,0,1,1,2
28.3,73.0,40.0,1,1,1,0,1,1,1
18.1,71.0,218.0,0,1,1,0,1,0,1
14.2,52.0,27.0,1,1,0,1,0,1,0
24.9,70.0,66.0,1,0,0,1,0,1,1
17.6,63.0,276.0,1,1,0,0,1,0,1
32.9,78.0,7.0,1,0,0,0,1,0,2
30.2,74.0,89.0,0,0,1,0,0,0,1
27.0,70.0,221.0,1,1,1,0,1,0,1
25.4,45.0,190.0,1,1,0,1,1,1,1
19.2,87.0,292.0,1,1,0,1,1,1,2
30.4,53.0,208.0,0,1,0,1,0,1,1
17.3,55.0,175.0,0,1,0,1,1,0,0
13.3,52.0,75.0,1,1,0,0,1,1,0
21.7,75.0,265.0,1,1,0,1,1,1,1
27.0,88.0,296.0,0,1,1,1,1,0,2
18.9,61.0,31.0,0,0,0,1,0,1,0
30.1,76.0,135.0,1,1,1,1,1,1,2
22.2,67.0,340.0,1,0,1,1,0,0,1
19.9,61.0,120.0,1,0,1,0,1,0,0
22.3,40.0,313.0,1,0,1,1,1,1,1
20.1,83.0,342.0,0,0,1,1,0,0,2
29.2,39.0,288.0,0,1,1,1,0,0,2
31.4,68.0,143.0,1,1,1,1,1,0,2
13.7,68.0,169.0,0,1,1,0,0,0,0
18.0,69.0,126.0,1,1,1,1,1,0,0
27.6,40.0,63.0,0,0,1,1,1,1,1
12.8,80.0,359.0,1,1,0,0,1,0,2
31.3,82.0,320.0,1,0,1,1,0,1,3
11.7,67.0,270.0,0,0,0,1,1,1,1
20.8,46.0,71.0,1,1,0,0,1,1,0
22.3,53.0,256.0,1,1,1,1,1,0,1
20.9,73.0,322.0,1,0,1,0,1,1,1
14.5,37.0,15.0,0,1,0,0,1,1,0
23.4,48.0,56.0,0,0,0,1,1,1,0
15.8,41.0,124.0,0,0,1,1,0,1,0
33.9,84.0,273.0,1,0,0,0,0,0,3
14.5,44.0,73.0,1,0,0,1,0,1,0
33.5,87.0,155.0,1,1,1,1,0,0,2
14.5,37.0,146.0,0,1,1,1,0,0,0
14.0,63.0,60.0,0,0,0,1,1,0,0
20.8,40.0,9.0,1,0,1,0,1,1,0
30.6,41.0,171.0,1,0,0,1,1,0,1
23.0,52.0,132.0,1,1,0,0,1,1,0
11.8,43.0,167.0,0,1,1,1,0,1,0
18.7,33.0,109.0,1,0,0,0,0,1,0
30.4,71.0,345.0,0,1,0,1,1,1,2
16.9,44.0,247.0,1,0,0,0,0,1,0
32.5,48.0,251.0,1,0,1,1,0,1,2
22.7,56.0,24.0,1,0,0,1,1,0,0
10.3,34.0,322.0,1,1,0,0,1,1,1
19.8,79.0,54.0,1,1,1,1,1,0,1
22.9,44.0,285.0,0,1,1,0,1,1,1
12.6,43.0,38.0,0,0,0,0,1,1,0
17.6,53.0,237.0,1,0,0,0,0,0,0
13.1,61.0,165.0,0,0,0,1,1,0,0
27.4,32.0,173.0,0,1,1,0,0,1,1
33.1,74.0,346.0,0,1,1,1,0,1,3
14.3,87.0,26.0,0,0,1,1,1,1,1
28.2,85.0,161.0,1,0,0,1,1,0,2
33.4,52.0,85.0,1,1,0,0,1,1,1
11.6,81.0,110.0,0,1,0,1,0,1,1
22.2,33.0,180.0,1,0,0,1,1,0,0
10.6,68.0,329.0,1,0,0,0,0,1,1
30.4,66.0,13.0,1,0,0,1,1,1,1
26.0,46.0,52.0,0,0,0,1,1,0,1
21.7,51.0,302.0,0,1,0,0,1,1,1
12.7,88.0,209.0,1,1,0,0,1,1,1
11.0,61.0,38.0,0,0,0,1,1,1,0
21.0,67.0,111.0,1,1,1,1,1,0,0
14.0,39.0,91.0,1,1,1,1,0,1,0
29.6,86.0,116.0,0,0,1,1,1,1,2
28.0,44.0,270.0,0,1,0,0,1,0,1
27.0,75.0,329.0,1,1,0,1,0,1,2
24.3,43.0,235.0,0,0,1,0,1,1,1
30.8,50.0,269.0,1,0,0,0,0,0,2
31.9,89.0,11.0,1,0,0,1,0,1,2
11.2,65.0,258.0,0,0,0,1,1,1,1
13.5,68.0,193.0,0,0,0,1,0,0,1
33.6,74.0,321.0,1,1,1,0,0,1,3
27.2,73.0,209.0,0,0,0,0,1,0,2
33.8,72.0,122.0,1,1,1,1,1,0,2
16.2,40.0,254.0,0,1,0,1,0,1,0
19.8,80.0,273.0,0,0,0,0,1,0,1
11.3,44.0,263.0,0,0,0,0,0,1,1
23.8,35.0,209.0,1,0,0,0,1,0,1
20.5,89.0,304.0,0,0,1,1,1,0,2
11.0,36.0,105.0,1,1,0,1,0,0,0
12.0,73.0,213.0,0,0,0,1,1,1,1
31.8,65.0,310.0,1,0,0,1,0,1,2
13.5,58.0,349.0,1,0,1,0,0,1,1
10.9,78.0,164.0,1,0,0,1,1,1,1
32.7,60.0,152.0,0,1,0,1,0,0,2
25.0,48.0,120.0,1,0,1,1,1,1,1
17.0,84.0,51.0,1,1,0,0,0,1,1
30.6,40.0,222.0,1,1,1,0,1,1,2
21.1,89.0,337.0,0,1,0,0,0,1,2
25.6,72.0,57.0,0,1,0,0,0,0,1
20.5,65.0,191.0,0,1,1,1,0,1,0
16.9,47.0,299.0,0,0,0,1,1,1,1
32.1,80.0,247.0,1,0,0,0,0,1,2
28.6,65.0,41.0,0,1,1,0,1,0,1
21.4,52.0,156.0,0,1,1,0,1,0,0
12.7,86.0,294.0,0,0,0,0,1,0,2
32.6,45.0,53.0,0,1,1,0,0,1,1
23.0,65.0,38.0,0,1,0,1,0,0,0
19.7,66.0,128.0,1,1,1,0,0,1,0
24.3,79.0,114.0,0,1,0,0,0,1,1
11.4,75.0,94.0,0,0,1,1,1,1,0
26.4,70.0,295.0,0,0,1,0,0,0,2
10.8,85.0,199.0,1,0,0,1,0,1,1
28.9,88.0,256.0,1,0,1,0,0,0,2
29.8,50.0,149.0,0,0,0,0,1,0,1
20.6,44.0,264.0,1,0,1,0,0,0,1
23.1,40.0,26.0,1,1,1,0,1,1,0
16.4,38.0,281.0,0,0,0,1,0,1,1
14.2,46.0,55.0,0,1,0,1,0,0,0
17.8,60.0,295.0,0,1,0,0,0,0,1
26.8,56.0,345.0,0,1,1,0,1,1,2
30.6,84.0,52.0,1,0,1,1,0,1,2
15.4,50.0,39.0,1,1,0,0,0,1,0
20.0,34.0,218.0,0,0,0,0,1,0,0
13.1,90.0,333.0,1,1,1,0,1,1,2
20.9,83.0,301.0,0,1,1,0,0,0,2
16.8,30.0,234.0,1,0,1,0,0,0,0
20.5,51.0,327.0,0,1,1,0,0,0,1
16.5,70.0,153.0,0,1,0,0,1,1,0
34.7,80.0,183.0,0,1,1,1,1,0,2
23.8,60.0,38.0,1,1,1,1,0,0,0
10.2,69.0,335.0,0,1,0,1,1,1,1
10.7,58.0,281.0,1,0,1,1,1,0,1
25.2,31.0,192.0,1,0,1,1,0,1,1
17.9,58.0,129.0,0,1,1,0,1,1,0
16.3,79.0,80.0,0,1,1,0,1,0,1
15.3,51.0,362.0,1,0,1,1,0,1,1
10.5,35.0,110.0,0,1,1,0,1,0,0
14.4,40.0,73.0,0,0,0,1,0,1,0
34.3,39.0,121.0,1,1,0,0,1,1,2
11.3,40.0,148.0,1,1,1,0,1,0,0
13.8,53.0,268.0,1,0,0,0,0,1,1
32.2,53.0,278.0,1,0,0,1,0,1,2
22.0,69.0,70.0,1,1,1,0,0,1,0
18.5,37.0,343.0,0,0,1,0,1,0,1
16.5,45.0,26.0,0,0,1,0,1,1,0
31.5,47.0,55.0,1,1,0,1,1,1,1
11.1,70.0,85.0,0,0,1,1,1,1,0
21.2,54.0,146.0,0,1,1,1,1,1,0
16.9,46.0,325.0,1,1,1,0,0,1,1
26.5,52.0,129.0,1,1,0,1,1,0,1
22.8,82.0,37.0,1,0,0,0,1,0,1
26.6,55.0,161.0,1,0,0,1,1,1,1
12.1,56.0,4.0,1,1,1,1,1,0,0
32.2,51.0,93.0,0,1,0,1,1,0,1
17.8,56.0,126.0,0,1,0,0,1,0,0
34.3,68.0,349.0,0,1,1,1,1,0,2
11.8,85.0,32.0,1,0,1,1,1,0,1
31.9,57.0,84.0,0,1,0,0,0,1,1
33.3,83.0,255.0,1,1,1,1,1,1,3
15.0,38.0,240.0,0,1,0,1,0,0,0
31.4,39.0,115.0,0,1,0,1,1,1,1
23.8,52.0,56.0,1,0,1,1,1,1,0
23.7,40.0,292.0,0,0,1,0,0,0,1
28.5,45.0,73.0,1,0,0,1,1,1,1
24.3,42.0,214.0,1,1,1,0,1,1,1
19.7,35.0,295.0,1,0,0,1,1,1,1
22.5,51.0,130.0,1,0,0,1,1,0,0
33.2,79.0,159.0,0,0,1,1,0,0,2
20.7,56.0,231.0,0,0,0,0,0,1,0
21.8,64.0,54.0,1,0,1,1,0,0,0
31.5,87.0,103.0,0,1,1,0,0,1,2
29.5,89.0,105.0,0,0,0,1,0,1,2
17.2,89.0,9.0,0,1,0,1,0,0,1
17.6,41.0,124.0,1,1,1,0,0,1,0
29.6,58.0,207.0,0,1,1,0,1,1,1
24.3,47.0,105.0,0,1,0,1,0,0,0
33.6,39.0,343.0,1,0,0,0,1,1,2
15.1,79.0,308.0,0,1,1,1,0,0,1
15.9,78.0,279.0,0,0,0,0,1,0,1
19.3,50.0,280.0,0,0,0,1,0,1,1
21.1,55.0,37.0,1,0,0,1,1,1,0
21.4,87.0,314.0,1,1,0,0,0,0,2
17.9,46.0,196.0,1,1,1,1,1,1,0
20.6,82.0,93.0,1,0,0,0,1,1,1
33.5,68.0,13.0,0,0,0,1,1,0,2
11.6,63.0,280.0,1,0,0,1,1,1,1
27.0,36.0,263.0,1,0,1,1,1,0,1
24.9,67.0,142.0,0,1,1,1,1,0,1
23.6,86.0,267.0,0,1,1,0,1,0,2
27.4,79.0,129.0,1,1,0,1,1,1,1
19.4,46.0,279.0,0,0,0,0,1,0,1
22.1,49.0,39.0,1,0,0,1,1,1,0
18.8,77.0,346.0,0,1,0,1,0,0,1
23.0,76.0,101.0,1,1,0,1,0,1,1
23.8,54.0,45.0,0,1,0,0,1,0,0
30.2,33.0,359.0,1,1,1,0,1,1,2
17.0,83.0,265.0,1,0,0,0,0,0,1
11.6,72.0,139.0,1,1,1,0,0,1,0
29.4,38.0,106.0,0,1,0,0,1,0,1
24.2,45.0,93.0,1,0,1,1,1,0,0
13.6,62.0,66.0,1,1,1,1,0,1,0
24.5,47.0,116.0,0,1,0,0,0,0,0
26.2,33.0,71.0,1,1,1,0,0,1,1
21.7,45.0,239.0,1,0,1,1,1,0,1
17.1,55.0,316.0,1,1,0,1,1,0,1
27.8,70.0,79.0,1,0,1,1,1,1,1
33.9,50.0,337.0,0,1,1,0,0,0,2
32.7,69.0,246.0,0,1,0,1,1,1,2
19.9,68.0,108.0,1,0,1,1,1,0,0
22.0,37.0,315.0,1,1,1,0,1,0,1
19.2,76.0,220.0,0,0,0,1,0,0,1
12.1,84.0,232.0,1,0,1,1,0,0,1
19.1,39.0,267.0,0,0,0,1,0,1,1
28.7,77.0,81.0,0,1,1,0,0,1,1
22.1,48.0,144.0,0,1,0,1,1,1,0
26.8,89.0,47.0,1,1,1,0,1,0,2
19.1,49.0,304.0,1,0,0,0,1,0,1
24.3,82.0,69.0,0,0,0,1,0,1,1
29.8,32.0,24.0,0,1,1,1,0,1,1
20.4,34.0,201.0,0,1,0,0,1,1,0
25.5,31.0,225.0,1,0,0,0,0,1,1
16.7,71.0,202.0,0,1,0,0,0,1,1
23.5,89.0,65.0,1,0,0,1,1,0,1
14.7,71.0,43.0,1,0,0,0,0,1,0
34.1,32.0,241.0,1,0,1,1,1,0,2
28.5,69.0,275.0,0,1,0,0,1,0,2
24.3,83.0,315.0,0,1,1,1,0,1,2
32.6,74.0,165.0,1,0,0,1,1,1,2
20.4,67.0,359.0,0,1,0,1,0,0,1
25.7,42.0,141.0,0,1,0,1,1,1,1
21.6,87.0,291.0,1,1,0,0,0,1,2
26.3,81.0,25.0,0,1,0,0,0,1,1
32.8,35.0,347.0,0,1,1,1,0,1,2
33.7,90.0,353.0,1,1,0,1,1,0,3
16.6,70.0,270.0,0,1,0,1,0,1,1
13.7,35.0,326.0,0,0,1,1,0,1,1
20.5,82.0,157.0,1,0,0,0,1,1,1
29.6,66.0,302.0,1,1,0,0,1,0,2
29.9,35.0,303.0,0,1,0,0,1,0,2
25.3,30.0,105.0,0,1,0,1,0,1,1
12.7,48.0,278.0,1,1,0,0,1,1,1
17.9,62.0,338.0,0,0,0,1,1,0,1
21.4,49.0,257.0,0,1,1,0,0,1,1
27.4,85.0,132.0,1,1,0,1,1,1,2
30.4,75.0,18.0,1,0,1,0,0,1,2
29.5,90.0,364.0,1,0,1,1,0,1,3
22.2,83.0,184.0,0,1,0,0,0,1,1
12.1,52.0,328.0,1,1,0,1,0,1,1
12.3,78.0,250.0,1,1,0,0,0,1,1
34.1,52.0,190.0,1,1,1,1,0,0,2
24.7,59.0,267.0,1,1,1,1,0,0,1
22.7,51.0,16.0,0,0,0,1,0,1,0
20.1,62.0,39.0,1,0,1,0,1,0,0
19.3,33.0,342.0,0,0,1,0,0,0,1
28.3,63.0,339.0,1,0,1,1,0,0,2
16.0,39.0,270.0,0,1,1,1,0,0,1
19.6,52.0,47.0,0,0,1,0,0,0,0
27.2,60.0,119.0,1,1,0,1,0,1,1
27.1,64.0,184.0,1,0,0,1,1,0,1
34.6,45.0,96.0,0,1,1,0,1,1,2
34.8,33.0,218.0,0,0,1,0,1,1,2
15.1,41.0,133.0,1,0,0,0,1,0,0
32.4,74.0,332.0,1,1,0,1,0,1,2
32.4,43.0,312.0,0,1,1,0,0,0,2
20.7,52.0,317.0,0,1,1,1,1,0,1
11.7,62.0,317.0,1,1,0,0,1,0,1
17.0,37.0,296.0,0,0,1,0,0,1,1
18.9,42.0,73.0,0,0,1,0,1,0,0
15.8,63.0,232.0,0,0,0,1,0,0,1
32.2,44.0,61.0,0,1,1,1,1,0,1
25.3,55.0,238.0,1,0,1,1,1,0,1
32.9,69.0,360.0,0,0,0,0,1,0,2
28.5,54.0,186.0,1,1,0,0,0,0,1
31.3,42.0,296.0,1,0,0,0,1,1,2
13.9,36.0,361.0,0,0,1,1,1,1,1
34.1,84.0,228.0,1,0,0,1,1,0,3
11.5,51.0,324.0,0,0,0,0,0,1,1
18.2,76.0,338.0,1,0,0,0,0,1,1
10.1,42.0,179.0,1,0,0,0,1,1,0
12.5,71.0,282.0,0,0,1,1,1,1,1
24.3,88.0,99.0,0,1,1,1,1,0,1
13.0,61.0,4.0,1,0,1,1,0,0,0
17.9,52.0,226.0,1,1,0,0,1,1,0
19.3,43.0,284.0,1,1,1,0,1,0,1
27.1,84.0,251.0,0,0,0,1,1,0,2
33.3,75.0,50.0,0,1,1,1,1,1,2
20.3,44.0,274.0,1,1,0,1,0,1,1
22.6,51.0,266.0,1,1,1,0,1,1,1
21.3,82.0,244.0,1,1,1,0,1,1,1
32.9,65.0,355.0,0,1,0,0,1,1,2
25.6,83.0,77.0,0,1,0,1,1,1,1
24.4,64.0,276.0,1,0,0,1,1,0,1
27.9,32.0,38.0,0,1,1,0,0,1,1
12.8,54.0,122.0,0,0,0,1,0,0,0
23.1,57.0,316.0,0,1,0,1,1,1,1
12.4,35.0,255.0,0,1,0,1,0,0,1
21.4,34.0,153.0,0,0,0,1,1,0,0
18.2,71.0,251.0,0,0,1,0,1,1,1
31.2,63.0,179.0,0,1,0,1,0,0,2
15.8,35.0,64.0,1,1,0,0,1,0,0
21.8,55.0,245.0,0,1,0,1,1,0,1
14.8,86.0,163.0,1,0,1,0,1,1,1
28.4,61.0,241.0,1,0,0,0,0,1,1
34.5,62.0,31.0,0,0,0,1,1,0,2
10.4,87.0,183.0,0,1,0,0,0,1,1
11.6,65.0,172.0,1,1,0,1,0,1,0
11.2,60.0,87.0,0,0,0,0,0,0,0
14.9,90.0,224.0,0,1,1,1,0,0,1
21.1,82.0,33.0,1,1,1,0,1,0,1
20.1,77.0,238.0,1,1,0,0,0,1,1
13.8,48.0,105.0,0,1,1,0,1,0,0
27.2,62.0,141.0,1,0,1,1,0,0,1
26.4,69.0,350.0,1,0,0,0,0,1,2
33.0,76.0,4.0,1,1,1,0,1,0,2
14.6,42.0,178.0,1,1,1,0,1,1,0
24.2,44.0,55.0,1,0,1,0,1,1,0
25.1,37.0,219.0,0,0,0,0,0,0,1
12.1,67.0,357.0,0,1,0,0,1,1,1
28.7,77.0,290.0,1,1,0,0,0,0,2
26.5,60.0,328.0,1,0,0,1,1,0,1
26.7,70.0,333.0,0,1,0,0,1,0,2
30.4,49.0,338.0,1,0,0,0,1,1,2
23.4,58.0,280.0,1,1,0,0,0,1,1
29.2,83.0,52.0,0,0,1,1,0,0,2
34.9,70.0,338.0,0,1,1,1,1,0,3
11.2,31.0,112.0,0,0,1,1,0,1,0
20.6,76.0,94.0,0,1,0,1,0,1,1
24.9,71.0,363.0,1,1,1,1,1,0,2
18.3,52.0,349.0,0,0,1,0,0,0,1
15.3,67.0,65.0,0,0,1,0,0,1,0
24.8,57.0,355.0,0,1,1,0,1,1,1
15.6,88.0,310.0,1,1,0,1,1,0,2
13.6,40.0,245.0,0,1,1,0,1,1,0
27.8,88.0,90.0,1,1,0,1,0,0,2
13.0,38.0,178.0,1,1,0,1,0,0,0
17.6,45.0,20.0,1,0,1,1,0,1,0
12.4,38.0,190.0,1,1,0,0,1,1,0
21.0,40.0,31.0,1,1,1,0,1,1,0
21.8,33.0,281.0,1,0,0,0,0,1,1
14.7,81.0,18.0,1,1,1,0,0,0,1
14.8,55.0,237.0,1,1,0,0,0,0,0
11.0,61.0,196.0,0,0,0,1,1,1,0
24.4,30.0,328.0,1,0,0,1,0,1,1
13.6,81.0,180.0,1,1,1,1,0,1,1
27.3,67.0,198.0,0,1,1,0,0,0,1
30.7,80.0,344.0,0,0,1,0,1,1,2
24.4,48.0,240.0,1,1,1,1,0,1,1
33.6,68.0,29.0,1,1,1,0,0,1,2
19.1,40.0,82.0,1,0,1,0,0,1,0
14.2,34.0,62.0,0,1,1,0,0,0,0
13.5,79.0,25.0,0,1,0,0,0,1,1
24.9,83.0,275.0,0,0,1,0,1,0,2
15.1,43.0,141.0,0,0,1,0,1,1,0
12.1,67.0,241.0,0,1,1,1,0,1,1
29.1,46.0,229.0,0,1,1,0,1,0,1
15.1,82.0,326.0,0,0,0,1,1,0,1
12.4,53.0,147.0,0,0,1,0,0,0,0
33.5,60.0,299.0,1,1,1,1,1,0,2
24.0,85.0,216.0,1,1,0,1,1,0,2
