fornecedor_auditado,laudo_residuos_agrotoxicos,temperatura_recebimento_c,tempo_desde_coleta_h,integridade_containers,sujeira_visivel_externa,umidade_lote_pct,documentacao_lote_ok,transporte_segregado_de_quimicos,lacre_viagem_integro,lote_identificado,probabilidade
0,1,25.3,37.0,0,1,21.8,0,0,0,0,2
1,1,10.4,55.8,1,1,17.0,1,0,1,0,1
1,0,33.2,20.8,1,0,23.5,0,0,1,1,2
0,1,16.6,43.3,0,1,20.7,1,1,1,1,2
0,1,11.0,62.6,1,1,18.7,1,1,0,0,1
0,1,12.7,24.3,0,0,19.2,0,0,0,0,1
0,1,16.0,35.8,1,0,21.8,1,0,1,1,2
0,1,16.8,68.6,1,0,19.0,1,0,0,0,1
1,1,10.8,57.9,1,0,20.6,1,0,0,0,2
1,1,17.0,64.1,1,1,21.7,0,0,0,1,2
0,1,14.8,29.0,0,0,17.6,0,1,1,1,0
1,1,19.5,71.8,0,0,23.6,1,0,0,0,2
1,0,19.6,12.7,0,0,18.8,1,0,1,1,0
0,0,18.5,38.3,1,0,19.4,0,1,0,1,1
1,1,18.2,35.5,0,0,21.6,0,0,1,1,2
1,0,12.2,57.9,1,0,20.9,0,0,0,1,2
1,0,10.6,65.6,0,0,19.5,1,0,0,0,1
1,1,15.1,53.2,1,0,21.2,1,0,0,0,2
1,1,28.9,45.9,1,1,23.2,1,0,0,0,3
0,1,34.8,31.9,0,1,22.4,0,0,1,0,3
1,0,33.2,37.7,0,1,22.6,0,1,0,1,3
1,0,22.6,37.7,1,1,18.1,0,1,1,1,1
0,1,23.3,3.4,0,1,19.4,1,0,1,1,0
1,1,17.9,37.2,0,0,20.4,0,0,0,0,1
0,0,29.3,61.9,0,0,16.4,0,0,0,0,2
0,1,29.1,51.6,1,0,22.2,0,1,1,0,3
0,0,31.1,57.7,0,1,18.6,0,0,1,1,2
1,1,32.4,29.3,0,0,18.3,1,1,1,0,1
0,1,20.9,39.0,1,1,18.1,1,1,1,1,1
0,1,29.2,4.3,0,1,18.3,1,0,1,1,0
0,1,30.2,28.8,0,0,18.7,1,0,0,0,1
1,0,17.7,35.2,0,1,20.8,0,0,1,1,1
1,0,33.2,19.9,0,0,20.7,0,1,0,1,2
0,0,12.4,4.2,0,0,18.0,0,0,1,1,0
0,1,34.9,50.3,0,1,17.7,1,0,0,0,2
1,1,29.3,32.5,0,0,22.6,1,1,0,0,2
0,1,12.3,31.1,1,1,16.7,0,1,1,0,1
1,0,26.4,19.5,0,0,20.1,1,0,1,1,1
0,0,10.9,39.6,1,0,20.2,1,0,1,1,1
1,1,29.3,32.7,1,1,20.6,0,1,1,0,2
0,1,30.0,35.2,1,0,23.1,1,0,0,0,2
0,1,25.1,42.7,1,0,21.0,1,1,0,1,2
1,0,31.4,2.4,0,1,23.8,0,1,1,1,2
0,0,12.4,65.5,1,0,23.0,0,0,0,1,2
1,1,16.9,7.0,0,0,17.7,1,0,0,1,0
1,1,20.4,33.6,0,0,17.9,1,1,1,1,1
1,0,11.1,16.5,1,1,18.8,1,1,0,1,0
1,1,21.2,38.7,0,1,19.1,0,0,0,1,1
1,0,16.6,21.6,0,1,20.4,1,1,1,0,1
0,0,19.8,62.2,0,0,17.9,1,1,0,0,1
0,1,20.6,29.7,0,1,17.8,0,1,1,0,0
0,1,32.0,46.7,0,0,19.1,1,1,0,1,2
1,1,16.8,19.4,1,1,21.4,0,0,0,0,1
0,0,32.3,3.4,1,1,21.5,0,1,0,1,2
0,1,20.6,30.3,0,0,23.8,1,1,1,1,2
0,1,18.2,39.6,1,1,17.6,0,0,1,0,1
0,1,22.6,34.2,0,1,19.1,1,0,1,0,1
0,0,20.4,69.3,1,1,23.7,1,1,0,0,2
0,1,16.4,51.5,1,1,21.5,1,1,1,1,2
1,1,22.6,71.7,1,0,20.7,1,0,0,0,2
1,1,13.8,22.7,0,1,20.3,1,1,1,0,1
1,0,18.8,57.2,0,0,16.6,1,1,1,0,1
0,1,24.1,40.9,0,0,23.1,1,1,0,0,2
1,0,20.3,44.8,1,0,21.0,1,1,0,1,2
0,0,30.6,71.0,0,0,20.6,0,1,0,1,2
1,1,16.4,47.8,0,1,20.3,0,0,1,0,2
1,0,34.2,64.9,1,0,19.1,0,1,1,1,2
1,1,29.6,52.8,1,0,18.0,1,1,0,1,2
0,0,34.2,10.9,0,0,22.0,1,1,1,0,2
0,1,31.0,51.0,0,1,20.1,1,1,1,0,2
1,1,13.6,35.9,0,1,16.3,0,0,0,1,1
0,1,23.2,66.3,0,1,19.2,0,1,1,1,1
0,0,14.2,58.5,1,1,23.4,0,1,0,0,2
0,0,30.5,9.3,0,0,19.0,1,1,0,0,1
0,0,24.6,11.4,1,1,19.3,1,0,0,1,0
0,0,16.6,6.9,0,1,21.0,0,0,0,1,1
0,1,33.2,36.5,1,1,22.4,1,0,0,0,3
1,0,12.9,7.7,1,0,21.3,0,1,0,0,1
1,0,24.1,52.7,0,0,22.8,1,1,0,1,2
1,0,28.0,40.7,0,1,16.9,1,0,1,0,1
0,0,11.5,60.5,0,0,23.4,0,0,0,0,2
1,1,24.9,21.6,0,0,23.2,1,1,1,1,2
0,1,30.4,38.3,1,0,20.2,1,1,0,0,2
0,0,11.7,10.2,0,0,21.0,1,1,0,1,1
0,1,22.8,63.9,1,0,17.7,0,0,1,1,1
0,1,16.5,14.3,0,1,19.6,0,1,0,0,0
1,0,26.6,9.2,0,0,17.6,0,0,1,0,0
0,0,13.0,16.4,1,1,16.2,0,1,1,1,0
1,0,33.4,58.4,1,0,23.8,1,1,0,0,3
0,0,32.4,9.4,1,1,18.1,1,1,1,1,1
1,0,14.6,45.0,0,0,20.7,1,0,0,0,2
0,0,18.1,54.2,1,1,18.4,0,1,1,1,1
0,1,24.7,54.6,1,1,19.0,1,1,0,0,1
1,0,28.0,15.3,0,1,19.2,1,1,0,0,1
1,1,21.1,6.3,1,0,18.7,1,1,1,1,0
0,0,13.9,33.4,1,1,21.1,1,1,0,0,1
1,0,12.6,16.2,0,0,23.7,1,1,1,0,2
0,1,35.0,50.9,1,0,19.4,0,0,1,1,2
1,1,21.4,27.0,1,0,23.8,0,0,1,1,2
1,1,31.8,33.5,0,1,21.3,1,0,0,0,2
0,0,22.1,9.9,1,1,20.9,0,1,1,1,1
1,0,33.1,41.7,0,1,17.9,0,0,0,0,2
0,0,12.2,15.0,0,1,16.5,1,0,0,0,0
0,0,12.9,49.5,0,0,22.8,0,1,0,0,2
0,1,33.2,7.0,0,0,20.6,1,0,0,1,2
0,0,33.7,70.3,1,0,19.3,0,0,0,1,2
1,0,17.9,49.9,1,0,22.5,0,0,0,0,2
0,1,18.9,14.7,1,1,18.5,0,0,1,1,0
0,0,21.3,3.0,0,1,22.3,0,0,0,0,1
1,0,20.4,25.4,1,1,18.6,0,1,0,0,0
0,0,14.8,12.7,0,1,23.4,0,1,0,0,1
1,0,32.5,17.3,0,1,18.1,1,1,1,1,1
0,1,16.3,63.1,0,1,17.1,0,0,1,0,1
1,1,27.6,44.2,0,0,21.6,0,1,0,1,2
1,1,11.7,14.4,1,1,17.3,1,0,0,0,0
1,0,11.0,41.0,1,1,23.6,0,0,1,1,2
0,1,26.3,19.9,0,1,21.2,0,1,1,0,1
0,1,18.5,70.3,0,1,17.8,0,0,1,0,1
1,0,26.4,4.3,1,1,17.7,0,0,0,1,0
0,1,12.4,53.3,0,1,23.4,1,0,0,1,2
1,0,33.7,56.1,0,0,20.9,1,0,0,1,3
0,1,28.7,6.7,1,0,23.1,0,1,0,0,2
1,1,31.9,14.0,0,1,16.9,1,0,1,1,1
1,0,13.4,28.9,1,1,23.4,0,0,1,0,2
0,0,18.0,62.8,1,0,20.2,0,0,0,1,2
0,0,19.2,39.6,0,0,21.3,0,1,1,1,2
1,1,23.4,47.9,0,1,19.0,0,1,0,1,1
0,0,17.4,56.8,0,1,16.5,0,1,1,1,1
1,1,11.5,60.0,0,0,23.7,0,1,0,0,2
0,0,19.2,35.3,1,1,24.0,1,0,1,0,2
1,0,16.4,37.6,0,0,18.9,0,1,1,1,1
1,1,19.6,52.3,0,0,23.6,0,0,0,0,2
0,1,14.9,20.4,1,1,17.3,0,1,0,0,0
1,1,16.5,61.8,0,1,17.2,0,1,1,1,1
0,0,25.7,3.5,0,1,16.6,0,0,1,1,0
1,0,19.7,15.7,1,0,19.1,0,0,0,1,0
0,0,18.6,58.0,0,0,16.4,0,1,1,1,1
0,1,23.3,25.8,0,1,19.2,0,0,0,1,1
0,1,29.3,12.5,0,1,17.1,0,0,1,0,0
0,0,19.5,15.1,1,1,21.8,0,0,1,1,1
0,1,24.7,39.2,0,0,22.7,0,0,0,1,2
1,0,34.2,61.2,1,1,21.5,0,0,0,1,3
0,1,23.0,6.9,0,0,17.6,1,0,1,1,0
1,1,32.7,4.1,1,1,22.1,1,0,1,0,2
0,1,29.8,34.6,1,1,18.0,0,0,0,1,1
0,0,11.5,68.9,0,0,22.1,0,1,1,1,2
1,1,20.7,21.5,0,0,20.5,0,1,1,0,1
1,0,27.5,69.1,0,1,18.9,1,1,0,1,2
0,1,34.7,64.1,0,0,16.7,1,0,1,1,2
0,0,21.5,21.8,0,0,22.6,1,0,0,0,2
1,1,12.3,59.2,1,1,23.5,0,0,0,1,2
1,0,24.1,50.0,0,1,21.3,0,1,0,0,2
1,0,13.2,37.8,1,0,23.7,0,0,0,0,2
0,1,28.8,31.6,0,1,23.5,1,0,0,1,2
0,1,22.7,59.1,0,0,17.6,1,1,1,1,1
1,0,28.1,57.5,0,0,21.8,0,0,0,0,2
1,1,31.7,55.0,0,0,18.8,1,1,1,0,2
0,0,25.7,71.9,1,0,19.9,0,0,0,1,2
0,0,25.3,35.5,0,1,17.3,0,1,1,1,1
0,0,28.9,58.5,0,1,23.8,0,1,1,0,3
1,0,31.1,62.4,1,0,21.8,1,1,0,0,3
0,0,31.7,16.8,1,0,18.1,0,1,0,0,1
0,0,10.9,4.9,0,0,19.0,1,1,1,0,0
0,0,23.9,30.3,1,0,19.4,1,0,0,0,1
1,0,15.4,62.0,0,1,22.0,0,0,1,0,2
0,0,31.5,22.2,0,1,23.4,1,0,1,1,2
0,1,26.2,51.0,0,0,18.6,0,0,1,1,1
0,1,20.5,2.5,1,1,19.8,1,1,0,0,0
0,0,14.7,26.9,0,0,20.7,0,0,0,1,1
1,0,18.5,45.1,1,0,19.1,0,0,1,1,1
0,1,27.6,11.1,0,1,20.0,1,0,1,0,1
0,1,15.1,64.8,1,0,16.8,1,0,1,1,1
1,1,12.3,12.9,0,1,17.3,0,1,1,0,0
0,1,32.2,65.7,0,0,19.2,1,0,0,1,2
1,1,29.1,17.1,1,0,23.3,0,0,0,1,2
1,1,15.0,71.6,0,1,18.8,1,1,1,1,1
0,0,17.3,44.3,1,1,18.0,1,0,0,0,1
1,0,34.3,7.9,1,1,21.9,0,0,1,1,2
0,0,27.7,6.6,1,1,23.6,1,1,0,0,2
1,0,25.3,7.2,0,0,19.7,1,1,0,0,0
0,1,17.7,43.3,1,0,16.1,0,0,0,1,1
1,1,17.5,58.7,1,0,21.5,0,1,1,0,2
1,1,11.0,30.2,0,1,19.3,0,0,1,0,1
1,0,28.2,33.1,1,0,21.4,0,0,1,1,2
0,0,11.1,43.3,1,1,18.2,0,0,0,1,1
0,0,10.1,39.3,1,0,16.0,1,1,0,0,1
0,1,28.2,50.2,1,1,18.8,1,1,1,0,2
0,0,33.7,35.0,1,0,21.6,0,1,1,0,2
1,0,28.9,52.0,1,1,19.1,0,0,0,1,2
0,1,21.8,71.8,0,0,17.8,1,0,0,0,1
1,1,22.2,26.5,1,1,19.7,1,0,1,1,1
1,1,20.9,2.9,0,0,22.0,0,0,0,0,1
0,0,18.1,10.8,0,1,17.0,0,0,1,0,0
0,0,23.0,40.7,1,1,21.5,0,1,0,0,2
1,0,20.8,26.1,0,1,21.3,0,1,1,1,1
0,0,25.0,67.8,1,1,19.0,0,1,1,0,1
0,1,32.5,45.9,0,1,23.8,0,0,1,1,3
1,0,34.9,38.4,0,0,23.2,0,0,1,0,3
1,0,12.0,57.9,0,1,18.5,0,0,0,1,1
0,1,19.6,20.1,1,0,16.2,0,1,0,0,0
0,0,14.5,59.4,0,1,18.5,0,1,1,0,1
0,0,18.8,2.2,1,1,17.6,0,0,0,0,0
1,0,17.2,45.4,0,1,20.4,1,1,1,0,2
1,0,14.4,67.4,0,0,23.3,0,1,1,0,2
1,0,29.1,57.2,0,0,23.0,0,0,0,1,3
1,1,22.4,61.8,0,0,18.4,1,0,0,1,1
1,1,33.0,29.8,1,0,19.4,1,0,1,0,2
0,0,10.8,59.7,0,1,16.3,0,1,0,0,1
0,0,11.7,40.6,1,1,20.4,0,0,0,0,1
1,0,20.1,45.3,0,0,16.5,0,0,0,1,1
1,1,12.0,6.1,1,0,23.5,1,1,1,0,1
1,1,16.6,16.1,1,0,22.9,0,0,1,0,1
0,1,34.7,40.6,0,1,17.7,0,0,0,1,2
0,0,15.2,6.1,0,0,21.6,1,1,1,0,1
0,0,15.0,53.9,1,1,20.5,1,1,1,0,2
0,0,24.3,60.8,0,0,22.4,0,1,0,0,2
1,0,22.4,66.4,1,1,19.8,0,1,0,0,2
1,0,24.5,9.1,1,0,17.5,1,1,0,0,0
0,1,19.4,67.8,1,0,21.1,1,1,0,1,2
0,0,30.7,6.7,1,0,16.6,1,1,0,1,1
1,1,13.5,35.2,1,1,20.7,1,0,0,0,1
0,1,20.7,60.8,1,1,17.7,0,0,1,1,1
1,1,27.2,6.9,0,0,21.5,1,1,1,0,1
1,0,31.7,3.3,1,0,22.6,1,0,1,0,2
0,1,19.2,3.7,0,1,16.9,1,1,0,0,0
0,0,24.2,37.8,0,0,19.2,0,0,0,1,1
1,0,11.7,58.8,1,0,21.9,0,1,1,0,2
1,0,14.3,10.9,1,0,17.3,0,1,0,1,0
0,0,11.7,10.7,1,1,20.5,1,0,1,1,1
1,1,28.2,41.8,0,0,21.4,1,0,1,0,2
1,1,17.2,18.4,0,1,18.8,0,1,1,0,0
1,1,28.1,53.1,1,0,22.7,1,1,0,0,3
0,0,11.7,68.5,0,1,20.1,1,1,0,1,2
1,0,31.6,55.6,1,0,21.0,1,1,0,0,2
1,1,30.9,63.4,0,1,17.1,0,1,1,0,2
0,0,12.2,38.4,1,1,16.2,0,1,0,1,1
0,1,10.6,60.3,0,0,16.4,0,1,1,0,1
1,1,11.4,14.8,0,0,23.2,1,0,1,0,1
0,1,31.3,6.8,1,0,23.1,1,1,0,0,2
0,1,15.9,47.9,1,0,22.5,0,1,0,0,2
0,0,23.7,5.6,1,0,17.6,0,0,0,1,0
1,0,20.7,64.5,1,1,20.2,1,1,0,1,2
1,0,29.9,50.4,0,1,22.4,1,1,1,0,3
0,0,22.2,68.7,1,1,21.4,0,0,1,0,2
1,0,22.5,24.0,0,1,16.9,0,1,0,0,0
0,1,34.7,36.0,1,1,23.2,1,1,1,1,3
1,0,13.8,53.9,0,0,17.3,1,1,0,1,1
1,1,30.8,19.0,0,0,17.4,1,0,0,1,1
1,1,11.3,39.9,0,0,23.2,1,0,0,0,2
0,1,21.9,48.2,1,1,19.9,0,1,0,0,2
1,0,32.2,70.5,1,0,19.0,1,0,1,1,2
0,1,26.6,54.1,0,0,20.4,1,0,1,0,2
1,0,27.1,10.3,1,1,23.9,0,1,1,0,2
0,0,16.6,35.3,1,0,17.0,0,0,0,1,1
0,0,20.5,43.2,1,0,22.1,0,1,1,0,2
0,0,19.2,12.3,1,0,18.7,0,1,1,0,0
1,0,23.0,32.2,0,0,16.9,0,0,1,1,1
0,0,21.6,21.9,0,0,19.4,1,0,1,0,1
1,1,18.2,10.3,1,0,20.4,0,0,0,0,1
0,0,17.6,37.8,0,1,17.6,1,0,0,1,1
0,0,16.3,13.6,1,0,19.2,1,1,0,0,0
1,1,19.1,43.3,0,1,21.1,1,0,0,1,2
0,1,13.7,13.9,0,0,20.6,0,1,0,0,1
1,1,31.8,52.7,1,0,21.8,0,1,0,1,3
1,0,25.1,15.7,1,0,22.7,0,0,0,0,1
0,1,13.3,64.7,1,1,19.3,1,1,0,1,1
0,1,27.3,3.8,1,1,19.4,0,0,0,1,1
0,0,31.2,38.5,0,0,20.0,0,0,0,1,2
1,0,15.9,24.4,1,1,20.5,1,0,1,0,1
1,1,13.8,17.8,0,0,16.9,1,1,0,0,0
0,0,10.2,35.0,0,0,18.5,0,0,0,1,1
0,0,11.2,60.9,1,1,17.4,1,1,1,1,1
0,1,29.1,66.1,0,1,19.1,0,1,0,0,2
0,1,34.7,23.2,1,0,23.8,0,0,1,0,3
1,1,11.1,12.8,0,0,20.7,0,1,0,0,1
1,1,28.7,52.4,1,0,19.4,1,0,0,1,2
0,1,11.8,42.7,0,1,20.5,0,1,0,0,2
1,0,24.8,16.1,0,0,21.4,0,0,0,1,1
0,0,28.9,55.2,0,1,19.5,1,1,0,1,2
0,1,19.0,38.3,0,1,19.6,0,0,1,1,1
1,0,10.3,47.7,1,0,21.6,0,0,0,1,2
1,0,24.9,27.2,1,0,16.5,0,0,1,0,0
1,1,34.8,32.7,0,1,20.3,1,0,0,1,2
0,1,16.4,14.6,1,0,20.4,1,0,1,0,1
0,0,14.7,55.0,0,1,22.1,1,0,1,0,2
0,0,13.1,13.0,1,1,23.9,0,0,1,0,2
0,1,23.9,56.5,1,1,22.4,1,0,1,0,2
1,0,24.9,57.9,0,0,20.0,1,1,1,1,2
1,1,29.8,54.3,1,0,17.4,1,1,1,1,2
0,1,28.8,3.4,0,0,20.7,1,0,0,0,1
1,1,32.3,21.1,0,0,22.7,1,0,1,0,2
0,0,30.1,34.8,0,1,23.5,0,1,0,1,3
1,1,16.2,43.7,1,0,22.6,0,1,1,1,2
0,0,23.9,66.3,0,1,17.5,1,1,0,1,1
0,1,17.4,28.3,0,1,21.7,0,0,1,0,1
1,0,18.2,63.3,0,1,23.0,1,0,0,1,2
0,0,33.3,13.4,0,1,21.4,1,0,1,0,2
0,1,27.0,28.0,1,1,21.5,0,0,0,0,2
0,0,34.4,5.7,1,0,20.0,1,0,1,0,2
0,1,20.4,54.0,0,1,21.1,0,0,0,1,2
0,1,23.4,12.5,0,1,18.4,1,1,0,0,0
0,0,22.2,20.0,0,0,16.7,0,1,0,1,0
1,0,12.7,56.3,0,0,22.6,0,1,0,1,2
1,1,15.9,39.4,1,1,23.5,1,1,0,0,2
0,0,23.2,3.0,0,0,22.9,0,1,0,1,1
0,0,11.7,2.2,0,0,18.7,0,1,0,1,0
1,0,33.3,37.7,1,1,16.7,0,0,0,1,2
1,0,13.1,23.3,1,1,18.2,1,0,1,0,0
1,1,14.9,14.6,0,1,22.7,0,1,1,1,1
1,0,29.1,45.0,0,1,21.2,0,1,0,1,2
1,1,12.4,18.0,1,1,23.7,0,1,0,0,2
0,0,32.5,43.5,0,1,18.7,1,1,0,1,2
0,1,28.1,28.5,0,1,20.4,0,0,1,0,1
1,0,11.7,15.1,1,1,22.3,0,0,1,1,1
1,0,27.3,11.7,1,1,17.9,1,0,1,0,0
0,1,25.8,18.6,1,1,23.7,0,0,0,0,2
1,0,28.9,4.1,0,1,20.7,1,0,0,1,1
0,0,30.7,23.6,0,1,16.1,0,1,0,0,1
1,1,28.0,65.1,0,0,16.2,1,0,0,0,1
1,0,24.7,60.2,1,1,23.1,0,0,1,1,2
0,0,18.1,28.0,1,1,21.2,1,1,0,1,1
0,0,27.4,42.3,0,1,22.1,1,1,0,1,2
0,1,33.9,41.7,1,1,22.3,0,0,0,1,3
1,1,24.7,60.0,0,1,19.4,0,0,0,0,1
1,1,26.6,18.5,0,0,22.4,0,1,1,1,2
0,1,20.9,22.7,1,0,23.5,0,1,1,1,2
0,0,28.9,23.1,0,0,17.4,1,1,1,1,1
1,0,34.9,4.9,0,0,22.1,0,1,0,1,2
0,0,14.0,24.0,0,0,18.5,1,0,1,1,0
0,0,15.1,63.5,1,0,18.6,0,0,0,1,1
0,0,23.5,65.8,0,0,19.3,1,1,1,1,1
1,1,22.0,9.7,0,0,22.9,1,1,0,0,1
1,1,24.3,34.1,1,1,16.2,1,0,1,1,1
0,1,11.2,28.7,0,1,19.5,1,1,0,0,1
1,1,20.1,36.3,0,0,21.4,1,0,1,0,2
1,1,24.6,40.8,1,1,16.9,1,0,1,1,1
0,0,24.6,3.4,1,1,22.3,1,0,0,1,1
1,1,26.4,61.0,1,1,23.5,0,0,1,0,3
1,1,28.0,70.2,0,0,16.7,1,0,0,0,1
0,0,26.0,47.7,1,1,17.2,1,0,0,1,1
0,0,29.8,48.2,0,0,23.8,1,0,0,1,3
1,1,25.6,39.0,0,0,17.6,1,1,1,1,1
1,0,23.4,25.4,0,0,16.6,0,1,1,1,0
0,1,25.2,12.4,0,1,23.6,0,0,0,0,2
1,1,12.5,42.9,0,0,23.1,0,1,1,0,2
