"etapa","codigo","perigos","justificativa","probabilidade","severidade","risco","medidas preventivas","o perigo é significativo?"
"Esfola","B","Contaminação por microrganismos da pele do animal","A esfola inadequada pode transferir microrganismos da pele para a carcaça. O contato das mãos e facas com a parte externa e interna da pele é uma fonte de contaminação.","Alta","Alta","Alto","Controle rigoroso da técnica de esfola para evitar contato da parte externa da pele com a carcaça, uso de facas e luvas esterilizadas e treinamentos de pessoal.","Sim"
"Esfola","F","Não identificado","","","","","",""
"Evisceração","B","Contaminação cruzada por patógenos intestinais","A perfuração ou o corte do trato gastrointestinal durante a evisceração é uma fonte de contaminação com microrganismos patogênicos.","Alta","Alta","Alto","Treinamento de pessoal na técnica correta de evisceração, uso de facas esterilizadas, inspeção visual da carcaça e das vísceras, separação de ferramentas e pessoal para diferentes tarefas.","Sim"
"Evisceração","F","Objetos estranhos (plástico, borracha)","Fragmentos de luvas ou equipamentos podem cair na carcaça durante a evisceração.","Baixa","Média","Baixo","Uso de luvas e equipamentos de cores contrastantes, inspeção visual da carcaça, treinamento de pessoal.","Não"
"Evisceração","Q","Resíduos de antibióticos","Possível presença de resíduos de antibióticos nas vísceras, em caso de tratamento do animal.","Baixa","Alta","Médio","Verificação do tempo de carência do gado, controle de fornecedores, rastreabilidade.","Sim"
"Inspeção","Q","Não identificado","","","","","",""
"Inspeção","B","Não identificado","","","","","",""
"Inspeção","F","Não identificado","","","","","",""
"Divisão de carcaça","B","Contaminação por ferramentas","O uso de serras e facas contaminadas pode espalhar patógenos de áreas contaminadas para outras partes da carcaça.","Média","Alta","Alto","Esterilização e sanitização adequadas das serras e facas, troca ou higienização periódica de lâminas, treinamento e supervisão do pessoal.","Sim"
"Divisão de carcaça","F","Fragmentos de osso","Fragmentos de osso podem se soltar da carcaça durante o processo de serra e divisão, contaminando a carne.","Média","Média","Médio","Uso de serras e lâminas afiadas e em bom estado, treinamento para técnica correta de corte, limpeza da área.","Sim"
"Divisão de carcaça","Q","Contaminação por lubrificantes","Vazamento de óleo ou lubrificantes das serras e equipamentos de divisão da carcaça.","Baixa","Média","Baixo","Uso de lubrificantes de grau alimentício, manutenção preventiva dos equipamentos, inspeção visual regular.","Não"
"Lavagem da carcaça","F","Não identificado","","","","","",""
"Lavagem da carcaça","B","Contaminação por água não potável","O uso de água não potável pode introduzir patógenos na superfície da carcaça.","Média","Média","Médio","Utilização de água potável, cloração da água, monitoramento regular da qualidade da água.","Sim"
"Lavagem da carcaça","Q","Não identificado","","","","","",""
"Resfriamento","B","Não identificado","","","","","",""
"Resfriamento","F","Não identificado","","","","","",""
"Resfriamento","Q","Resíduos de produtos de limpeza","Contaminação por resíduos de produtos químicos de limpeza e sanitização das câmaras frias.","Baixa","Baixa","Baixo","Boas práticas de limpeza, enxágue adequado, inspeção pré-operacional das câmaras, treinamento de pessoal.","Não"
"Expedição e Transporte","Q","Contaminação por combustível ou óleos","Vazamento de combustível ou óleo dos veículos de transporte para o produto.","Baixa","Média","Baixo","Manutenção preventiva dos veículos, inspeção visual, segregação de produtos e materiais no veículo.","Não"
"Expedição e Transporte","B","Proliferação de microrganismos","Falha na manutenção da cadeia de frio durante o transporte pode permitir a multiplicação de microrganismos patogênicos e deteriorantes.","Média","Alta","Alto","Monitoramento da temperatura das unidades de transporte, registro das temperaturas, carregamento rápido do produto, manutenção preventiva dos veículos refrigerados.","Sim"
"Expedição e Transporte","F","Não identificado","","","","","",""
