malha_peneira_microns,integridade_peneira_sem_rasgos,frequencia_troca_peneira_h,higienizacao_peneira_pos_lote,contagem_residuos_retidos_pct,protecao_contra_poeira,separacao_fluxo,lote_identificado,probabilidade
1145.0,0,21.7,0,1.15,1,1,1,0
787.0,1,9.1,0,0.81,1,1,1,0
1141.0,0,16.3,1,4.31,0,0,1,3
268.0,0,18.9,0,4.41,1,1,0,0
1056.0,1,6.6,0,2.8,0,0,1,3
489.0,0,14.2,0,1.6,0,1,0,0
536.0,0,22.6,1,1.29,0,0,0,3
357.0,0,18.3,0,2.31,0,1,0,0
571.0,1,1.7,0,4.62,0,1,1,0
736.0,0,10.7,0,3.29,0,1,1,0
862.0,1,8.8,0,4.47,1,0,0,3
643.0,0,21.3,0,3.18,1,1,0,0
1163.0,1,11.0,1,1.12,0,0,0,3
812.0,1,3.4,1,0.98,1,0,0,3
471.0,1,16.2,1,3.38,1,0,0,3
848.0,0,23.1,1,2.82,0,1,1,0
936.0,1,14.3,1,1.71,1,0,0,3
236.0,0,4.1,0,1.35,0,0,1,3
945.0,0,20.8,1,4.46,0,1,0,0
258.0,0,7.2,0,3.02,1,0,0,3
707.0,0,5.7,1,4.9,1,0,1,3
202.0,1,20.5,1,2.5,0,1,1,0
357.0,1,18.1,1,2.63,0,1,1,0
805.0,0,21.0,0,3.32,0,1,1,0
590.0,0,16.4,0,3.77,0,0,1,3
440.0,0,17.4,0,4.72,0,1,0,0
410.0,1,9.4,0,0.04,0,1,0,0
1090.0,0,4.6,1,1.04,0,0,1,3
777.0,1,3.2,1,1.9,1,1,1,0
1014.0,0,6.2,0,3.02,1,1,0,0
809.0,1,3.4,1,0.08,1,0,0,3
307.0,0,19.9,0,4.33,0,0,1,3
821.0,1,13.4,1,3.36,1,0,1,3
502.0,0,11.8,0,3.28,0,1,0,0
874.0,1,9.7,0,3.75,1,1,0,0
717.0,1,18.1,1,1.71,0,0,1,3
1161.0,0,2.3,1,3.6,1,1,1,0
692.0,1,3.5,1,1.21,0,0,1,3
1049.0,0,22.7,0,1.17,1,0,0,3
286.0,1,3.9,0,4.32,1,1,1,0
332.0,0,5.8,1,1.0,1,1,1,0
348.0,0,4.1,1,4.25,1,0,1,3
1085.0,1,4.0,1,2.45,1,1,0,0
376.0,0,17.5,1,0.38,0,0,1,3
1141.0,1,19.4,0,0.73,0,1,0,0
963.0,1,14.9,0,1.49,1,1,0,0
556.0,1,10.4,0,3.16,0,1,1,0
953.0,1,6.5,0,2.66,0,0,1,3
681.0,0,3.8,1,4.95,0,0,0,3
609.0,1,15.5,1,4.94,1,0,1,3
1077.0,1,17.2,0,1.52,0,0,1,3
335.0,1,21.7,1,1.9,1,0,1,3
357.0,1,13.4,0,0.08,1,0,0,3
425.0,0,7.9,1,2.72,0,0,0,3
863.0,0,6.5,1,0.76,0,0,1,3
552.0,0,16.0,0,2.01,1,0,0,3
980.0,1,1.3,1,1.43,0,1,0,0
377.0,0,15.9,0,3.0,0,0,0,3
893.0,0,22.8,0,1.21,1,1,1,0
1180.0,1,22.7,0,2.18,0,1,1,0
1157.0,0,14.0,0,2.43,1,1,1,0
989.0,0,11.7,1,2.3,1,1,0,0
627.0,0,7.1,0,2.27,1,1,0,0
252.0,1,8.0,0,1.77,1,0,1,3
861.0,0,8.4,1,1.65,0,0,1,3
203.0,0,15.6,1,1.52,0,1,0,0
977.0,0,4.6,0,3.01,1,0,0,3
502.0,0,3.5,1,2.25,0,0,1,3
1071.0,1,22.1,0,2.84,0,0,0,3
503.0,1,6.7,1,4.14,1,1,0,0
802.0,1,13.7,0,1.79,0,0,1,3
214.0,1,3.3,0,0.31,1,0,0,3
1084.0,0,6.9,1,3.66,1,0,0,3
1009.0,0,12.1,0,1.78,1,1,1,0
765.0,0,9.1,0,2.11,1,1,0,0
296.0,0,5.5,0,0.22,1,1,1,0
881.0,0,11.9,0,0.17,1,1,1,0
1009.0,0,4.9,1,1.08,0,0,0,3
1070.0,1,5.0,0,1.62,1,0,1,3
830.0,0,12.6,1,3.55,0,1,1,0
436.0,1,8.7,0,0.45,1,1,1,0
1161.0,1,15.1,1,1.86,0,1,1,0
750.0,1,8.4,0,3.05,1,0,1,3
286.0,0,9.4,1,4.26,1,1,0,0
1158.0,1,8.2,1,1.78,0,0,0,3
1122.0,1,15.3,1,1.09,1,0,0,3
448.0,0,8.2,0,4.99,1,0,0,3
222.0,1,19.6,1,3.7,0,0,1,3
397.0,0,12.6,0,1.81,1,0,0,3
753.0,0,10.4,0,2.76,1,0,1,3
222.0,0,2.4,1,4.08,0,0,1,3
1173.0,0,16.5,0,1.69,0,0,1,3
367.0,0,19.3,0,1.38,0,1,1,0
1141.0,1,21.8,1,0.12,1,0,1,3
955.0,0,8.0,0,1.41,0,1,1,0
1184.0,1,12.1,0,4.25,1,0,1,3
268.0,0,12.9,1,4.49,0,1,1,0
293.0,1,10.9,0,1.48,0,1,1,0
1147.0,0,4.8,1,4.88,0,0,0,3
229.0,1,19.5,0,4.97,0,0,0,3
410.0,0,10.9,1,1.56,1,1,0,0
408.0,1,22.9,0,0.12,0,1,1,0
726.0,0,19.3,0,3.67,0,0,0,3
1041.0,1,3.3,0,0.35,0,0,1,3
910.0,0,18.5,0,0.25,1,1,1,0
476.0,0,2.9,1,3.16,1,0,0,3
709.0,1,8.5,0,4.47,1,1,0,0
992.0,1,12.5,0,0.22,1,0,1,3
325.0,1,4.2,0,3.61,1,0,0,3
401.0,1,22.9,0,3.73,1,1,0,0
485.0,0,1.8,1,1.15,0,0,1,3
719.0,1,22.8,0,0.9,1,1,1,0
1175.0,1,2.7,0,4.9,1,0,1,3
1175.0,0,10.3,1,0.93,0,0,1,3
1036.0,1,6.7,1,1.55,0,1,1,0
426.0,0,19.2,1,1.14,0,0,0,3
1195.0,0,22.9,0,1.4,0,0,1,3
914.0,1,11.5,0,2.37,0,0,0,3
1192.0,1,13.9,1,1.43,1,1,1,0
1172.0,0,21.7,1,1.08,1,0,0,3
551.0,0,7.8,0,4.38,0,1,0,0
232.0,0,18.7,1,1.98,1,0,1,3
828.0,1,1.3,1,2.03,0,1,0,0
1144.0,0,4.1,1,1.58,0,1,0,0
241.0,1,15.5,1,0.13,1,1,1,0
766.0,1,11.1,1,2.06,1,0,1,3
364.0,1,5.7,0,3.01,1,1,0,0
602.0,0,6.2,0,0.85,0,0,1,3
899.0,0,2.5,0,4.94,0,0,0,3
268.0,1,4.2,0,4.91,0,0,1,3
1169.0,0,19.2,0,3.87,0,0,0,3
314.0,1,23.3,0,3.14,1,1,1,0
575.0,0,4.2,1,0.86,0,1,1,0
634.0,1,9.2,1,2.65,1,1,0,0
391.0,0,7.6,0,2.44,0,0,0,3
375.0,1,19.2,0,1.0,1,0,0,3
310.0,0,21.3,1,3.83,0,1,0,0
935.0,1,4.5,0,1.12,0,0,1,3
311.0,0,7.8,1,0.55,1,1,1,0
933.0,1,19.3,0,4.48,1,0,1,3
537.0,0,20.1,0,4.3,0,1,1,0
1145.0,0,17.0,1,3.4,1,0,0,3
878.0,1,12.6,0,0.72,1,0,1,3
516.0,0,2.9,0,0.14,0,0,0,3
836.0,0,20.0,0,0.69,1,1,1,0
329.0,1,8.2,1,3.42,0,1,0,0
442.0,0,18.2,1,0.61,0,0,1,3
400.0,1,16.4,1,2.35,0,1,0,0
837.0,1,23.0,1,1.42,0,1,0,0
265.0,1,6.8,1,0.29,0,1,0,0
704.0,0,10.0,1,3.67,0,0,0,3
805.0,1,13.8,0,4.58,1,1,1,0
1016.0,1,6.9,1,1.79,1,1,1,0
282.0,1,24.0,0,3.24,0,1,0,0
1166.0,1,8.6,0,0.31,0,0,1,3
801.0,1,16.9,0,0.86,1,0,1,3
445.0,0,1.0,1,0.09,1,1,1,0
283.0,0,12.7,0,4.43,0,0,1,3
843.0,0,1.3,1,0.48,0,0,1,3
851.0,0,19.7,1,3.52,1,1,0,0
329.0,1,10.7,1,0.38,0,1,1,0
512.0,0,13.3,1,3.94,0,0,0,3
299.0,1,13.3,1,4.96,0,1,0,0
1068.0,1,4.1,1,3.55,1,1,0,0
442.0,1,3.0,0,0.52,1,1,0,0
655.0,0,15.2,0,2.25,0,1,1,0
842.0,0,9.8,0,1.72,0,1,0,0
393.0,1,8.3,1,2.51,0,1,1,0
891.0,1,22.7,1,0.36,1,0,0,3
727.0,0,3.4,0,4.59,1,0,1,3
887.0,1,7.1,1,1.21,1,1,1,0
936.0,1,11.7,0,3.51,0,1,1,0
439.0,1,2.0,0,2.38,0,0,1,3
209.0,1,12.8,1,4.33,1,0,0,3
366.0,0,18.6,0,3.59,0,1,0,0
774.0,1,17.9,0,4.96,1,1,1,0
739.0,1,13.4,0,4.23,0,1,1,0
1031.0,1,23.2,1,1.33,1,0,1,3
336.0,1,2.0,1,0.02,0,1,0,0
276.0,1,21.5,1,2.2,1,0,0,3
806.0,1,9.4,1,1.67,1,0,1,3
817.0,0,13.8,1,0.33,0,1,1,0
991.0,1,4.4,1,3.09,0,1,0,0
506.0,0,8.4,0,4.95,0,1,0,0
223.0,1,12.5,1,1.82,1,1,1,0
1110.0,0,6.4,0,0.77,1,1,1,0
545.0,0,8.3,1,2.39,1,1,1,0
721.0,0,4.7,1,3.06,1,0,1,3
375.0,0,2.8,1,4.7,0,1,0,0
412.0,1,12.6,0,0.47,1,1,0,0
1195.0,1,22.9,0,0.4,0,0,0,3
329.0,1,14.9,0,4.09,0,0,1,3
1029.0,0,2.6,1,4.34,0,1,0,0
895.0,0,15.1,1,3.31,1,1,0,0
982.0,0,5.5,1,4.04,1,0,0,3
355.0,1,15.0,0,0.15,0,1,0,0
775.0,1,4.1,0,4.61,1,0,1,3
216.0,1,9.5,1,3.31,0,0,0,3
842.0,0,14.3,1,4.59,1,1,1,0
411.0,0,3.3,0,2.38,0,0,1,3
228.0,0,16.9,0,4.17,0,1,0,0
1196.0,1,7.8,0,4.54,1,0,0,3
271.0,0,9.1,0,0.73,1,1,1,0
490.0,1,17.6,0,0.01,0,1,0,0
582.0,1,8.2,1,1.7,1,0,1,3
663.0,0,1.4,1,1.37,0,1,1,0
564.0,1,2.9,1,0.15,1,0,0,3
962.0,0,21.5,0,4.85,1,0,0,3
455.0,1,16.1,1,3.61,1,1,1,0
373.0,0,14.7,1,0.94,0,1,0,0
747.0,0,20.2,1,4.9,1,0,0,3
659.0,1,23.5,0,1.09,0,0,1,3
509.0,1,12.3,1,4.13,0,0,0,3
418.0,1,19.1,1,1.49,0,1,0,0
873.0,1,4.4,1,2.26,0,0,0,3
1149.0,0,9.6,0,2.13,0,0,0,3
280.0,0,11.0,1,2.32,0,0,0,3
408.0,0,9.1,0,2.67,1,1,0,0
1087.0,0,9.6,1,0.13,0,0,1,3
422.0,1,10.2,1,4.79,0,0,1,3
553.0,1,15.7,1,2.8,0,0,1,3
783.0,0,1.1,1,2.44,0,1,1,0
204.0,1,8.8,0,1.01,1,1,0,0
230.0,1,16.7,1,1.37,0,0,1,3
396.0,1,14.6,0,4.82,1,0,0,3
1022.0,0,11.2,1,0.35,1,0,1,3
243.0,1,4.7,1,3.87,1,1,1,0
874.0,1,11.0,1,4.88,0,1,0,0
599.0,1,16.9,1,2.88,1,1,1,0
386.0,1,14.1,1,3.09,1,1,0,0
427.0,1,6.4,1,2.79,0,0,1,3
547.0,1,11.4,1,2.28,0,1,0,0
787.0,0,10.4,0,1.97,1,0,1,3
986.0,0,2.9,1,1.71,0,0,0,3
742.0,0,3.7,1,0.03,1,0,1,3
530.0,0,5.5,0,0.56,1,0,0,3
515.0,0,22.1,1,3.93,0,1,1,0
970.0,1,17.4,0,3.92,0,0,1,3
234.0,0,6.2,0,1.09,0,0,1,3
396.0,1,22.5,1,3.34,1,1,0,0
786.0,1,17.6,1,4.01,1,0,1,3
822.0,0,16.8,0,1.48,1,0,0,3
872.0,0,23.4,1,4.25,1,1,0,0
366.0,0,11.2,0,1.01,1,1,1,0
1197.0,0,13.0,1,2.57,0,1,1,0
1106.0,0,16.6,1,0.91,1,1,0,0
857.0,0,22.4,1,0.39,0,1,1,0
479.0,1,21.1,0,0.1,0,0,1,3
993.0,0,16.5,0,1.2,1,0,0,3
729.0,0,21.1,1,2.49,0,0,1,3
959.0,0,9.0,0,3.92,0,1,0,0
560.0,1,13.2,0,0.68,0,1,1,0
743.0,1,18.6,1,3.71,1,0,0,3
278.0,0,1.6,0,0.56,0,1,0,0
745.0,1,18.6,1,1.53,0,0,1,3
239.0,0,14.5,0,2.92,0,1,0,0
446.0,0,17.0,0,1.66,0,1,1,0
1054.0,0,21.1,1,1.79,1,1,0,0
1016.0,0,11.3,1,4.68,0,0,1,3
616.0,1,7.1,0,2.18,1,1,0,0
612.0,0,23.2,1,2.59,0,1,1,0
368.0,1,22.2,0,3.6,1,0,0,3
1030.0,0,9.5,0,1.29,1,1,1,0
396.0,1,1.9,0,4.99,0,0,0,3
271.0,1,9.6,0,0.18,0,0,1,3
852.0,0,3.6,1,0.06,0,1,0,0
1106.0,0,1.3,1,1.2,1,0,1,3
1090.0,0,11.9,0,3.7,0,1,1,0
1121.0,1,7.2,1,3.38,1,1,0,0
366.0,0,11.9,1,0.99,1,0,1,3
1148.0,1,13.1,0,2.48,0,0,0,3
284.0,0,14.7,0,1.59,1,0,0,3
984.0,0,5.1,0,1.94,0,0,0,3
859.0,0,15.6,0,2.7,1,0,0,3
566.0,0,19.1,0,3.26,1,0,0,3
950.0,1,13.6,0,1.95,0,0,1,3
515.0,1,22.8,0,3.98,0,0,1,3
200.0,0,12.6,0,0.35,0,1,1,0
488.0,0,23.9,0,3.58,1,1,0,0
1035.0,1,13.3,1,2.91,1,0,0,3
505.0,1,19.7,0,3.53,1,1,1,0
531.0,1,22.3,0,4.38,1,0,0,3
647.0,1,4.9,0,3.25,1,1,0,0
695.0,1,18.9,1,1.51,0,0,1,3
299.0,1,19.9,1,1.28,0,1,1,0
1047.0,1,5.3,0,1.62,0,0,1,3
385.0,0,11.5,1,0.6,0,0,0,3
513.0,1,18.6,0,4.19,1,0,1,3
609.0,1,3.4,1,0.76,0,0,0,3
361.0,1,7.3,0,0.68,0,1,1,0
1001.0,1,4.8,1,0.54,1,0,0,3
712.0,0,7.3,0,2.27,0,0,0,3
823.0,0,12.7,1,4.54,1,1,0,0
577.0,0,4.9,1,0.33,0,1,0,0
1007.0,0,6.2,0,4.97,1,0,1,3
652.0,1,5.7,1,4.41,0,0,0,3
1172.0,1,21.8,1,2.49,1,0,0,3
1097.0,0,9.9,0,3.46,0,1,0,0
741.0,1,11.3,0,0.65,0,0,0,3
1013.0,1,3.7,0,3.6,0,1,1,0
244.0,0,14.2,0,4.21,0,0,1,3
1014.0,0,5.3,0,0.1,0,0,1,3
274.0,1,13.8,0,3.24,0,0,0,3
531.0,1,13.5,0,0.47,0,0,0,3
586.0,1,13.0,0,0.61,0,1,0,0
241.0,1,11.1,0,0.95,0,0,0,3
611.0,1,4.5,0,0.66,1,0,1,3
665.0,1,9.1,0,4.09,0,0,0,3
964.0,1,9.6,1,0.12,0,1,0,0
417.0,1,17.8,1,0.22,0,0,0,3
362.0,0,23.7,0,3.64,0,1,1,0
976.0,0,17.4,0,0.99,1,1,1,0
269.0,0,11.3,0,4.69,0,1,1,0
820.0,1,7.6,1,1.64,0,1,0,0
651.0,0,5.0,1,4.49,1,1,0,0
796.0,1,4.3,1,1.95,0,0,1,3
1051.0,1,4.5,1,0.16,1,1,1,0
953.0,0,14.1,1,4.94,0,0,0,3
445.0,0,12.8,1,4.61,1,0,1,3
962.0,1,20.2,0,1.87,0,1,0,0
444.0,0,10.8,1,0.89,0,0,1,3
207.0,1,8.7,0,2.73,0,0,1,3
491.0,0,1.3,0,4.01,0,0,0,3
259.0,1,6.4,1,1.73,1,0,1,3
1115.0,1,21.7,0,2.47,1,0,0,3
288.0,0,4.7,1,1.81,0,1,0,0
207.0,1,4.4,1,2.34,0,1,1,0
889.0,1,12.2,1,4.32,0,0,0,3
896.0,1,11.6,1,0.25,0,1,0,0
1047.0,1,5.8,0,0.16,0,1,1,0
1053.0,0,6.4,0,3.37,0,0,0,3
927.0,1,21.1,0,3.52,1,1,0,0
519.0,0,23.1,1,1.58,0,0,0,3
828.0,0,6.9,1,2.58,0,0,0,3
876.0,0,4.6,1,1.65,0,0,1,3
754.0,1,1.8,0,0.18,0,1,0,0
538.0,0,23.3,1,4.64,0,1,0,0
302.0,1,10.1,0,1.13,0,0,1,3
283.0,0,18.8,1,3.06,0,1,0,0
1151.0,0,12.6,0,1.03,0,1,1,0
794.0,0,11.2,1,0.13,1,1,1,0
610.0,0,23.8,1,4.25,0,1,0,0
547.0,0,7.2,1,1.26,1,0,0,3
429.0,1,19.3,1,4.54,1,1,0,0
601.0,1,18.7,1,1.64,0,1,0,0
1044.0,1,11.4,1,0.22,0,1,1,0
880.0,0,18.6,0,4.42,0,1,1,0
249.0,0,19.1,1,2.58,1,0,1,3
915.0,0,5.2,1,3.23,1,0,1,3
776.0,1,2.3,1,4.03,0,1,0,0
734.0,0,10.0,1,2.44,1,0,0,3
538.0,0,8.6,1,1.35,0,1,1,0
1197.0,1,11.9,1,4.12,1,0,0,3
493.0,1,5.3,1,2.96,1,1,1,0
1117.0,1,7.4,0,3.46,0,1,1,0
278.0,1,17.6,0,1.38,0,0,0,3
378.0,0,10.9,1,4.37,0,0,1,3
741.0,0,20.3,0,2.49,1,1,0,0
357.0,1,19.7,1,3.41,1,0,0,3
1085.0,1,1.4,0,2.68,0,0,1,3
764.0,1,13.0,0,0.35,0,1,1,0
853.0,0,3.1,0,2.23,1,1,0,0
846.0,0,21.4,1,3.94,1,0,1,3
795.0,1,4.4,0,4.38,1,0,0,3
789.0,1,1.4,1,4.52,1,0,0,3
1145.0,1,5.7,0,1.81,1,1,1,0
770.0,0,12.9,0,1.15,0,0,1,3
722.0,1,10.1,1,0.51,1,1,0,0
310.0,1,8.1,0,4.92,1,0,0,3
719.0,0,17.6,0,3.16,0,0,0,3
776.0,0,12.9,1,2.32,0,0,0,3
557.0,1,2.7,1,3.58,1,0,0,3
780.0,0,17.9,1,0.85,1,1,0,0
997.0,0,9.3,1,2.99,1,1,1,0
944.0,1,18.8,0,3.34,1,1,0,0
1078.0,0,20.9,1,1.15,1,0,1,3
836.0,0,9.1,0,1.74,1,0,0,3
287.0,0,18.0,1,0.07,0,0,1,3
800.0,1,9.1,0,4.38,1,1,0,0
385.0,0,7.6,1,1.9,1,1,1,0
652.0,0,15.5,0,1.83,1,1,1,0
1098.0,1,9.0,0,1.93,1,0,1,3
282.0,0,6.0,0,5.0,0,0,1,3
965.0,0,14.4,0,2.64,0,0,0,3
550.0,0,4.3,0,2.63,0,0,1,3
950.0,0,1.1,0,2.58,1,0,1,3
386.0,1,5.7,0,0.63,0,1,0,0
300.0,0,11.7,0,2.58,0,1,0,0
985.0,0,10.9,1,0.88,1,1,0,0
836.0,0,16.6,0,2.5,0,1,0,0
1142.0,0,23.2,0,3.28,0,0,0,3
575.0,1,6.0,1,3.52,0,1,0,0
661.0,0,1.4,1,1.35,0,0,1,3
864.0,0,7.1,0,0.2,1,1,1,0
359.0,0,9.9,1,2.22,0,0,0,3
204.0,0,14.1,0,0.64,0,1,1,0
1007.0,1,20.6,1,0.82,0,0,0,3
679.0,1,9.7,1,4.72,1,0,1,3
1152.0,0,10.3,1,3.62,1,1,0,0
308.0,1,5.7,1,0.28,1,0,0,3
388.0,1,19.3,0,1.82,0,0,0,3
253.0,0,23.4,1,0.31,1,0,1,3
1142.0,0,9.3,1,3.68,1,0,0,3
1022.0,0,10.2,0,4.57,1,1,1,0
1175.0,1,2.6,0,4.9,1,1,1,0
1139.0,0,11.6,1,0.73,0,0,1,3
411.0,0,9.3,1,3.65,1,0,0,3
1085.0,1,19.2,0,0.48,1,1,1,0
950.0,0,6.7,1,4.52,1,1,1,0
502.0,0,21.2,1,0.63,0,1,1,0
695.0,0,22.6,1,0.07,1,0,1,3
744.0,1,7.3,0,0.98,0,1,0,0
468.0,1,18.9,1,0.66,1,1,0,0
504.0,1,4.9,0,0.66,1,1,1,0
992.0,0,13.0,0,3.81,1,1,0,0
550.0,1,23.7,1,3.23,1,0,0,3
585.0,0,13.5,0,0.13,1,1,0,0
1141.0,1,10.2,0,1.94,1,1,0,0
1059.0,0,7.3,1,2.48,1,0,0,3
358.0,1,5.0,0,1.99,0,0,1,3
334.0,0,22.8,0,0.82,0,1,0,0
468.0,0,10.8,1,3.78,1,0,0,3
887.0,1,17.1,1,1.88,1,0,1,3
548.0,0,8.1,0,0.24,0,1,0,0
652.0,0,22.9,1,4.52,1,0,1,3
208.0,1,7.9,1,2.21,1,0,0,3
640.0,1,15.6,1,1.95,1,1,0,0
477.0,0,6.3,1,3.1,0,0,1,3
549.0,1,22.3,1,1.2,0,1,1,0
255.0,1,9.3,0,2.16,0,0,1,3
696.0,1,5.6,0,2.63,0,0,1,3
817.0,0,5.4,0,1.67,0,1,1,0
606.0,0,16.4,0,3.81,1,1,1,0
285.0,0,18.6,1,0.22,1,1,1,0
592.0,0,7.7,0,2.28,0,0,0,3
496.0,1,23.3,1,1.77,0,1,0,0
595.0,1,21.3,0,4.99,0,1,0,0
969.0,1,8.8,1,4.2,0,1,1,0
1158.0,0,3.8,0,4.28,0,0,0,3
811.0,0,4.9,0,2.04,1,0,0,3
596.0,0,20.6,0,0.76,0,1,0,0
695.0,1,6.8,1,4.17,1,0,0,3
1062.0,1,8.1,1,2.95,1,0,0,3
1051.0,1,9.4,0,2.79,0,0,0,3
1049.0,1,13.6,0,4.89,0,1,0,0
1131.0,0,18.1,1,1.15,0,1,0,0
1086.0,0,6.5,1,3.95,0,1,1,0
585.0,0,11.6,1,0.04,0,0,0,3
782.0,1,11.1,1,0.34,1,0,0,3
660.0,0,3.6,0,4.49,0,1,0,0
743.0,1,14.1,1,2.7,1,0,0,3
752.0,0,4.3,1,2.42,1,1,0,0
1034.0,1,3.4,1,3.47,1,1,0,0
1028.0,1,23.2,1,4.97,1,0,1,3
633.0,0,8.8,0,2.72,1,0,1,3
705.0,0,21.6,1,1.31,0,1,1,0
747.0,1,14.2,0,2.37,1,1,1,0
888.0,0,19.0,1,0.84,0,0,0,3
718.0,1,23.4,1,1.75,1,1,0,0
982.0,0,20.2,0,1.44,1,0,1,3
542.0,1,13.0,1,3.08,0,1,0,0
817.0,1,19.6,0,3.06,1,1,1,0
1148.0,1,20.1,0,3.92,1,1,1,0
575.0,0,13.3,0,3.47,0,1,0,0
336.0,1,8.7,1,4.31,0,1,0,0
945.0,1,6.6,0,0.12,1,1,0,0
946.0,0,18.7,0,2.27,0,0,0,3
714.0,1,22.6,1,0.49,1,1,0,0
396.0,1,7.1,1,0.96,1,0,0,3
549.0,0,22.4,1,3.07,0,1,1,0
1027.0,1,15.8,1,4.18,0,0,1,3
941.0,0,11.2,0,1.5,0,1,1,0
