fornecedor_auditado,laudo_residuos_agrotoxicos,temperatura_recebimento_c,tempo_desde_coleta_h,integridade_containers,sujeira_visivel_externa,umidade_lote_pct,documentacao_lote_ok,transporte_segregado_de_quimicos,lacre_viagem_integro,lote_identificado,probabilidade
0,1,34.0,44.4,1,0,22.1,1,0,0,1,0
1,0,11.1,34.2,1,0,22.2,0,1,1,0,0
0,0,33.8,33.4,1,1,21.3,0,1,1,1,2
1,1,17.0,52.2,1,0,23.2,1,0,1,1,0
1,1,26.6,28.4,0,0,21.9,1,1,1,0,2
1,1,14.4,32.6,0,1,18.1,0,1,1,1,3
0,1,30.4,13.5,1,1,20.0,0,1,0,1,2
1,1,31.0,49.6,1,1,19.2,1,1,0,1,2
1,0,34.5,7.4,0,1,17.3,1,0,0,1,3
0,1,34.8,71.3,0,1,17.8,0,1,0,1,3
0,1,11.9,12.1,0,1,18.3,0,0,0,0,3
1,0,26.4,28.8,0,0,17.4,0,1,0,0,2
0,1,16.8,18.6,1,0,17.7,0,1,1,0,0
1,0,13.1,22.3,0,1,23.3,1,1,0,0,3
0,0,13.7,24.6,1,1,18.7,1,1,0,0,2
0,1,33.4,52.3,1,0,22.6,0,1,1,0,0
1,0,27.1,14.4,1,0,16.5,1,1,0,0,0
1,0,11.3,20.5,0,1,23.9,1,1,1,1,3
0,1,34.6,9.1,1,0,22.1,1,1,1,1,0
1,1,30.2,25.2,0,0,23.3,1,0,0,1,2
0,1,17.7,67.9,1,1,20.2,1,0,0,0,2
0,1,21.8,28.6,0,1,21.1,1,0,0,0,3
1,1,28.2,56.4,1,0,18.9,1,1,0,1,0
1,0,26.9,34.3,1,1,19.5,1,1,0,1,2
0,0,21.6,33.5,0,1,22.0,0,0,0,1,3
1,0,22.8,59.7,1,0,16.4,0,1,0,0,0
0,0,11.1,3.9,1,1,16.3,1,0,1,0,2
1,0,22.5,62.5,0,1,23.0,0,1,0,1,3
1,0,18.5,36.0,1,0,16.9,0,1,1,0,0
1,0,17.1,26.6,1,0,21.8,1,0,0,0,0
0,0,16.7,65.5,0,1,17.6,1,0,0,0,3
0,1,26.2,25.8,1,0,18.9,0,0,0,1,0
0,0,20.7,70.4,1,1,18.3,0,0,1,0,2
1,1,20.6,67.5,0,0,19.9,1,0,0,1,2
1,0,14.0,20.8,1,1,22.6,0,0,0,1,2
1,0,34.0,25.8,0,1,23.0,0,1,1,1,3
0,0,15.6,58.9,1,0,17.8,0,1,1,1,0
1,1,20.2,15.7,1,0,18.7,1,0,1,1,0
1,1,14.8,53.2,0,1,22.7,0,1,0,0,3
0,0,27.6,11.0,0,1,16.7,0,0,0,0,3
0,0,20.9,16.4,0,0,16.9,0,0,1,1,2
0,1,20.3,37.0,0,1,19.8,0,0,0,1,3
0,0,31.9,54.2,0,0,22.3,1,1,0,1,2
1,1,29.0,53.8,1,1,18.7,1,0,0,0,2
1,1,23.0,44.6,1,0,16.6,0,0,1,1,0
0,0,21.7,21.0,1,0,23.7,1,0,1,0,0
1,1,34.0,31.1,1,1,23.5,1,1,1,1,2
0,1,33.9,19.2,1,1,21.2,0,1,1,0,2
1,1,27.6,21.4,0,1,21.5,1,0,0,1,3
1,1,29.0,24.6,1,0,23.5,0,0,1,1,0
1,0,32.5,43.9,1,0,21.2,0,0,0,1,0
1,0,34.1,16.5,0,0,22.3,1,0,1,1,2
1,1,12.1,5.0,0,0,19.7,1,1,0,1,2
1,0,34.9,50.5,1,1,17.8,0,0,1,0,2
0,0,27.6,3.5,0,0,22.7,1,0,0,0,2
1,1,24.8,70.0,0,1,21.5,1,0,0,1,3
1,0,20.3,26.5,0,0,18.3,0,1,1,1,2
1,0,18.4,2.5,1,0,21.0,1,1,0,0,0
0,1,30.1,63.9,0,0,22.5,1,1,1,1,2
0,0,26.4,44.0,0,0,18.2,0,1,0,0,2
1,1,15.0,59.2,0,0,22.1,0,1,0,0,2
1,0,25.2,32.5,0,0,16.6,0,1,0,0,2
1,0,13.5,26.8,0,1,21.0,1,0,1,1,3
1,1,22.4,47.9,0,0,24.0,0,1,0,0,2
1,0,24.6,30.4,0,1,22.9,0,1,1,0,3
1,0,25.9,40.9,1,0,23.0,0,0,1,1,0
1,0,13.6,21.4,0,1,21.4,0,0,0,1,3
0,1,12.4,25.3,1,0,19.7,1,1,1,0,0
1,0,16.5,7.8,0,0,21.4,1,0,1,1,2
0,0,25.2,56.7,1,0,18.6,0,0,1,0,0
1,0,33.3,26.4,0,1,20.4,1,1,1,0,3
1,0,29.5,70.2,0,0,20.3,1,1,1,0,2
1,0,28.6,20.2,0,0,20.3,1,0,1,0,2
1,1,18.3,35.3,0,1,19.3,1,1,1,1,3
0,0,12.8,23.4,1,1,18.8,0,1,0,0,2
1,0,32.3,50.6,1,1,18.6,0,0,1,1,2
1,0,22.5,58.6,0,0,17.8,1,1,0,0,2
1,1,12.5,36.1,0,1,19.5,1,0,1,0,3
0,0,23.4,27.7,1,1,16.9,0,1,1,0,2
1,0,26.9,54.1,1,0,23.2,0,0,0,1,0
0,1,18.0,15.4,1,0,16.6,0,1,1,0,0
0,1,10.2,44.0,1,1,22.7,0,0,1,0,2
1,1,25.5,53.4,0,1,17.9,1,1,1,0,3
1,0,11.0,20.8,1,0,22.8,1,0,1,1,0
1,0,20.8,47.9,0,1,21.8,0,1,0,0,3
1,1,30.6,53.5,0,1,23.4,0,1,1,0,3
1,1,35.0,10.2,1,1,23.0,0,0,0,0,2
0,0,19.3,24.7,1,0,21.6,0,0,1,0,0
0,1,10.5,30.4,1,1,17.2,0,0,0,1,2
0,1,22.3,56.3,1,1,20.4,0,1,0,0,2
1,1,16.9,41.7,1,0,18.7,1,1,0,1,0
1,0,32.3,33.5,1,0,23.1,0,1,1,0,0
1,1,27.8,24.3,1,0,23.0,0,1,0,0,0
1,0,20.1,2.3,1,1,18.5,1,0,0,0,2
1,0,29.1,3.4,0,1,21.4,0,1,0,1,3
0,1,18.5,18.8,0,0,18.7,1,0,1,1,2
0,0,23.0,10.2,0,1,21.4,0,0,1,0,3
0,0,33.1,10.4,1,1,20.9,1,0,1,0,2
0,0,15.0,44.2,0,0,20.1,1,0,0,1,2
0,0,17.8,44.4,0,1,23.0,1,0,1,0,3
1,0,32.1,5.1,1,0,18.0,1,0,0,0,0
1,1,21.5,43.6,1,0,22.4,1,0,0,1,0
0,1,17.9,12.2,1,0,21.5,1,0,0,1,0
1,1,10.9,28.4,1,1,18.3,0,0,1,1,2
1,1,20.5,71.3,1,1,19.4,1,1,1,0,2
0,1,22.5,38.5,1,0,16.6,1,0,0,1,0
0,0,20.2,4.4,0,0,20.8,0,1,1,0,2
1,1,16.9,26.3,0,1,23.1,0,1,0,0,3
1,1,19.2,49.0,0,0,16.9,1,0,0,1,2
0,0,26.1,17.7,1,0,17.1,0,1,0,1,0
0,0,32.3,69.5,1,0,19.8,0,0,0,0,0
0,0,26.2,31.8,0,1,18.2,1,0,1,1,3
0,1,26.2,3.5,1,1,18.2,1,1,0,1,2
0,1,30.4,39.8,0,1,21.1,1,1,0,1,3
1,1,14.1,49.3,1,0,19.3,1,1,1,1,0
1,0,17.5,33.9,1,0,22.8,1,1,0,0,0
1,1,11.3,67.0,0,1,19.4,1,0,0,1,3
1,0,18.7,65.1,0,1,20.9,0,0,1,0,3
0,0,35.0,11.7,0,1,19.2,0,1,0,0,3
0,0,18.2,7.6,0,1,18.0,1,0,0,0,3
0,0,31.5,23.9,1,1,19.8,0,0,1,1,2
1,0,12.1,44.6,1,1,21.8,0,0,1,1,2
0,1,21.5,44.1,1,0,23.6,1,0,1,1,0
1,0,18.8,21.0,1,0,16.3,0,0,0,1,0
0,1,15.0,68.6,0,1,20.3,0,0,0,0,3
1,0,19.3,23.5,1,0,21.1,1,1,0,0,0
1,1,26.3,58.3,0,0,16.7,0,0,0,1,2
1,1,22.3,60.2,1,0,22.6,0,1,1,0,0
0,1,31.1,8.9,0,1,18.2,1,1,1,1,3
1,1,32.6,18.3,1,0,23.0,1,1,0,1,0
1,1,22.0,17.1,1,1,20.4,0,1,1,1,2
0,1,34.5,66.4,0,0,17.2,1,0,1,0,2
0,0,11.8,26.6,0,1,21.9,0,1,1,1,3
0,0,16.9,60.6,0,1,17.3,1,1,0,1,3
0,0,20.4,35.5,0,0,21.8,1,1,1,0,2
1,0,24.6,34.0,1,1,22.5,0,0,1,1,2
0,0,23.6,65.2,1,1,20.6,1,1,1,0,2
1,1,24.2,32.9,1,1,18.2,0,0,0,0,2
1,0,32.4,54.1,0,1,19.5,0,0,1,0,3
1,0,16.9,31.7,0,0,20.2,1,0,1,1,2
1,1,30.4,9.1,0,0,21.3,0,1,0,1,2
1,0,24.0,5.7,0,0,21.1,1,1,0,1,2
1,1,22.3,16.6,0,0,19.2,1,1,1,0,2
1,1,17.5,52.6,1,1,22.1,0,1,1,0,2
0,1,17.6,28.2,0,1,22.2,0,1,1,0,3
1,1,19.7,33.8,1,1,21.6,0,1,0,0,2
0,0,29.1,9.1,1,0,18.2,1,0,1,1,0
1,0,21.9,45.6,1,1,19.8,0,1,1,1,2
0,1,13.8,58.2,1,1,19.5,0,1,1,0,2
0,1,29.0,45.7,1,1,22.5,1,0,0,0,2
1,0,26.6,70.9,0,0,22.5,1,1,0,1,2
1,1,33.7,3.1,1,0,22.9,0,0,0,0,0
0,0,23.2,3.1,0,1,17.8,0,1,0,0,3
1,1,26.4,37.0,1,1,22.0,1,1,1,0,2
0,1,22.0,20.6,1,0,23.0,1,0,1,1,0
0,0,27.0,50.1,0,1,17.3,0,1,0,1,3
1,1,20.9,57.5,1,1,16.3,1,0,1,0,2
0,1,13.4,9.2,1,0,16.8,0,1,1,0,0
0,0,34.7,66.2,1,1,20.8,1,0,1,0,2
1,1,28.0,4.1,1,1,19.4,1,0,1,0,2
1,0,25.2,50.2,0,0,17.6,0,0,0,1,2
1,0,22.0,28.9,1,0,20.2,1,1,0,0,0
1,1,27.8,48.7,1,1,22.3,1,0,1,1,2
0,1,13.2,8.8,0,0,22.8,0,0,1,0,2
1,0,18.2,67.6,1,0,22.0,0,1,1,1,0
0,1,13.1,67.6,1,0,23.1,0,0,0,1,0
1,0,13.2,38.4,0,0,20.8,0,1,0,1,2
0,0,10.5,37.7,1,1,22.7,1,0,1,1,2
0,0,28.9,46.4,0,0,19.3,0,0,1,1,2
0,0,15.7,42.6,0,1,22.8,0,0,0,0,3
1,1,30.8,40.0,1,0,23.2,1,0,0,0,0
1,0,32.6,43.2,1,0,21.5,0,1,0,1,0
0,0,14.2,62.1,1,0,19.4,0,0,0,0,0
1,1,27.7,44.8,1,1,18.3,1,1,1,1,2
1,1,21.5,15.7,0,1,18.6,1,1,0,0,3
1,0,33.0,66.0,1,1,17.1,0,0,1,1,2
1,1,22.1,17.1,1,0,16.4,1,0,0,0,0
0,1,19.5,13.6,1,0,19.3,1,0,1,1,0
0,1,17.4,71.8,1,0,16.3,1,0,1,1,0
0,0,32.6,16.9,0,0,23.0,0,1,1,0,2
1,0,15.7,9.0,1,0,21.2,1,1,0,1,0
0,1,30.7,41.3,1,0,22.7,1,0,0,1,0
0,1,14.9,59.9,1,0,19.6,1,1,0,0,0
1,1,26.1,6.3,0,0,17.8,1,0,0,1,2
0,1,21.3,36.3,0,0,18.3,1,0,0,0,2
1,1,12.6,6.8,1,1,22.8,1,0,0,1,2
0,0,13.1,32.0,1,0,17.0,0,0,0,0,0
0,1,17.0,26.1,1,1,21.6,1,1,1,0,2
1,0,29.2,11.6,1,1,17.8,0,0,1,0,2
1,0,28.2,67.2,1,0,18.8,1,1,0,0,0
1,1,15.1,46.4,0,0,16.0,0,1,1,0,2
0,0,21.9,61.0,1,1,19.8,0,0,1,0,2
1,1,12.4,65.4,0,0,17.0,1,1,1,1,2
0,1,27.9,67.1,1,0,22.9,0,1,0,0,0
1,1,29.8,54.4,0,1,16.8,1,1,0,0,3
1,0,32.3,23.5,0,0,18.0,0,1,0,0,2
