velocidade_centrifuga_rpm,tempo_centrifugacao_min,limpeza_equipamento_pre_turno,lubrificante_grau_alimentar,vazamento_lubrificante,uso_epi,higiene_das_maos,inspecao_fragmentos_cera_pos_centrifuga,lote_identificado,probabilidade
576.0,3.9,1,0,1,2,0,1,1,1
751.0,8.7,0,1,0,2,0,1,0,2
647.0,13.1,0,0,1,0,0,0,1,3
359.0,5.4,0,0,1,0,1,0,1,2
307.0,6.9,0,1,0,1,0,0,1,3
726.0,16.3,1,0,0,0,0,0,0,2
272.0,2.6,1,1,1,2,0,0,1,1
626.0,18.1,1,0,0,1,1,1,0,1
347.0,16.1,0,0,1,2,1,1,1,2
381.0,7.8,0,1,0,2,1,0,1,1
228.0,8.2,0,0,1,1,1,0,0,2
302.0,6.4,1,0,1,2,0,0,1,1
224.0,2.1,0,1,0,1,0,0,1,3
512.0,14.7,0,0,0,1,0,1,0,3
470.0,16.3,0,1,1,2,1,1,0,2
519.0,5.3,0,0,1,2,0,0,1,2
239.0,9.2,0,0,1,1,0,0,1,3
684.0,10.2,0,0,0,1,0,1,0,3
274.0,3.6,1,0,1,2,0,1,1,1
699.0,7.2,0,1,0,0,1,1,1,2
393.0,7.2,0,0,1,2,0,1,0,2
466.0,17.4,0,0,1,1,0,0,1,3
592.0,3.9,1,1,1,0,1,1,0,1
563.0,6.3,1,1,1,1,1,0,0,0
539.0,10.2,0,1,0,1,1,1,1,2
440.0,4.5,0,1,0,1,0,1,0,3
488.0,5.6,0,0,1,2,0,0,0,2
239.0,19.2,1,1,0,1,1,0,0,1
297.0,17.6,1,0,1,1,1,1,1,1
640.0,4.3,1,0,1,0,0,1,0,2
603.0,6.9,1,1,0,1,0,1,0,2
402.0,17.7,0,1,1,1,1,1,0,2
675.0,8.3,1,1,1,1,1,0,1,0
684.0,10.0,0,0,0,0,0,1,0,3
517.0,5.3,1,0,0,2,1,1,0,0
788.0,11.8,1,0,0,0,1,1,1,1
360.0,4.6,0,1,1,2,1,0,0,1
377.0,11.4,1,1,0,2,1,0,1,0
206.0,18.5,0,0,1,1,1,0,0,2
290.0,10.6,0,1,0,0,0,1,1,3
691.0,16.8,0,1,1,1,0,1,0,3
578.0,12.3,0,1,1,0,1,0,0,2
314.0,8.6,1,1,0,1,0,0,1,2
606.0,19.0,1,1,1,2,0,0,0,2
298.0,19.9,1,0,1,0,0,0,1,2
444.0,7.9,1,1,0,1,1,1,0,0
799.0,19.8,1,0,0,0,0,1,1,2
390.0,19.7,0,0,1,0,0,1,1,3
608.0,7.7,1,0,0,0,0,1,0,2
204.0,10.2,0,1,1,1,1,0,1,2
380.0,2.7,0,0,0,1,1,1,0,2
383.0,2.3,0,0,0,1,0,1,0,3
703.0,4.8,1,1,1,2,0,1,0,1
302.0,6.8,1,0,1,0,1,0,0,1
393.0,18.1,0,1,0,2,1,0,0,2
298.0,7.9,1,1,1,0,1,0,1,1
486.0,14.9,0,0,0,2,1,1,0,2
363.0,19.0,0,0,0,2,0,1,1,3
307.0,11.5,0,1,1,1,0,0,1,3
459.0,17.1,0,1,0,2,0,0,1,3
484.0,9.5,1,1,1,1,1,0,1,0
385.0,6.6,1,1,1,1,1,0,0,0
780.0,15.9,1,1,0,1,1,0,0,1
287.0,13.6,1,0,1,0,1,1,1,1
628.0,13.9,1,0,0,0,0,0,0,2
516.0,7.9,0,1,0,0,1,0,1,2
431.0,10.9,1,1,0,0,1,0,1,1
604.0,9.0,0,0,0,2,1,0,1,1
292.0,18.3,1,0,1,2,1,0,0,1
758.0,18.8,1,1,1,0,1,0,1,1
700.0,4.0,1,1,1,0,0,0,0,2
646.0,14.8,0,1,0,1,0,1,1,3
775.0,6.7,0,0,0,0,0,0,0,3
764.0,14.9,0,1,1,2,0,1,0,3
321.0,6.6,1,0,1,0,0,1,1,2
732.0,10.0,1,1,0,2,0,1,0,1
675.0,9.4,0,0,0,1,0,0,1,3
460.0,16.7,0,0,0,1,1,1,0,2
519.0,8.3,0,0,0,0,1,0,0,2
537.0,18.4,0,1,0,1,1,1,0,2
511.0,3.9,1,1,0,1,1,0,1,0
455.0,6.2,0,0,1,0,1,0,0,2
573.0,6.3,0,0,1,2,1,1,1,1
694.0,6.6,0,0,1,0,0,0,0,3
772.0,12.8,1,1,1,1,0,1,1,2
600.0,9.0,1,0,0,0,0,0,0,2
768.0,10.2,1,0,0,1,0,1,0,2
778.0,19.8,1,1,0,1,0,1,1,2
590.0,16.9,1,1,1,2,1,1,1,0
370.0,9.8,0,0,1,0,1,0,1,2
511.0,15.5,1,1,1,2,0,1,1,2
742.0,4.3,0,0,0,2,0,0,1,2
276.0,7.8,1,1,1,2,1,0,1,0
645.0,18.8,0,1,0,2,0,1,1,3
768.0,19.6,1,1,0,2,0,0,0,2
631.0,17.5,1,1,0,0,0,0,0,2
769.0,13.6,1,0,0,0,1,1,0,1
633.0,16.6,0,1,0,0,0,1,0,3
792.0,4.6,0,0,0,2,0,0,0,2
777.0,9.2,0,1,0,0,1,0,1,2
577.0,12.7,1,0,1,0,0,1,1,2
560.0,12.7,1,0,0,1,1,0,1,1
738.0,6.9,0,0,1,0,0,1,1,3
662.0,13.4,1,0,1,2,0,0,0,1
559.0,7.1,0,0,0,1,0,0,1,3
628.0,15.5,1,0,1,2,1,0,0,0
242.0,10.6,1,1,1,2,0,0,0,1
773.0,11.7,0,0,1,1,1,1,0,2
455.0,19.0,0,1,0,0,1,0,1,2
254.0,19.6,1,1,1,0,0,1,1,2
427.0,16.5,0,1,0,0,1,1,1,2
508.0,9.8,1,0,0,0,0,0,0,2
798.0,10.1,1,0,0,0,1,1,1,1
560.0,11.3,0,0,1,1,0,0,1,3
227.0,15.8,1,1,0,1,1,1,0,1
243.0,15.1,1,1,1,0,1,0,0,1
445.0,7.0,1,1,1,2,1,0,0,0
719.0,10.2,1,1,0,2,1,1,1,0
416.0,14.2,0,0,0,2,0,0,1,3
791.0,3.3,0,1,0,2,0,1,0,2
209.0,3.9,1,0,1,1,1,1,0,0
528.0,16.8,1,1,1,1,0,1,0,2
786.0,18.7,0,1,1,0,0,1,0,3
490.0,5.2,0,0,0,1,0,0,1,3
505.0,18.5,1,0,1,2,1,0,1,1
392.0,17.4,1,1,0,2,0,0,1,2
680.0,4.6,0,0,0,0,1,1,1,2
758.0,4.6,0,1,1,0,1,1,1,2
456.0,10.8,0,1,0,0,1,1,1,2
748.0,16.2,0,0,1,0,1,0,0,2
284.0,10.8,1,0,1,0,0,1,0,2
605.0,16.8,1,0,1,1,0,0,1,2
384.0,4.4,0,0,1,1,0,1,1,3
264.0,6.5,0,0,0,2,1,0,0,1
570.0,15.1,1,0,1,2,1,1,1,0
526.0,11.2,1,1,0,0,1,0,1,1
540.0,9.4,0,1,0,2,1,0,0,1
643.0,17.0,1,0,0,1,0,0,1,2
485.0,4.5,0,1,0,1,1,1,1,2
429.0,9.3,1,0,0,2,0,0,1,1
645.0,18.3,1,1,0,1,0,1,0,2
634.0,18.4,0,0,0,0,1,0,1,2
516.0,8.6,0,1,0,2,0,0,1,2
572.0,9.7,0,0,0,1,1,0,1,2
505.0,3.4,0,1,0,0,0,0,1,3
576.0,5.9,1,0,1,2,1,1,0,0
440.0,2.3,0,1,1,1,0,1,1,3
688.0,11.6,0,0,0,1,0,1,0,3
624.0,19.8,0,0,1,0,0,1,0,3
628.0,4.6,0,1,1,1,1,1,0,2
789.0,19.1,1,1,1,2,0,0,1,2
503.0,9.3,1,0,0,0,0,0,1,2
770.0,2.9,0,0,1,2,1,1,0,1
438.0,4.9,0,0,1,1,0,0,0,3
746.0,10.2,1,1,1,2,0,1,0,1
540.0,5.7,1,1,0,0,0,1,0,2
542.0,14.0,0,0,0,1,0,0,0,3
725.0,6.3,0,0,0,2,0,1,0,2
773.0,15.9,1,0,1,1,0,1,0,2
320.0,5.8,1,0,1,1,0,1,1,2
278.0,12.6,1,0,0,1,1,1,1,1
666.0,11.4,1,1,0,1,1,0,1,0
415.0,16.5,0,1,0,2,0,1,1,3
283.0,12.9,0,0,1,0,0,1,1,3
339.0,11.3,0,1,0,2,1,0,0,1
409.0,18.3,0,1,0,0,0,1,1,3
664.0,17.9,0,1,1,2,0,0,0,3
244.0,17.9,1,1,1,1,1,1,0,1
504.0,6.3,1,0,0,0,0,0,0,2
211.0,14.9,1,1,1,0,1,0,0,1
619.0,13.5,1,1,0,1,1,1,0,1
778.0,17.3,0,1,0,1,0,1,0,3
414.0,13.4,0,0,1,2,0,0,0,3
754.0,5.5,0,1,0,2,0,0,0,2
731.0,7.2,1,0,1,1,1,1,1,0
409.0,10.7,1,0,1,0,0,0,1,2
325.0,12.0,1,0,1,0,0,1,1,2
398.0,9.7,0,0,0,2,1,1,0,1
749.0,17.5,0,0,0,1,1,0,0,2
455.0,17.3,0,0,1,1,0,1,1,3
499.0,15.5,0,0,1,0,0,1,1,3
288.0,10.0,0,0,1,1,1,1,1,2
337.0,15.7,0,0,0,2,0,0,1,3
756.0,17.5,1,0,1,2,0,1,0,2
749.0,12.9,0,0,0,2,1,1,0,1
378.0,12.9,1,1,0,0,0,1,0,2
620.0,6.2,1,0,0,2,1,0,0,0
612.0,8.4,0,0,0,1,1,0,0,2
453.0,14.3,1,0,0,0,0,0,0,2
628.0,18.2,1,0,0,0,1,1,1,1
737.0,14.4,1,1,1,0,1,0,1,1
665.0,8.2,0,0,1,0,0,1,0,3
530.0,16.2,1,0,1,1,0,1,0,2
581.0,10.7,0,1,1,1,1,1,1,2
703.0,8.5,1,1,1,0,1,0,1,1
650.0,8.3,0,1,1,2,0,1,0,2
763.0,16.4,0,1,1,1,1,1,0,2
704.0,17.4,0,1,1,2,0,0,0,3
234.0,7.9,0,1,1,0,0,0,1,3
630.0,5.7,1,1,0,0,0,0,0,2
280.0,11.7,0,1,1,0,1,0,1,2
700.0,17.2,1,1,1,0,0,0,1,2
260.0,3.9,0,0,0,1,1,1,1,2
373.0,10.8,1,0,1,1,1,0,1,0
389.0,2.0,0,1,0,2,1,0,0,1
760.0,12.7,0,0,0,1,0,1,1,3
793.0,6.7,1,0,1,1,0,0,1,2
523.0,8.7,0,1,0,2,0,1,1,2
513.0,7.8,0,0,0,1,1,1,1,2
524.0,10.9,1,0,0,0,0,0,0,2
584.0,14.2,0,1,0,2,0,1,1,3
241.0,3.8,1,0,1,1,0,0,1,2
378.0,13.8,0,1,0,2,0,0,1,3
567.0,7.0,1,0,0,2,0,1,0,1
341.0,15.5,1,0,1,1,0,0,0,2
566.0,3.9,0,1,0,0,0,0,0,3
740.0,16.3,0,0,0,1,0,1,0,3
661.0,14.4,0,0,0,0,1,1,1,2
520.0,3.8,0,0,0,0,1,1,0,2
367.0,18.0,1,0,0,2,0,0,0,2
447.0,3.4,1,0,0,2,0,0,0,1
252.0,4.5,1,1,0,0,1,0,1,1
287.0,5.4,0,1,0,0,0,0,0,3
799.0,5.4,0,0,0,2,0,1,0,2
750.0,18.5,0,0,1,0,0,0,1,3
571.0,9.4,0,0,0,2,0,1,0,2
577.0,4.9,0,1,1,2,1,0,0,1
368.0,11.9,0,0,0,2,1,1,1,1
435.0,15.4,1,1,1,1,1,0,0,1
323.0,19.6,0,0,0,2,0,0,1,3
770.0,12.8,0,0,0,1,0,0,1,3
689.0,4.1,0,0,1,2,1,1,0,1
376.0,4.3,1,0,1,2,0,1,0,1
418.0,18.7,1,1,1,1,1,0,0,1
207.0,15.8,0,0,1,1,0,0,0,3
361.0,4.7,0,0,0,2,1,0,0,1
359.0,16.3,1,1,0,2,0,0,1,2
292.0,3.8,1,1,1,1,1,0,0,0
749.0,8.7,1,0,0,1,0,1,1,2
214.0,2.4,0,1,0,0,0,0,0,3
536.0,19.5,1,0,0,1,1,1,1,1
450.0,8.1,1,1,0,0,0,0,1,2
440.0,4.2,1,0,0,1,1,1,0,0
290.0,16.6,1,0,1,0,0,1,1,2
676.0,9.5,1,0,1,2,0,1,0,1
394.0,13.2,0,0,0,1,1,0,1,2
611.0,17.5,0,0,1,1,0,1,0,3
390.0,6.7,1,0,0,1,1,0,1,0
745.0,11.7,1,1,0,0,1,0,0,1
336.0,5.0,1,0,0,1,0,1,1,2
699.0,17.3,1,0,0,2,0,1,1,2
646.0,7.8,1,0,1,1,0,1,1,2
722.0,10.8,0,1,0,1,1,0,0,2
792.0,15.0,0,0,1,1,1,1,0,2
547.0,18.3,0,0,1,1,1,1,1,2
638.0,8.3,0,1,0,1,0,1,1,3
542.0,3.5,0,1,0,0,0,0,1,3
737.0,11.4,1,0,1,0,0,1,1,2
570.0,2.2,1,0,1,0,0,0,0,2
708.0,9.1,0,1,0,0,0,1,1,3
359.0,9.3,1,1,1,0,0,0,0,2
227.0,10.4,1,0,1,2,0,0,0,1
259.0,9.4,1,0,1,0,1,1,0,1
592.0,15.3,1,0,0,2,1,1,1,0
701.0,6.3,0,1,1,2,0,1,1,2
345.0,11.3,1,0,1,2,1,0,1,0
554.0,7.8,1,0,1,2,0,1,1,1
515.0,13.2,1,1,0,1,1,1,1,1
595.0,9.6,0,1,1,0,0,1,1,3
338.0,5.7,1,1,0,2,1,0,0,0
333.0,12.7,1,0,0,1,0,0,1,2
668.0,6.5,0,1,0,1,1,0,1,2
229.0,9.1,0,1,1,2,1,1,1,1
616.0,9.5,0,0,0,1,1,1,1,2
243.0,18.2,1,0,1,0,0,1,0,2
262.0,15.3,0,0,0,1,1,1,1,2
346.0,13.3,1,1,1,2,0,0,0,1
405.0,4.0,0,1,1,1,1,1,0,2
792.0,7.6,0,0,0,1,1,0,1,2
474.0,2.9,0,0,1,2,1,0,1,1
457.0,11.7,0,1,0,1,0,0,1,3
663.0,4.1,0,1,1,0,0,0,1,3
362.0,2.5,0,1,1,2,0,0,0,2
558.0,8.4,0,0,1,2,1,0,0,1
620.0,15.4,0,1,0,0,0,0,0,3
714.0,9.7,0,0,1,0,1,0,0,2
273.0,3.6,1,1,0,1,1,1,0,0
593.0,11.7,1,0,0,0,1,0,1,1
203.0,10.1,1,0,1,0,1,0,0,1
498.0,19.3,1,1,0,2,1,1,1,1
416.0,4.5,1,0,1,1,1,0,1,0
689.0,14.3,0,1,1,0,0,0,0,3
636.0,15.0,1,0,1,1,1,1,1,1
615.0,17.3,1,1,1,0,1,0,1,1
302.0,17.2,0,1,1,1,1,0,0,2
386.0,9.3,1,0,0,0,1,0,1,1
373.0,15.5,0,0,0,0,0,0,0,3
316.0,9.0,0,1,1,0,1,1,0,2
453.0,18.1,0,0,1,2,1,0,0,2
455.0,14.7,1,0,1,2,0,0,1,2
410.0,2.8,1,0,0,2,1,0,1,0
676.0,5.4,0,1,1,0,0,1,0,3
614.0,18.3,1,0,0,2,1,0,1,1
677.0,12.1,0,1,0,0,1,0,1,2
685.0,16.0,1,1,1,1,1,1,1,1
332.0,17.3,1,0,1,0,1,1,0,1
768.0,2.9,0,1,1,2,1,1,1,1
590.0,4.0,1,1,1,0,0,0,0,2
679.0,18.9,1,0,1,2,1,1,1,1
757.0,13.0,0,1,1,1,1,1,0,2
689.0,14.9,0,0,1,0,1,0,1,2
536.0,9.1,0,1,1,1,1,1,1,2
488.0,6.4,0,1,0,2,0,0,1,2
529.0,3.8,0,0,1,1,1,1,0,2
725.0,5.9,1,0,0,1,1,1,1,0
240.0,3.8,0,1,1,1,1,0,1,2
432.0,18.7,1,1,1,2,0,0,1,2
371.0,17.7,1,1,1,2,0,1,1,2
468.0,15.6,1,1,0,0,1,0,1,1
561.0,2.4,1,1,0,2,1,1,0,0
663.0,11.4,0,0,0,0,0,0,0,3
205.0,6.3,0,0,1,0,0,1,0,3
459.0,3.4,0,1,0,2,1,0,1,1
374.0,2.4,1,0,0,0,0,1,0,2
642.0,14.9,1,0,0,0,0,1,1,2
365.0,8.8,1,1,0,1,0,0,1,2
340.0,12.6,1,1,1,2,1,0,1,0
304.0,15.9,0,0,1,1,0,0,0,3
502.0,10.1,1,0,0,2,1,0,0,0
231.0,4.3,1,1,1,2,0,0,1,1
619.0,19.0,0,1,0,0,1,1,1,2
731.0,13.6,0,1,0,2,1,0,1,2
318.0,5.6,0,0,1,2,1,1,1,1
497.0,14.3,1,0,0,2,1,0,1,0
728.0,9.7,1,0,1,2,1,0,1,0
711.0,16.3,1,1,0,0,1,0,1,1
669.0,15.0,1,1,1,0,1,0,1,1
312.0,6.7,0,0,1,0,1,1,1,2
462.0,15.3,1,1,1,2,0,1,1,2
790.0,11.9,0,0,0,1,0,1,0,3
345.0,14.1,1,0,0,2,1,0,1,0
280.0,9.1,1,0,1,1,1,0,1,0
448.0,3.9,1,1,0,0,1,0,1,1
291.0,2.6,0,1,0,2,0,0,1,2
482.0,16.3,1,1,0,2,0,0,1,2
571.0,7.1,1,0,0,0,0,1,1,2
437.0,12.6,1,1,1,0,1,1,1,1
352.0,17.1,1,1,1,0,0,0,1,2
476.0,19.1,1,1,0,2,1,1,1,1
674.0,19.5,0,1,0,1,1,0,0,2
691.0,16.5,0,0,1,0,1,0,0,2
204.0,11.4,1,1,0,2,1,1,0,0
227.0,6.8,0,0,1,1,0,1,0,3
750.0,2.3,1,1,1,0,0,1,1,2
337.0,6.1,0,1,1,0,0,0,1,3
444.0,6.3,1,0,1,1,0,0,0,2
267.0,11.5,1,1,1,2,1,0,0,0
401.0,13.3,1,0,1,0,1,1,1,1
657.0,19.6,1,0,1,2,0,0,1,2
232.0,9.0,0,0,1,0,0,0,0,3
469.0,18.9,0,1,1,2,1,1,1,2
569.0,16.5,1,0,0,2,0,1,0,2
372.0,14.7,1,0,0,2,1,0,1,0
693.0,5.1,0,0,0,1,0,0,1,3
202.0,13.1,1,1,0,2,0,1,0,1
456.0,12.7,1,0,0,0,0,1,0,2
711.0,16.2,1,1,1,0,0,1,1,2
270.0,12.4,1,0,0,2,1,0,0,0
315.0,19.3,0,1,1,2,1,0,1,2
593.0,5.6,1,1,1,1,1,0,0,0
389.0,5.0,0,0,1,1,1,0,0,2
348.0,15.1,1,1,0,1,0,1,1,2
513.0,19.9,0,0,0,2,0,1,0,3
579.0,6.3,1,0,1,2,1,1,1,0
629.0,3.0,0,0,0,2,1,0,1,1
429.0,13.8,0,1,0,1,1,0,1,2
553.0,15.5,0,1,1,1,0,0,1,3
751.0,11.2,1,1,0,2,1,0,0,0
770.0,6.1,0,0,0,2,0,0,1,2
580.0,10.9,1,0,1,2,0,0,1,1
523.0,7.5,1,1,1,0,0,1,0,2
645.0,5.9,0,0,1,0,1,0,1,2
745.0,11.0,1,0,0,1,0,1,0,2
335.0,2.9,0,0,1,1,0,0,0,3
424.0,14.9,1,0,1,0,0,1,1,2
213.0,15.8,0,0,0,0,1,0,1,2
780.0,19.7,0,1,0,2,0,1,0,3
691.0,17.8,0,1,0,2,0,1,1,3
246.0,7.3,1,1,0,0,1,0,1,1
721.0,7.5,0,0,1,0,1,0,0,2
624.0,10.0,0,0,1,2,1,0,0,1
718.0,15.0,1,1,0,1,1,0,0,1
711.0,2.7,1,1,1,2,0,0,0,1
349.0,19.3,1,1,0,0,0,1,0,2
375.0,14.6,1,0,1,2,0,0,0,2
403.0,17.3,1,1,1,0,1,0,1,1
617.0,14.4,1,1,1,1,0,0,0,2
596.0,18.6,1,1,1,2,1,0,1,1
493.0,16.7,0,1,1,1,0,1,0,3
527.0,9.8,1,1,1,2,0,1,1,1
471.0,14.8,0,0,1,2,1,1,0,2
395.0,19.0,1,1,1,0,1,1,1,1
688.0,19.0,1,1,1,1,1,1,1,1
543.0,18.2,0,1,1,2,1,0,1,2
659.0,15.5,1,1,1,2,1,0,0,0
295.0,13.4,1,0,0,1,0,0,1,2
348.0,11.9,1,1,0,0,0,1,0,2
443.0,5.4,0,1,1,0,1,1,1,2
335.0,10.3,0,1,1,2,0,0,0,2
566.0,4.4,1,1,0,2,0,0,1,1
629.0,4.8,1,0,0,2,1,1,0,0
336.0,4.8,1,1,0,1,1,1,1,0
208.0,10.5,0,0,0,2,1,1,0,1
564.0,3.6,1,1,1,0,0,0,1,2
789.0,17.5,0,0,1,1,1,0,0,2
396.0,18.3,0,1,0,1,1,1,1,2
581.0,14.2,0,0,1,2,0,0,0,3
229.0,11.3,1,1,1,2,0,1,1,1
541.0,19.2,1,0,1,1,0,1,0,2
536.0,7.8,1,0,1,1,0,0,1,2
540.0,12.9,1,0,0,0,0,1,1,2
491.0,16.4,0,0,0,0,0,0,0,3
470.0,15.3,0,1,0,1,0,0,0,3
719.0,17.2,1,1,0,0,0,0,1,2
208.0,6.2,1,0,1,1,1,1,1,0
425.0,16.4,1,1,1,2,1,0,0,0
450.0,2.6,1,1,1,0,1,1,0,1
697.0,11.9,0,1,0,0,1,1,1,2
434.0,2.2,1,0,0,0,1,0,1,1
254.0,8.3,1,1,0,1,1,1,0,0
274.0,12.4,0,1,0,1,0,0,0,3
272.0,14.8,0,0,1,2,0,1,0,3
562.0,11.0,1,0,1,2,0,0,0,1
518.0,19.1,1,0,1,0,1,0,1,1
350.0,11.2,1,1,0,0,1,0,0,1
313.0,3.3,0,0,0,1,0,0,0,3
746.0,5.3,0,0,1,2,0,0,1,2
552.0,17.2,0,1,0,1,0,0,1,3
706.0,19.0,1,0,1,0,0,0,1,2
359.0,14.0,1,1,0,2,1,1,1,0
485.0,15.4,1,1,0,1,0,0,0,2
354.0,13.1,1,0,0,1,0,0,0,2
296.0,13.5,1,0,1,2,0,0,1,1
434.0,18.5,1,0,1,1,0,1,0,2
202.0,9.8,0,0,0,2,0,1,1,2
734.0,14.0,1,1,0,0,1,1,0,1
470.0,14.1,1,0,1,1,0,0,1,2
274.0,9.1,1,0,1,2,0,1,0,1
480.0,10.1,0,0,0,2,1,0,1,1
722.0,7.8,0,1,0,2,1,1,0,1
774.0,19.2,0,0,0,2,1,0,0,2
201.0,4.4,1,0,1,0,0,0,1,2
785.0,6.6,0,0,1,0,0,1,1,3
394.0,15.9,1,1,0,1,0,0,1,2
624.0,8.2,1,0,0,2,0,1,1,1
652.0,14.5,0,1,1,2,0,1,1,3
744.0,15.1,0,0,1,0,0,1,1,3
446.0,12.0,0,0,1,0,1,0,0,2
660.0,9.4,0,1,0,0,1,1,1,2
611.0,14.6,1,0,1,1,1,0,1,1
395.0,2.2,1,1,0,1,1,0,0,0
696.0,14.8,1,1,1,2,0,0,1,2
735.0,12.4,1,1,1,1,0,1,0,2
540.0,17.2,0,1,0,0,0,1,0,3
691.0,15.3,1,0,1,0,1,1,0,1
575.0,12.1,0,0,0,0,1,1,0,2
673.0,16.1,0,1,0,0,1,0,1,2
571.0,5.1,0,0,1,0,1,1,1,2
616.0,9.1,1,1,0,2,0,1,0,1
223.0,11.6,0,1,0,2,0,1,1,2
258.0,15.9,1,1,1,1,1,0,0,1
448.0,5.6,1,1,0,0,0,1,1,2
674.0,14.7,1,1,0,1,1,0,1,1
238.0,7.0,1,1,1,1,0,0,1,2
208.0,5.6,0,0,1,1,0,1,0,3
331.0,9.2,1,1,1,2,0,0,0,1
716.0,5.5,0,1,1,2,1,1,1,1
732.0,9.9,1,1,0,0,0,0,0,2
377.0,11.8,1,0,1,1,0,0,1,2
609.0,8.7,1,0,1,0,1,1,0,1
622.0,18.9,1,0,1,1,1,0,0,1
201.0,14.1,1,0,1,0,1,1,0,1
424.0,9.3,1,0,1,2,0,1,1,1
290.0,19.0,1,0,1,1,1,1,1,1
408.0,7.7,0,0,0,2,0,1,1,2
359.0,13.5,0,0,1,1,1,1,0,2
246.0,10.5,1,1,1,1,1,1,0,0
792.0,17.7,1,0,1,1,1,1,1,1
501.0,9.9,0,1,0,2,0,1,1,2
287.0,2.7,0,1,0,0,1,1,1,2
341.0,7.5,0,1,0,1,1,1,1,2
222.0,7.7,1,1,0,1,1,1,1,0
