etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Dessoragem e moldagem,Q,Detergente residual do tanque,Restos de produto de limpeza após lavagem.,Baixa,Alta,Moderado,Enxágue com água potável após higienização dos equipamentos.,NÃO
Prensagem,B,Crescimento de microrganismos na massa,Tempo prolongado ou ambiente quente favorece proliferação.,Média,Alta,Alto,"Controle de tempo, temperatura e higiene do ambiente.",SIM
Prensagem,F,Quebra de molas ou peças da prensa,Partes soltas podem cair na massa.,Baixa,Média,Baixo,Manutenção periódica e inspeção após montagem.,NÃO
Prensagem,Q,Lubrificante industrial na prensa,Uso incorreto de óleo não alimentar nos rolamentos.,Baixa,Alta,Moderado,Uso de lubrificantes alimentícios certificados.,NÃO
Salga,B,Clostridium spp. na salmoura reutilizada,Ambiente salino pode abrigar esporos resistentes.,Média,Alta,Alto,Troca periódica da salmoura e monitoramento microbiológico.,SIM
Salga,F,Cristais ou grânulos duros no sal,Fragmentos que não se dissolvem podem estar presentes.,Baixa,Baixa,Baixo,Dissolução completa do sal e filtração da salmoura.,NÃO
Salga,Q,Uso de sal iodado ou contaminado,Alguns sais inadequados podem conter resíduos ou aditivos não permitidos.,Baixa,Alta,Moderado,Aquisição de sal alimentar certificado.,NÃO
Maturação,B,"Listeria monocytogenes, fungos indesejáveis",Condições inadequadas favorecem crescimento de patógenos durante semanas.,Alta,Alta,Alto,"Controle contínuo de umidade, temperatura e ventilação.",SIM
Maturação,F,Queda de fragmentos da prateleira ou armário,Prateleiras enferrujadas ou desgastadas podem liberar partículas.,Baixa,Média,Baixo,Revestimento adequado e inspeções periódicas dos locais de maturação.,NÃO
Maturação,Q,Gás desinfetante residual na câmara,Câmaras higienizadas com agentes químicos podem reter vapores.,Baixa,Alta,Moderado,Aeração completa da câmara antes da reintrodução dos queijos.,NÃO
Embalagem e rotulagem,B,Contaminação cruzada por manipulação inadequada,Manuseio de queijo sem higienização das mãos ou troca de luvas.,Média,Alta,Alto,Higienização pessoal e treinamento dos manipuladores.,SIM
Embalagem e rotulagem,F,Fragmentos de plástico ou papel colante do rótulo,Etapa final pode deixar fragmentos na embalagem.,Baixa,Baixa,Baixo,Inspeção visual e uso de materiais de qualidade.,NÃO
Embalagem e rotulagem,Q,Tinta tóxica na rotulagem,Rótulos impressos com tinta não alimentícia.,Baixa,Alta,Moderado,Compra de rótulos certificados e de fornecedores homologados.,NÃO
Armazenamento do produto,B,Crescimento de Listeria monocytogenes,Queijos mal refrigerados continuam permitindo crescimento microbiano.,Média,Alta,Alto,Controle de temperatura e rastreabilidade do lote.,SIM
Armazenamento do produto,F,Quebra de bandeja ou caixa plástica,Contaminação física por fragmentos de embalagem durante empilhamento.,Baixa,Média,Baixo,Verificação das condições das embalagens antes da armazenagem.,NÃO
Armazenamento do produto,Q,Vapores de produtos de limpeza utilizados no ambiente,Produtos mal armazenados próximos ao queijo podem evaporar e contaminar o alimento.,Baixa,Alta,Moderado,Isolamento dos produtos químicos e ventilação adequada.,NÃO
